YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_ERR	MAG_MW	MAG_MW_ERR	SOURCE	SHOCK_TYPE
1900	1	16	-1	-1	-1	20.4	73	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1900	2	7	-1	-1	-1	10.8	76.8	70	-1	MW	5.7	-1	5.7	0.3	ASC2009a	Mainshock
1901	4	27	-1	-1	-1	12	75	-1	-1	MW	4.7	-1	4.6	0.46	JS2004a	Mainshock
1901	10	17	5	57	-1	31	68.4	-1	-1	MW	6.2	-1	6.2	-1	AM2000a	Mainshock
1901	11	18	4	-1	-1	32	77	-1	-1	MW	6.3	-1	6.3	-1	AM2000a	Mainshock
1902	6	16	13	6	-1	30	79	-1	-1	MW	6	-1	6	1	AM2000a	Mainshock
1902	8	22	3	-1	-1	39.88	76.2	30	-1	~MS	7.8	-1	7.7	-1	UL2006a	Mainshock
1902	9	20	6	32	-1	38.5	67	40	-1	MS	6.2	-1	6.2	-1	AB2003a	Mainshock
1902	11	4	11	33	-1	32	91	-1	-1	MW	6.5	-1	6.5	-1	AM2000a	Mainshock
1902	12	13	17	8	-1	30	85	-1	-1	MW	6.7	-1	6.7	-1	AM2000a	Mainshock
1903	1	10	13	17	-1	35.3	59.5	-1	-1	MS	4.3	-1	4.9	-1	AB2003a	Mainshock
1903	1	14	-1	-1	-1	24	70	-1	-1	MW	5.2	-1	5.1	0.2	JS2004a	Mainshock
1903	1	20	8	24	-1	37	71	-1	-1	MS	5.5	-1	5.7	-1	AB2003a	Mainshock
1903	3	22	14	35	-1	33.16	59.71	-1	-1	MS	6.19	-1	6.2	-1	AB2003a	Mainshock
1903	5	17	-1	-1	-1	23	80	-1	-1	MW	4.2	-1	4.1	0.46	JS2004a	Mainshock
1903	6	19	-1	-1	-1	35.3	59.2	-1	-1	MS	4	-1	4.7	-1	AB2003a	Mainshock
1903	9	25	12	0	0	35.2	58.2	-1	-1	MS	5.9	-1	6	-1	AB2003a	Mainshock
1903	12	3	21	26	-1	19.5	95	-1	-1	MW	6.5	-1	6.5	-1	AM2000a	Mainshock
1903	12	23	3	-1	-1	29.5	67.5	-1	-1	MS	5.9	-1	6	-1	AB2003a	Mainshock
1904	3	31	2	16	-1	31	89	-1	-1	MW	6.9	-1	6.9	-1	AM2000a	Mainshock
1904	3	31	5	45	-1	31	89	-1	-1	MW	6.2	-1	6.2	-1	AM2000a	Mainshock
1904	7	21	-1	-1	-1	21.5	70.5	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1904	7	27	5	20	-1	33	72	-1	-1	MS	5.74	-1	5.9	-1	AB2003a	Mainshock
1904	10	3	3	5	0	12	58	35	-1	MS	7	-1	6.8	0.22	ISC	Mainshock
1904	11	9	3	28	-1	36.94	59.77	-1	-1	MS	6.37	-1	6.3	-1	AB2003a	Mainshock
1904	11	9	9	30	0	37.01	59.91	-1	-1	MS	5.3	-1	5.6	-1	AB2003a	Aftershock
1904	11	24	-1	-1	-1	21.5	86.9	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1905	2	17	11	42	-1	30	95	-1	-1	MW	7.1	-1	7.1	-1	AM2000a	Mainshock
