YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_MW	MAG_MW_ERR	SOURCE
162	7	-1	-1	-1	-1	26.9	100.2	-1	-1	~MS	5	5.4	-1	LEE1976a
180	9	-1	-1	-1	-1	39.4	99.5	-1	-1	~MS	7.5	7.4	-1	LEE1976a
734	0	0	-1	-1	-1	31.6	60.5	-1	-1	MS	6.5	6.4	-1	AB2003a
763	0	0	-1	-1	-1	33.3	59.3	-1	-1	MS	7.6	7.5	-1	AB2003a
805	12	2	-1	-1	-1	29.5	60.5	-1	-1	MS	7	6.9	-1	AB2003a
815	0	0	-1	-1	-1	29.5	60.5	-1	-1	MS	7	6.9	-1	AB2003a
819	6	0	-1	-1	-1	36.4	65.4	-1	-1	MS	7.4	7.3	-1	AB2003a
849	0	0	-1	-1	-1	34.3	62.2	-1	-1	MS	-1	5.6	-1	AB2003a
886	-1	-1	-1	-1	-1	25.7	100.2	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1066	5	0	-1	-1	-1	33.9	59.2	-1	-1	MS	6.5	6.4	-1	AB2003a
1101	-1	-1	-1	-1	-1	36	59	10	-1	~MS	6.5	6.4	-1	NGDC
1102	2	28	18	-1	-1	34.4	62.2	-1	-1	MS	-1	5.6	-1	AB2003a
1111	-1	-1	-1	-1	-1	25.7	100.2	-1	-1	~MS	5	5.4	-1	LEE1976a
1145	0	0	-1	-1	-1	36.2	58.8	-1	-1	MS	5.3	5.6	-1	AB2003a
1209	0	0	12	-1	-1	36.4	58.7	-1	-1	MS	7.6	7.5	-1	AB2003a
1238	0	0	-1	-1	-1	34.3	58.7	-1	-1	MS	5.3	5.6	-1	AB2003a
1251	0	0	-1	-1	-1	36.2	58.8	-1	-1	MS	5.3	5.6	-1	AB2003a
1270	10	7	12	-1	-1	36.2	58.8	-1	-1	MS	7.1	7	-1	AB2003a
1336	10	21	6	-1	-1	34.7	59.7	-1	-1	MS	7.6	7.5	-1	AB2003a
1364	2	10	-1	-1	-1	34.9	61.7	-1	-1	MS	-1	5.9	-1	AB2003a
1389	2	-1	-1	-1	-1	36.2	58.8	-1	-1	MS	7.6	7.5	-1	AB2003a
1405	11	23	-1	-1	-1	36.2	58.8	-1	-1	MS	7.6	7.5	-1	AB2003a
1428	0	0	-1	-1	-1	35.8	64.2	-1	-1	MS	6.5	6.4	-1	AB2003a
1459	8	-1	-1	-1	-1	25.1	99.2	-1	-1	~MS	5	5.4	-1	LEE1976a
1474	10	27	-1	-1	-1	26.5	100.1	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1481	7	15	-1	-1	-1	26.5	100	-1	-1	~MS	6	6.1	-1	LEE1976a
1493	1	10	6	0	0	33	59.8	-1	-1	MS	7	6.9	-1	AB2003a
1498	11	14	-1	-1	-1	26.1	100	-1	-1	~MS	4.8	5.2	-1	LEE1976a
1499	7	17	-1	-1	-1	25.3	100.4	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1505	6	6	-1	-1	-1	29.5	83	34	-1	~MS	8.2	8.7	0.1	BA2005a
1505	7	6	-1	-1	-1	34.5	69.1	-1	-1	MS	7.3	7.2	-1	AB2003a
1511	11	17	-1	-1	-1	26	100	-1	-1	~MS	5.8	5.9	-1	LEE1976a
1512	10	8	-1	-1	-1	25	98.7	-1	-1	~MS	6.5	6.4	-1	LEE1976a
1514	5	17	-1	-1	-1	25.7	100.2	-1	-1	~MS	5.8	5.9	-1	LEE1976a
1514	9	18	-1	-1	-1	25.1	99.2	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1515	6	17	-1	-1	-1	26.6	100.8	-1	-1	~MS	7.5	7.4	-1	LEE1976a
1515	10	23	-1	-1	-1	25.7	100.2	-1	-1	~MS	6	6.1	-1	LEE1976a
1519	-1	-1	-1	-1	-1	25.7	100.2	-1	-1	~MS	5	5.4	-1	LEE1976a
1520	3	26	-1	-1	-1	25.3	100.3	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1520	6	8	-1	-1	-1	26.6	100.2	-1	-1	~MS	5	5.4	-1	LEE1976a
1520	8	18	-1	-1	-1	24.5	100.9	-1	-1	~MS	5.8	5.9	-1	LEE1976a
1549	2	15	2	40	-1	33.7	60	-1	-1	MS	6.7	6.6	-1	AB2003a
1555	9	-1	-1	-1	-1	33.5	75.5	-1	-1	~MS	7.6	>=7.6	-1	AD2004a
1577	3	13	-1	-1	-1	25	58.6	-1	-1	~MS	6.5	6.4	-1	LEE1976a
1579	1	-1	-1	-1	-1	25.1	99.2	-1	-1	~MS	5	5.4	-1	LEE1976a
1583	1	-1	-1	-1	-1	25	98.6	-1	-1	~MS	5.5	5.7	-1	LEE1976a
