Region,Model,LLH
Himalayas Interface,KAN06,2.419
Himalayas Interface,NATH09,2.428
Himalayas Interface,ATBO03a,2.5733
Himalayas Interface,ZHAO06,2.6512
Himalayas Interface,LILE08,2.6789
Himalayas Interface,YOU97,2.7117
Andaman-Sumatra Interface,ATMA09,2.5644
Andaman-Sumatra Interface,MEPA10b,3.397
Andaman-Sumatra Interface,ATBO03c,3.4345
Andaman-Sumatra Interface,PETE04,3.5942
Andaman-Sumatra Interface,ZHAO06,3.7918
Andaman-Sumatra Interface,KAN06,4.2216
Indo-Myanmar Intraslab,GUPT10,2.3556
Indo-Myanmar Intraslab,LILE08,2.4911
Indo-Myanmar Intraslab,ATBO03c,2.5085
Indo-Myanmar Intraslab,ZHA06,2.6062
Indo-Myanmar Intraslab,YOU97,2.6136
Indo-Myanmar Intraslab,KAN06,2.8197
Hindukush Intraslab,LILE08,2.3787
Hindukush Intraslab,YOU97,2.7786
Hindukush Intraslab,ZHA06,3.4437
Hindukush Intraslab,ATBO03a,4.8605
Hindukush Intraslab,GUPT10,6.5729
Hindukush Intraslab,KAN06,8.4022
Himalayas,KAN06,2.4632
Himalayas,CABO08,2.5423
Himalayas,SHAR09,2.6096
Himalayas,AKBO10,2.6294
Himalayas,IDR08,2.6635
Himalayas,ZHA06,2.6721
Himalayas,BOAT08,2.7393
Himalayas,AMB05,2.7677
Northeast India,HAHO97,2.6705
Northeast India,NATH09,2.6814
Northeast India,RAIY07,2.698
Northeast India,TOR02,2.7653
Northeast India,ATBO06b,2.841
Northeast India,TAPE05,3.4398
Northeast India,ATK08,3.1355
Northeast India,CAM03,3.4417
Peninsular India,ATBO06b,2.3939
Peninsular India,TOR02,2.5859
Peninsular India,ATK08,2.6911
Peninsular India,HAHO97,2.7369
Peninsular India,RAIY07,2.7526
Peninsular India,CAM03,2.781
Peninsular India,TAPE05,2.8335
