siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5
1,80.4,6,0.003242,0.008544,0.016181,0.021967,0.030931,0.033448,0.036367,0.039815,0.043994,0.049228,0.056091,0.065741,0.080998,0.111954,0.123296,0.13895,0.149485
2,80.6,6,0.001181,0.006305,0.013664,0.019228,0.027841,0.030259,0.033063,0.036376,0.040393,0.045426,0.052032,0.061328,0.076047,0.105974,0.116963,0.132148,0.142379
3,80.2,6.2,0.003727,0.008833,0.016475,0.02248,0.032097,0.034859,0.038088,0.041943,0.046663,0.052643,0.060591,0.071937,0.09022,0.128327,0.142572,0.162442,0.175935
4,80.4,6.2,0.003629,0.008755,0.01627,0.022069,0.031206,0.033802,0.036825,0.040417,0.044795,0.050312,0.057603,0.067944,0.084477,0.118547,0.13118,0.148728,0.160604
5,80.6,6.2,0.003063,0.00835,0.015964,0.021734,0.030672,0.033183,0.036094,0.039534,0.043703,0.048924,0.055774,0.065404,0.080636,0.111552,0.122883,0.138524,0.149053
6,80.8,6.2,0.000848,0.005805,0.013113,0.018638,0.027188,0.029589,0.032373,0.035665,0.039654,0.044654,0.051219,0.06046,0.0751,0.104892,0.115839,0.130973,0.141172
7,81,6.2,0.000848,0.003919,0.010975,0.016507,0.025003,0.027377,0.030122,0.033361,0.037275,0.042165,0.048564,0.057536,0.071681,0.10024,0.110669,0.125041,0.134701
8,81.2,6.2,0.000891,0.003944,0.00883,0.014087,0.022204,0.024481,0.027117,0.030232,0.034006,0.038732,0.04493,0.053645,0.067428,0.095397,0.105644,0.119786,0.129303
9,80,6.4,0.006189,0.012221,0.021435,0.028779,0.040644,0.044064,0.048069,0.052853,0.058715,0.066148,0.076029,0.090132,0.112828,0.15995,0.177478,0.201826,0.218294
10,80.2,6.4,0.005679,0.011356,0.01988,0.026584,0.037304,0.040376,0.043965,0.048243,0.053474,0.060088,0.068857,0.081339,0.101363,0.142791,0.158176,0.179545,0.193992
