siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5
1,80.4,6,0.00024,0.00024,0.004496,0.008072,0.013541,0.015066,0.01683,0.018908,0.021419,0.024555,0.028655,0.034405,0.043479,0.061911,0.068694,0.07808,0.084407
2,80.6,6,0.00024,0.00024,0.002501,0.005939,0.011182,0.012642,0.014331,0.016321,0.018728,0.021736,0.025676,0.031213,0.039983,0.057913,0.064543,0.073744,0.079963
3,80.2,6.2,0.001015,0.00298,0.007755,0.011668,0.017683,0.019363,0.021304,0.023593,0.026356,0.029804,0.034308,0.040608,0.050514,0.070529,0.077859,0.08797,0.094769
4,80.4,6.2,0.00024,0.001528,0.006085,0.009819,0.015553,0.017154,0.019006,0.02119,0.023827,0.027122,0.031429,0.037465,0.046978,0.06627,0.073358,0.083154,0.089752
5,80.6,6.2,0.00024,0.00024,0.004352,0.007923,0.013385,0.014907,0.016668,0.018744,0.021251,0.024382,0.028477,0.034219,0.043283,0.061702,0.068482,0.077865,0.08419
6,80.8,6.2,0.00024,0.00024,0.002235,0.005513,0.010719,0.012167,0.013843,0.015817,0.018204,0.021188,0.025097,0.030592,0.039297,0.057113,0.063705,0.072858,0.079046
7,81,6.2,0.00024,0.00024,0.002235,0.004091,0.009198,0.010631,0.012283,0.014221,0.016555,0.019459,0.023244,0.028538,0.036867,0.053731,0.059919,0.068464,0.074214
8,81.2,6.2,0.00024,0.00024,0.00226,0.004107,0.007431,0.008771,0.010317,0.012134,0.014324,0.017054,0.020621,0.025626,0.033546,0.049722,0.055695,0.063974,0.06956
9,80,6.4,0.001779,0.003834,0.008861,0.013046,0.0196,0.021454,0.023608,0.026161,0.029264,0.033162,0.038296,0.045549,0.057101,0.080858,0.089673,0.101917,0.1102
10,80.2,6.4,0.000701,0.002514,0.007167,0.011057,0.017151,0.018876,0.020881,0.023261,0.026156,0.029799,0.034605,0.041413,0.052293,0.074809,0.083207,0.09491,0.10285
11,80.4,6.4,0.000908,0.002865,0.007629,0.011533,0.017534,0.019209,0.021147,0.02343,0.026187,0.029629,0.034124,0.040412,0.050303,0.070294,0.077616,0.087719,0.094513
12,80.6,6.4,0.00024,0.001141,0.005658,0.009359,0.01504,0.016628,0.018463,0.020627,0.023243,0.02651,0.030783,0.036776,0.04623,0.065423,0.072483,0.082246,0.088825
13,80.8,6.4,0.00024,0.00024,0.003652,0.007181,0.012573,0.014076,0.015813,0.017862,0.020337,0.023429,0.027475,0.033152,0.042125,0.060395,0.067129,0.076459,0.082753
14,81,6.4,0.00024,0.00024,0.002235,0.004496,0.009637,0.011066,0.012718,0.014664,0.017015,0.019955,0.023807,0.029224,0.037817,0.055441,0.061976,0.071057,0.077204
15,81.2,6.4,0.00024,0.00024,0.00226,0.004107,0.008723,0.010102,0.011691,0.01356,0.015815,0.018626,0.022301,0.027454,0.035597,0.052171,0.058275,0.06672,0.072409
16,81.4,6.4,0.00024,0.00024,0.00231,0.004139,0.008227,0.009498,0.010968,0.012705,0.014806,0.017438,0.020894,0.025769,0.033525,0.049469,0.055377,0.063579,0.06912
17,81.6,6.4,0.00024,0.00024,0.002384,0.004763,0.009188,0.010433,0.011877,0.013587,0.015663,0.018271,0.021706,0.026563,0.034311,0.05026,0.056175,0.064384,0.06993
18,80,6.6,0.001136,0.003145,0.008214,0.01252,0.019394,0.021362,0.023664,0.026408,0.029764,0.034015,0.039658,0.047713,0.060698,0.087874,0.098084,0.112362,0.122073
19,80.2,6.6,0.001747,0.003776,0.008763,0.012916,0.019416,0.021254,0.02339,0.025921,0.028997,0.032862,0.037951,0.045142,0.056594,0.080154,0.088897,0.101045,0.109265
20,80.4,6.6,0.001861,0.003957,0.008945,0.013029,0.019313,0.021068,0.023097,0.025489,0.028377,0.031979,0.03668,0.043252,0.053577,0.074395,0.082003,0.092489,0.099529
21,80.6,6.6,0.000302,0.002206,0.006884,0.01072,0.01662,0.018268,0.020174,0.022421,0.025137,0.028529,0.032962,0.039174,0.048959,0.068785,0.076063,0.086116,0.092883
22,80.8,6.6,0.00024,0.000548,0.004994,0.008626,0.014182,0.015731,0.017522,0.019631,0.022179,0.025358,0.029512,0.035333,0.044506,0.063099,0.06993,0.079373,0.085732
23,81,6.6,0.00024,0.00024,0.002419,0.005875,0.011141,0.012607,0.014301,0.016299,0.018713,0.021731,0.025681,0.031232,0.04002,0.057977,0.064615,0.073824,0.080048
24,81.2,6.6,0.00024,0.00024,0.002261,0.004831,0.009918,0.011328,0.012954,0.014868,0.017176,0.020054,0.023814,0.029085,0.037395,0.054249,0.060438,0.068986,0.074738
25,81.4,6.6,0.00024,0.00024,0.002311,0.004254,0.008941,0.010248,0.011762,0.013547,0.015708,0.018414,0.021964,0.026966,0.034911,0.051181,0.057196,0.065533,0.071158
26,81.6,6.6,0.00024,0.00024,0.002383,0.005113,0.009638,0.01091,0.012386,0.014132,0.016252,0.018913,0.022416,0.027365,0.035249,0.051436,0.057428,0.065736,0.071345
27,80,6.8,0.002078,0.004394,0.009944,0.014629,0.0221,0.024236,0.026732,0.029703,0.033334,0.037922,0.044003,0.052656,0.06655,0.095427,0.106211,0.121234,0.131417
28,80.2,6.8,0.002203,0.004421,0.009725,0.014147,0.021101,0.023071,0.025364,0.028083,0.03139,0.035551,0.041032,0.048785,0.061139,0.086552,0.095974,0.109054,0.117893
29,80.4,6.8,0.001189,0.003114,0.007944,0.011976,0.018293,0.020081,0.02216,0.024624,0.027622,0.031393,0.036364,0.043397,0.054622,0.077791,0.086413,0.098411,0.106541
30,80.6,6.8,0.001116,0.003122,0.007967,0.011936,0.018044,0.01975,0.021723,0.024049,0.026859,0.030365,0.034946,0.041355,0.051437,0.071814,0.079276,0.089571,0.096493
31,80.8,6.8,0.00024,0.001225,0.005777,0.009503,0.015223,0.01682,0.018668,0.020844,0.023476,0.026761,0.031057,0.037079,0.046574,0.065835,0.072914,0.082702,0.089294
32,81,6.8,0.00024,0.00024,0.003452,0.006985,0.012376,0.013878,0.015615,0.017662,0.020136,0.023225,0.027268,0.032941,0.041907,0.060167,0.066898,0.076224,0.082518
33,81.2,6.8,0.00024,0.00024,0.002316,0.005734,0.010912,0.012349,0.014006,0.015956,0.018308,0.021241,0.025072,0.030433,0.038869,0.055935,0.062186,0.07081,0.076607
34,81.4,6.8,0.00024,0.00024,0.00231,0.004764,0.009559,0.010898,0.012446,0.014273,0.016482,0.019248,0.022875,0.02798,0.036074,0.052604,0.058702,0.067143,0.072832
35,81.6,6.8,0.00024,0.00024,0.002402,0.005385,0.009994,0.011288,0.01279,0.014568,0.016724,0.019431,0.022991,0.028018,0.036014,0.052401,0.058458,0.06685,0.072511
36,81.8,6.8,0.00024,0.00024,0.004055,0.007111,0.011868,0.013209,0.014766,0.01661,0.018848,0.021656,0.02535,0.030554,0.038805,0.055627,0.061817,0.070372,0.076131
37,93.8,6.8,0.121068,0.186775,0.295292,0.385285,0.532974,0.575676,0.625648,0.685247,0.758068,0.849959,0.971265,1.14267,1.414571,1.967042,2.169491,2.448538,2.635937
38,80,7,0.00286,0.005476,0.011495,0.016553,0.024614,0.026917,0.029605,0.032804,0.036709,0.041639,0.048161,0.057421,0.072244,0.102869,0.114242,0.130032,0.140696
39,80.2,7,0.001678,0.003809,0.009064,0.01351,0.020595,0.022622,0.024989,0.027809,0.031255,0.035613,0.041391,0.049623,0.06286,0.090457,0.100793,0.115221,0.125019
40,80.4,7,0.001904,0.003977,0.009032,0.013237,0.019821,0.021683,0.023846,0.026409,0.029523,0.033436,0.038586,0.04586,0.05744,0.081237,0.090061,0.102315,0.110601
41,80.6,7,0.00177,0.003862,0.008843,0.01292,0.019194,0.020947,0.022973,0.025361,0.028245,0.031842,0.036537,0.043101,0.053414,0.074213,0.081816,0.092295,0.099332
42,80.8,7,0.00024,0.002008,0.006659,0.010465,0.016305,0.017935,0.01982,0.02204,0.02472,0.028066,0.032436,0.038553,0.048177,0.067643,0.074779,0.084631,0.09126
43,81,7,0.00024,0.00024,0.004268,0.007861,0.01335,0.014881,0.01665,0.018734,0.021252,0.024395,0.028504,0.034265,0.043355,0.061814,0.068606,0.078003,0.084336
44,81.2,7,0.00024,0.00024,0.00226,0.005281,0.010396,0.011823,0.013474,0.015422,0.017781,0.020733,0.024606,0.030058,0.038713,0.056466,0.063045,0.072184,0.078367
45,81.4,7,0.00024,0.00024,0.002309,0.005167,0.01004,0.011399,0.012972,0.014826,0.01707,0.019877,0.023556,0.028731,0.036925,0.053622,0.059772,0.068277,0.074006
46,81.6,7,0.00024,0.00024,0.002562,0.005578,0.010237,0.011546,0.013063,0.014857,0.017034,0.019766,0.023357,0.028424,0.036477,0.052954,0.059038,0.067462,0.07314
47,81.8,7,0.00024,0.00024,0.00412,0.007189,0.011964,0.01331,0.014872,0.016721,0.018965,0.021782,0.025484,0.030699,0.038963,0.055802,0.061996,0.070553,0.076314
48,93.8,7,0.116697,0.178369,0.280197,0.364699,0.503564,0.543766,0.590836,0.647011,0.715704,0.802474,0.917166,1.079503,1.33763,1.864362,2.058104,2.325821,2.506033
49,80,7.2,0.001823,0.004331,0.010302,0.015407,0.023671,0.026057,0.028854,0.032198,0.036301,0.04151,0.048446,0.058371,0.074411,0.108021,0.120637,0.138249,0.150205
50,80.2,7.2,0.002064,0.004347,0.009849,0.014499,0.021915,0.024037,0.026515,0.029466,0.033073,0.037632,0.043676,0.052279,0.066098,0.094842,0.105583,0.120553,0.130704
51,80.4,7.2,0.002443,0.004629,0.009856,0.014194,0.020981,0.022897,0.025124,0.027761,0.030963,0.034982,0.040268,0.047724,0.059568,0.083833,0.092805,0.105247,0.113648
52,80.6,7.2,0.00071,0.002545,0.007236,0.011158,0.017305,0.019045,0.02107,0.023472,0.026395,0.030074,0.034927,0.041804,0.052797,0.07555,0.084037,0.095865,0.103887
53,80.8,7.2,0.000436,0.002366,0.007084,0.010948,0.016889,0.018547,0.020467,0.022728,0.02546,0.028871,0.033328,0.039569,0.049393,0.06928,0.076574,0.086644,0.093421
54,81,7.2,0.00024,0.000382,0.004841,0.008478,0.014039,0.015589,0.017381,0.019491,0.02204,0.02522,0.029376,0.035198,0.044372,0.062966,0.069797,0.07924,0.085599
55,81.2,7.2,0.00024,0.00024,0.002384,0.005773,0.010957,0.012403,0.014076,0.016051,0.01844,0.02143,0.025351,0.030866,0.039611,0.057518,0.064144,0.073342,0.079561
56,81.4,7.2,0.00024,0.00024,0.002307,0.005443,0.010366,0.011738,0.013326,0.015199,0.017463,0.020295,0.024005,0.029221,0.037468,0.05425,0.060424,0.068956,0.0747
57,81.6,7.2,0.00024,0.00024,0.002611,0.005636,0.010307,0.011618,0.013138,0.014936,0.017117,0.019853,0.023448,0.028521,0.036578,0.053058,0.059142,0.067563,0.073239
58,81.8,7.2,0.00024,0.00024,0.00403,0.007095,0.011861,0.013205,0.014765,0.01661,0.01885,0.021663,0.025359,0.030568,0.038823,0.055651,0.061843,0.070399,0.076159
59,93.8,7.2,0.115494,0.173355,0.268664,0.347659,0.477426,0.514993,0.558981,0.611481,0.675689,0.756814,0.864087,1.016024,1.257857,1.752438,1.934735,2.187027,2.357135
60,80,7.4,0.002402,0.005049,0.011224,0.016479,0.024962,0.027408,0.030271,0.03369,0.037882,0.043195,0.050259,0.060349,0.076614,0.110559,0.12326,0.14096,0.152959
61,80.2,7.4,0.002497,0.004875,0.01052,0.015275,0.02285,0.025016,0.027542,0.03055,0.034222,0.038861,0.045002,0.053733,0.067732,0.096765,0.107589,0.122655,0.132857
62,80.4,7.4,0.002266,0.004474,0.009768,0.014182,0.021124,0.023092,0.025381,0.028097,0.031399,0.035554,0.041028,0.048772,0.061113,0.0865,0.095914,0.108986,0.117819
63,80.6,7.4,0.001045,0.002923,0.00768,0.011653,0.017875,0.019636,0.021683,0.024112,0.027065,0.03078,0.035678,0.042611,0.05368,0.076549,0.085067,0.096928,0.104968
64,80.8,7.4,0.000748,0.002707,0.00747,0.01137,0.017364,0.019038,0.020972,0.023253,0.026007,0.029443,0.033932,0.040212,0.050091,0.07006,0.077376,0.087471,0.09426
65,81,7.4,0.00024,0.000686,0.005175,0.008837,0.014437,0.015998,0.017802,0.019927,0.022492,0.025693,0.029873,0.035727,0.044946,0.063609,0.07046,0.079925,0.086296
66,81.2,7.4,0.00024,0.00024,0.002643,0.006046,0.011252,0.012705,0.014386,0.016369,0.018769,0.021771,0.025706,0.03124,0.04001,0.057952,0.064587,0.073794,0.080015
67,81.4,7.4,0.00024,0.00024,0.002305,0.005534,0.010484,0.011864,0.01346,0.015341,0.017617,0.020462,0.024188,0.029424,0.0377,0.054529,0.060717,0.069266,0.07502
68,81.6,7.4,0.00024,0.00024,0.002516,0.005544,0.010216,0.011527,0.013047,0.014845,0.017025,0.01976,0.023355,0.028427,0.036483,0.052965,0.05905,0.067473,0.073153
69,81.8,7.4,0.00024,0.00024,0.003841,0.006878,0.0116,0.01293,0.014475,0.016303,0.018523,0.021309,0.024973,0.030138,0.038328,0.055041,0.061194,0.069701,0.075429
70,79.8,7.6,0.002995,0.006166,0.013238,0.019262,0.02905,0.03188,0.035196,0.039162,0.044027,0.0502,0.058519,0.070762,0.090395,0.131041,0.146147,0.16713,0.181323
71,80,7.6,0.002571,0.005229,0.011421,0.016688,0.025188,0.027638,0.030504,0.033929,0.038125,0.043445,0.050515,0.06061,0.07688,0.110823,0.12352,0.141422,0.153695
72,80.2,7.6,0.002615,0.005002,0.010661,0.015427,0.023016,0.025184,0.027715,0.030727,0.034404,0.039048,0.045196,0.053933,0.067938,0.096974,0.107796,0.122858,0.133056
73,80.4,7.6,0.002379,0.004595,0.009901,0.014324,0.021278,0.02325,0.025543,0.028263,0.03157,0.03573,0.041212,0.048964,0.061314,0.086713,0.096129,0.1092,0.118033
74,80.6,7.6,0.001151,0.003032,0.007794,0.011771,0.018,0.019762,0.021812,0.024242,0.027198,0.030915,0.035816,0.042752,0.053825,0.076695,0.085211,0.097069,0.105106
75,80.8,7.6,0.000845,0.002806,0.007575,0.01148,0.017482,0.019158,0.021095,0.023379,0.026136,0.029577,0.03407,0.040358,0.050246,0.07023,0.07755,0.087651,0.094443
76,81,7.6,0.00024,0.000772,0.005266,0.008933,0.014541,0.016105,0.017911,0.020039,0.022608,0.025812,0.029998,0.035859,0.045086,0.063762,0.070617,0.080085,0.086459
77,81.2,7.6,0.00024,0.00024,0.002675,0.006084,0.011298,0.012753,0.014436,0.016421,0.018824,0.021829,0.025768,0.031307,0.040085,0.058034,0.064672,0.073881,0.080104
78,81.4,7.6,0.00024,0.00024,0.0023,0.005459,0.010399,0.011776,0.013368,0.015246,0.017515,0.020353,0.024069,0.029291,0.037545,0.054333,0.060506,0.069037,0.074779
79,81.6,7.6,0.00024,0.00024,0.002364,0.005318,0.009956,0.011258,0.012767,0.014552,0.016717,0.019432,0.023002,0.02804,0.036049,0.052452,0.058513,0.066908,0.07257
80,79.8,7.8,0.00413,0.007386,0.014496,0.020481,0.030102,0.032865,0.036094,0.039991,0.044988,0.051283,0.05959,0.07135,0.090096,0.128558,0.142753,0.162394,0.175629
81,80,7.8,0.00226,0.00482,0.01087,0.016032,0.024379,0.026787,0.029608,0.03298,0.037114,0.042359,0.049338,0.059772,0.076567,0.111478,0.124518,0.142683,0.154993
82,80.2,7.8,0.00242,0.004733,0.01028,0.014963,0.022427,0.024562,0.027053,0.03002,0.033644,0.038223,0.044289,0.052917,0.066766,0.095533,0.106274,0.121236,0.131378
83,80.4,7.8,0.002778,0.004984,0.010243,0.014606,0.02143,0.023356,0.025594,0.028243,0.031459,0.035494,0.040798,0.048276,0.060149,0.084445,0.093422,0.105866,0.114264
84,80.6,7.8,0.001132,0.002984,0.007702,0.011641,0.017806,0.019551,0.021578,0.023982,0.026906,0.030583,0.035429,0.042287,0.053233,0.07584,0.084258,0.095982,0.103929
85,80.8,7.8,0.000738,0.002672,0.007402,0.011278,0.017236,0.018901,0.020825,0.023093,0.025833,0.029251,0.033719,0.039972,0.049812,0.069717,0.077013,0.087085,0.093861
86,81,7.8,0.00024,0.000641,0.005105,0.008748,0.01432,0.015874,0.017669,0.019784,0.022338,0.025524,0.029687,0.035518,0.044702,0.063307,0.070139,0.079582,0.08594
87,81.2,7.8,0.00024,0.00024,0.002472,0.005867,0.011056,0.012504,0.014179,0.016156,0.018547,0.021539,0.025461,0.030977,0.039724,0.057624,0.064248,0.073441,0.079656
88,81.4,7.8,0.00024,0.00024,0.002296,0.005199,0.010117,0.011487,0.013071,0.014938,0.017196,0.020019,0.023717,0.028913,0.037132,0.053862,0.060018,0.068529,0.074261
89,81.6,7.8,0.00024,0.00024,0.002356,0.00501,0.009584,0.010867,0.012355,0.014115,0.016249,0.018927,0.022447,0.02742,0.035331,0.051559,0.057562,0.065884,0.071499
90,80,8,0.003572,0.006282,0.012445,0.017609,0.025824,0.028168,0.030901,0.034153,0.03815,0.043499,0.050537,0.060469,0.076256,0.108592,0.120537,0.137074,0.148218
91,80.2,8,0.002285,0.004482,0.009843,0.014369,0.021574,0.023633,0.026036,0.028898,0.032392,0.036807,0.042656,0.050978,0.06488,0.093892,0.104689,0.119714,0.129894
92,80.4,8,0.002456,0.004563,0.009675,0.013924,0.02057,0.022449,0.02463,0.027214,0.030352,0.034292,0.039474,0.046788,0.058415,0.082266,0.091098,0.103355,0.111639
93,80.6,8,0.002302,0.004416,0.009439,0.013548,0.019869,0.021635,0.023675,0.026079,0.028981,0.032599,0.03732,0.043914,0.054267,0.075114,0.082727,0.093213,0.10025
94,80.8,8,0.000607,0.002509,0.007182,0.011007,0.016877,0.018515,0.020408,0.022639,0.025331,0.028691,0.033077,0.039213,0.048859,0.06835,0.075489,0.08534,0.091965
95,81,8,0.00024,0.000275,0.004694,0.008301,0.013817,0.015355,0.017132,0.019227,0.021757,0.024914,0.029042,0.034827,0.043948,0.062455,0.06926,0.078671,0.085011
96,81.2,8,0.00024,0.00024,0.002257,0.005435,0.010571,0.012003,0.01366,0.015614,0.017979,0.020938,0.02482,0.030281,0.038946,0.056709,0.063287,0.072425,0.078606
97,81.4,8,0.00024,0.00024,0.002297,0.004797,0.009661,0.011015,0.01258,0.014426,0.016657,0.019447,0.023101,0.028239,0.036372,0.05295,0.059059,0.067509,0.073202
98,93.4,8,0.115469,0.175859,0.278559,0.363897,0.503915,0.544399,0.591777,0.648286,0.717334,0.804472,0.919524,1.082149,1.340235,1.865167,2.057782,2.323552,2.502206
