,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,zoneid,ratio 4.5,ratio 5.5
0,1.0,2.9854,0.2661,7.0258,0.1064,542.0,542.0,,2.35,0.4
1,1.0,2.851,0.335,5.3521,0.1322,472.0,472.0,,1.88,0.39
2,1.0,1.9275,0.3273,3.0652,0.1099,313.0,313.0,,1.59,0.34
3,1.0,0.8511,0.0891,2.1228,0.0285,1566.0,1343.0,,2.49,0.32
4,1.0,1.5668,0.1928,3.3257,0.1212,486.0,486.0,,2.12,0.63
5,1.0,1.6032,0.1567,3.8683,0.0907,696.0,696.0,,2.41,0.58
6,1.0,1.0715,0.0891,2.914,0.0365,1019.0,1005.0,,2.72,0.41
7,1.0,0.8913,0.1349,2.2855,0.1853,1746.0,1746.0,,2.56,1.37
8,1.0,1.2445,0.1679,2.8852,0.1171,498.0,498.0,,2.32,0.7
9,1.0,1.6218,0.309,2.4715,0.0692,1064.0,1064.0,,1.52,0.22
10,1.0,0.7328,0.1303,2.1116,0.0745,900.0,900.0,,2.88,0.57
11,1.0,0.7586,0.1445,1.5871,0.0674,1931.0,1967.0,,2.09,0.47
12,1.0,2.9512,0.309,4.0965,0.2773,1788.0,1788.0,,1.39,0.9
13,1.0,2.5119,0.3311,5.4609,0.2275,1204.0,1204.0,,2.17,0.69
14,1.0,0.3631,0.055,0.956,0.0643,1264.0,1264.0,,2.63,1.17
15,1.0,1.1092,0.1567,4.919,0.1264,1240.0,1240.0,,4.43,0.81
16,1.0,1.135,0.2113,1.9683,0.0606,915.0,915.0,,1.73,0.29
17,1.0,5.188,0.2317,5.1148,0.0635,913.0,913.0,,0.99,0.27
18,1.0,4.7315,0.5309,6.0405,0.2883,2090.0,2052.0,,1.28,0.54
19,1.0,0.5433,0.061,1.3868,0.048,1176.0,1105.0,,2.55,0.79
20,1.0,0.3802,0.0525,0.3195,0.003,1095.0,324.0,,0.84,0.06
21,1.0,0.0002,0.0,0.1929,0.003,3110.0,439.0,,964.5,inf
22,1.0,0.0501,0.0069,0.3629,0.0268,1472.0,1145.0,,7.24,3.88
23,1.0,0.0359,0.0023,0.034,0.0052,339.0,382.0,,0.95,2.26
24,1.0,0.0603,0.0083,0.1178,0.0012,944.0,188.0,,1.95,0.14
