zoneid,bvalue,stdbvalue,avalue,mmax,stdmmax,strike,dip,rake
918,0.82,0.07,3.89,8.9,0.2,337,25,108
908,0.92,0.1,4.41,8.8,0.2,334,58,150
913,0.93,0.14,4.35,8.8,0.4,153,88,185
22,0.73,0.1,3.34,8.8,0.2,308,31,108
13,0.75,0.07,3.24,8.8,0.4,138,78,94
21,0.85,0.09,3.87,8.6,0.2,291,14,90
12,0.72,0.07,3.45,8.6,0.4,114,57,66
14,0.72,0.09,3.12,8.6,0.4,298.4,10.2,126.0
906,0.94,0.11,4.47,8.5,0.4,229,84,342
58,0.95,0.06,4.95,8.4,0.4,151,75,180
914,1.01,0.09,5.24,8.3,0.4,2.1,68.0,166.3
15,0.98,0.1,4.88,8.3,0.4,204,71,24
16,0.88,0.08,4.36,8.3,0.4,298,18,126
8,0.82,0.08,3.64,8.3,0.3,271,34,113
6,1.01,0.09,4.75,8.2,0.4,189,42,307
63,0.95,0.05,4.01,8.2,0.4,298,39,136
911,0.86,0.09,3.85,8.2,0.4,318,31,69
1,1.05,0.07,5.2,8,0.4,202,73,30
2,0.93,0.09,4.64,8,0.4,306,31,142
916,0.95,0.09,4.52,8,0.3,192,46,124
9,0.87,0.07,4.01,8,0.4,36,16,171
3,0.77,0.05,3.75,8,0.4,59,89,33
912,1.12,0.13,4.84,7.9,0.3,112,40,90
5,0.91,0.08,4.29,7.8,0.4,274,55,148
910,0.88,0.1,4.27,7.8,0.4,211,10,123
902,0.86,0.12,4.19,7.8,0.4,212,48,299
907,1.07,0.08,5.47,7.7,0.4,20,51,297
905,1.05,0.13,5.18,7.7,0.4,159,52,246
909,1.37,0.12,7.08,7.6,0.3,268,33,278
7,1.08,0.12,4.89,7.6,0.4,203,52,286
901,0.9,0.11,4.39,7.6,0.4,273,80,18
4,0.98,0.08,4.34,7.4,0.4,309,56,177
904,1,0.09,4.38,7.3,0.2,284,83,200
57,1.35,0.1,6.79,7.2,0.4,244,48,283
922,1.09,0.12,4.48,7.2,0.3,206,66,165
919,0.72,0.1,2.73,7.2,0.3,290,61,123
903,1.12,0.12,5.19,7,0.4,104,64,315
917,0.87,0.12,4.17,7,0.4,312,67,158
66,0.86,0.11,3.45,7,0.3,58,83,25
17,0.82,0.11,3.25,7,0.4,219,13,59
921,0.76,0.07,2.53,7,0.4,283,26,129
915,1.36,0.14,5.73,6.6,0.3,234,52,306
74,0.86,0.07,2.57,6.5,0.3,284,47,68
75,1.19,0.12,3.91,6.4,0.3,-1,-1,-1
86,0.81,0.05,0,6.3,0.2,-1,-1,-1
81,0.86,0.12,2.65,6.2,0.3,-1,-1,-1
924,0.63,0.1,1.58,6.2,0.3,-1,-1,-1
82,1.01,0.13,3.14,6.1,0.3,51,66,64
923,0.73,0.06,2.51,6,0.3,-1,-1,-1
71,0.81,0.05,0,5.8,0.3,-1,-1,-1
