Table 1.
        Details of the recording sites in Northeast India for the strong motion data used in the present study.
Sl. No.,Name of site,Latitude,Longitude,Soil class
1.,Baigao,25.400,92.850,C
2.,Baithalangso,25.967,92.600,C
3.,Bamungao,25.883,93.000,C
4.,Berlongfer,25.767,93.250,C
5.,Bokajan,26.000,93.760,C
6.,Cherrapunji,25.267,91.733,B
7.,Dauki,25.183,92.010,C
8.,Diphu,25.917,93.430,C
9.,Doloo,24.917,92.780,C
10.,Gunjung,25.300,93.000,C
11.,Haflong,25.167,93.010,C
12.,Hajadisa,25.367,93.300,C
13.,Harengajao,25.100,92.850,C
14.,Hatikhali,25.650,93.100,C
15.,Hojai,25.983,92.850,C
16.,Jellalpur,25.000,92.450,C
17.,Jhirighat,24.800,93.100,C
18.,Kalain,24.967,92.560,C
19.,Katakhal,24.817,92.630,C
20.,Khliehriat,25.350,92.360,B
21.,Koomber,24.950,93.000,C
22.,Laisong,25.200,93.300,C
23.,Loharghat,25.967,91.467,C
24.,Maibang,25.300,93.130,C
25.,Mawkyrwat,25.367,91.467,B
26.,Mawphlang,25.450,91.767,B
27.,Mawsynram,25.283,91.583,B
28.,Nongkhlaw,25.683,91.633,B
29.,Nongstoin,25.500,91.267,B
30.,Panimur,25.650,92.800,C
31.,Pynursla,25.300,91.900,B
32.,Saitsama,25.717,92.380,C
33.,Shillong,25.550,91.900,B
34.,Silchar,24.817,92.800,C
35.,Ummulong,25.500,92.150,B
36.,Umrongso,25.500,92.610,C
37.,Umsning,25.733,91.883,B
