,Shallow,Events,Deep,Events,,
,Japan,Others,Japan,,,
Period,Data,Earthquake,Data,Earthquake,Data,Earthquake
PGA,3392,73,377,10,8150,111
5.00%,Damped,Acceleration,Spectra,(sec),,
0.05∼1.00,3392,73,377,10,8150,111
1.10∼1.20,3391,73,377,10,8145,111
1.3,3391,73,377,10,8144,111
1.5,3391,73,377,10,8140,111
1.70∼2.00,3391,73,377,10,8137,111
2.2,3380,73,375,10,8100,111
2.50∼3.00,3360,73,375,10,8039,110
3.50∼4.00,3312,73,371,10,7963,110
4.5,3311,73,371,10,7963,110
5,3205,70,331,10,7721,101
PGV,2057,61,352,10,6490,110
