  IMT      a         b       c        d  epsilon
  pga  0.556 -0.003070  0.2560  0.00547    0.366
 0.05  0.540 -0.003540  0.4790  0.00611    0.374
 0.06  0.536 -0.003720  0.5660  0.00648    0.379
 0.07  0.528 -0.003850  0.6690  0.00664    0.384
 0.08  0.524 -0.003970  0.7470  0.00687    0.393
 0.09  0.523 -0.004050  0.7950  0.00710    0.399
  0.1  0.520 -0.004090  0.8470  0.00732    0.404
 0.11  0.501 -0.003990  0.9600  0.00607    0.404
 0.12  0.510 -0.003970  0.9280  0.00619    0.404
 0.13  0.514 -0.003930  0.9140  0.00616    0.403
 0.15  0.518 -0.003800  0.8920  0.00595    0.405
 0.17  0.525 -0.003650  0.8440  0.00557    0.406
  0.2  0.535 -0.003390  0.7610  0.00525    0.401
 0.22  0.535 -0.003190  0.7340  0.00482    0.399
 0.25  0.541 -0.002930  0.6590  0.00436    0.399
  0.3  0.556 -0.002580  0.5050  0.00389    0.392
 0.35  0.561 -0.002370  0.4210  0.00359    0.398
  0.4  0.577 -0.002120  0.2620  0.00329    0.404
 0.45  0.589 -0.001890  0.1290  0.00297    0.405
  0.5  0.593 -0.001610  0.0375  0.00216    0.405
  0.6  0.623 -0.001390 -0.2220  0.00250    0.409
  0.7  0.634 -0.001180 -0.3700  0.00215    0.413
  0.8  0.651 -0.001070 -0.5440  0.00197    0.408
  0.9  0.681 -0.000942 -0.8030  0.00187    0.407
    1  0.710 -0.000878 -1.0400  0.00208    0.406
  1.1  0.722 -0.000737 -1.1900  0.00176    0.405
  1.2  0.732 -0.000614 -1.3200  0.00142    0.405
  1.3  0.742 -0.000554 -1.4400  0.00140    0.405
  1.5  0.773 -0.000518 -1.7000  0.00167    0.398
  1.7  0.791 -0.000464 -1.8900  0.00194    0.391
    2  0.804 -0.000356 -2.0800  0.00195    0.387
  2.2  0.821 -0.000372 -2.2400  0.00216    0.384
  2.5  0.844 -0.000308 -2.4600  0.00228    0.382
    3  0.862 -0.000197 -2.7200  0.00207    0.378
  3.5  0.895 -0.000348 -2.9900  0.00322    0.374
    4  0.921 -0.000512 -3.2100  0.00446    0.375
  4.5  0.944 -0.000703 -3.3900  0.00639    0.377
    5  0.916 -0.000360 -3.3500  0.00303    0.377
  pgv  0.702 -0.000925 -1.9300  0.00217    0.321
