  IMT      a        b       c  d  epsilon
  pga  0.409 -0.00389  1.5600  0    0.397
 0.05  0.394 -0.00404  1.7600  0    0.418
 0.06  0.388 -0.00410  1.8600  0    0.431
 0.07  0.382 -0.00418  1.9600  0    0.445
 0.08  0.379 -0.00422  2.0300  0    0.453
 0.09  0.377 -0.00428  2.0800  0    0.458
  0.1  0.377 -0.00431  2.1200  0    0.461
 0.11  0.377 -0.00435  2.1400  0    0.462
 0.12  0.381 -0.00437  2.1400  0    0.461
 0.13  0.384 -0.00439  2.1300  0    0.459
 0.15  0.388 -0.00436  2.1200  0    0.455
 0.17  0.395 -0.00433  2.0800  0    0.447
  0.2  0.401 -0.00422  2.0200  0    0.438
 0.22  0.403 -0.00413  1.9900  0    0.433
 0.25  0.414 -0.00401  1.8800  0    0.424
  0.3  0.425 -0.00378  1.7500  0    0.415
 0.35  0.434 -0.00357  1.6200  0    0.411
  0.4  0.445 -0.00338  1.4900  0    0.407
 0.45  0.459 -0.00319  1.3300  0    0.406
  0.5  0.471 -0.00303  1.1900  0    0.404
  0.6  0.491 -0.00283  0.9500  0    0.400
  0.7  0.512 -0.00262  0.7180  0    0.401
  0.8  0.534 -0.00245  0.4860  0    0.402
  0.9  0.555 -0.00234  0.2730  0    0.404
    1  0.574 -0.00223  0.0794  0    0.405
  1.1  0.590 -0.00216 -0.0846  0    0.407
  1.2  0.604 -0.00211 -0.2400  0    0.407
  1.3  0.619 -0.00204 -0.3950  0    0.405
  1.5  0.640 -0.00195 -0.6320  0    0.405
  1.7  0.655 -0.00182 -0.8310  0    0.403
    2  0.680 -0.00171 -1.1200  0    0.399
  2.2  0.692 -0.00167 -1.2700  0    0.396
  2.5  0.711 -0.00167 -1.4800  0    0.393
    3  0.729 -0.00169 -1.7200  0    0.387
  3.5  0.748 -0.00167 -1.9700  0    0.377
    4  0.769 -0.00163 -2.2200  0    0.368
  4.5  0.791 -0.00163 -2.4500  0    0.359
    5  0.818 -0.00167 -2.7000  0    0.346
  pgv  0.552 -0.00324 -0.5710  0    0.356
