  IMT     alpha     beta
  pga -0.000067  0.02090
 0.05 -0.000078  0.02370
 0.06 -0.000080  0.02420
 0.07 -0.000082  0.02470
 0.08 -0.000082  0.02500
 0.09 -0.000083  0.02550
  0.1 -0.000082  0.02540
 0.11 -0.000082  0.02560
 0.12 -0.000081  0.02530
 0.13 -0.000080  0.02510
 0.15 -0.000080  0.02510
 0.17 -0.000075  0.02380
  0.2 -0.000070  0.02230
 0.22 -0.000065  0.02090
 0.25 -0.000061  0.01960
  0.3 -0.000055  0.01780
 0.35 -0.000051  0.01670
  0.4 -0.000046  0.01540
 0.45 -0.000046  0.01510
  0.5 -0.000044  0.01440
  0.6 -0.000036  0.01190
  0.7 -0.000029  0.00948
  0.8 -0.000025  0.00819
  0.9 -0.000022  0.00735
    1 -0.000022  0.00761
  1.1 -0.000019  0.00708
  1.2 -0.000016  0.00652
  1.3 -0.000014  0.00585
  1.5 -0.000012  0.00552
  1.7 -0.000009  0.00480
    2 -0.000005  0.00405
  2.2 -0.000001  0.00311
  2.5  0.000003  0.00215
    3  0.000003  0.00201
  3.5  0.000002  0.00206
    4  0.000009  0.00227
  4.5 -0.000002  0.00295
    5 -0.000005  0.00344
  pgv -0.000019  0.00724
