T,c1,c2,c3,c4,sigma
0.000,1.7615,0.9325,-0.0706,0.0086,0.3292
0.010,1.8163,0.9313,-0.0698,0.0087,0.3322
0.015,1.9414,0.9249,-0.0674,0.0090,0.3491
0.020,2.1897,0.9148,-0.0634,0.0094,0.3925
0.030,2.7216,0.9030,-0.0583,0.0099,0.4143
0.040,2.8862,0.9053,-0.0587,0.0097,0.3391
0.050,2.8514,0.9127,-0.0611,0.0093,0.3061
0.060,2.7665,0.9215,-0.0643,0.0089,0.2976
0.075,2.6372,0.9356,-0.0699,0.0085,0.2917
0.090,2.5227,0.9505,-0.0763,0.0082,0.2873
0.100,2.4556,0.9608,-0.0809,0.0080,0.2845
0.150,2.1864,1.0152,-0.1064,0.0072,0.2737
0.200,1.9852,1.0723,-0.1337,0.0067,0.2666
0.300,1.6781,1.1848,-0.1853,0.0059,0.2586
0.400,1.4334,1.2880,-0.2278,0.0054,0.2531
0.500,1.2230,1.3797,-0.2604,0.0050,0.2470
0.600,1.0331,1.4603,-0.2845,0.0048,0.2407
0.700,0.8597,1.5314,-0.3020,0.0045,0.2346
0.750,0.7784,1.5638,-0.3088,0.0044,0.2318
0.800,0.6989,1.5944,-0.3144,0.0043,0.2294
0.900,0.5488,1.6505,-0.3229,0.0042,0.2253
1.000,0.4082,1.7010,-0.3284,0.0041,0.2224
1.200,0.1484,1.7880,-0.3331,0.0039,0.2202
1.500,-0.1937,1.8927,-0.3306,0.0037,0.2226
2.000,-0.6747,2.0218,-0.3147,0.0035,0.2337
2.500,-1.0761,2.1156,-0.2938,0.0034,0.2458
3.000,-1.4190,2.1869,-0.2723,0.0033,0.2557
4.000,-1.9856,2.2879,-0.2328,0.0033,0.2685
