Coeff  a1    a2  sigma
0.000   0  0.36   0.03
0.010   0  0.35   0.04
0.015   0  0.31   0.06
0.020   0  0.26   0.08
0.030   0  0.25   0.04
0.040   0  0.31   0.01
0.050   0  0.36   0.01
0.060   0  0.39   0.01
0.075   0  0.43   0.01
0.090   0  0.46   0.01
0.100   0  0.47   0.01
0.150   0  0.50   0.02
0.200   0  0.51   0.02
0.300   0  0.53   0.03
0.400   0  0.52   0.03
0.500   0  0.51   0.06
0.600   0  0.49   0.01
0.700   0  0.49   0.01
0.750   0  0.48   0.02
0.800   0  0.47   0.01
0.900   0  0.46   0.01
1.000   0  0.45   0.02
1.200   0  0.43   0.01
1.500   0  0.39   0.02
2.000   0  0.36   0.03
2.500   0  0.34   0.04
3.000   0  0.32   0.04
4.000   0  0.31   0.05
