Coeff  a1    a2  sigma
0.000   0  0.49   0.08
0.010   0  0.43   0.11
0.015   0  0.36   0.16
0.020   0  0.24   0.09
0.030   0  0.18   0.03
0.040   0  0.29   0.01
0.050   0  0.40   0.02
0.060   0  0.48   0.02
0.075   0  0.56   0.03
0.090   0  0.62   0.02
0.100   0  0.71   0.01
0.150   0  0.74   0.01
0.200   0  0.76   0.02
0.300   0  0.76   0.02
0.400   0  0.74   0.01
0.500   0  0.72   0.02
0.600   0  0.69   0.02
0.700   0  0.68   0.02
0.750   0  0.66   0.02
0.800   0  0.63   0.01
0.900   0  0.61   0.02
1.000   0  0.62   0.11
1.200   0  0.57   0.03
1.500   0  0.51   0.04
2.000   0  0.44   0.06
2.500   0  0.40   0.08
3.000   0  0.38   0.10
4.000   0  0.36   0.11
