Coeff    a1    a2  sigma
0.000 -0.89  0.66   0.23
0.010 -0.89  0.66   0.23
0.015 -0.89  0.54   0.23
0.020 -0.91  0.32   0.19
0.030 -0.94 -0.01   0.21
0.040 -0.87 -0.05   0.21
0.050 -0.83  0.11   0.18
0.060 -0.83  0.27   0.18
0.075 -0.81  0.50   0.19
0.090 -0.83  0.68   0.18
0.100 -0.84  0.79   0.15
0.150 -0.93  1.11   0.16
0.200 -0.78  1.16   0.18
0.300  0.06  1.03   0.13
0.400 -0.06  0.99   0.13
0.500 -0.17  0.97   0.12
0.600 -0.04  0.93   0.12
0.700 -0.25  0.88   0.12
0.750  0.36  0.86   0.09
0.800 -0.34  0.84   0.12
0.900 -0.29  0.81   0.12
1.000  0.24  0.78   0.10
1.200 -0.11  0.67   0.09
1.500 -0.10  0.62   0.09
2.000 -0.13  0.47   0.08
2.500 -0.15  0.39   0.08
3.000 -0.17  0.32   0.09
4.000 -0.19  0.35   0.08
