Coeff    a1    a2  sigma
0.000 -2.61  0.80   0.36
0.010 -2.62  0.80   0.37
0.015 -2.62  0.69   0.37
0.020 -2.61  0.55   0.34
0.030 -2.54  0.42   0.31
0.040 -2.44  0.58   0.31
0.050 -2.34  0.65   0.29
0.060 -2.78  0.83   0.29
0.075 -2.32  0.93   0.19
0.090 -2.27  1.04   0.29
0.100 -2.25  1.12   0.19
0.150 -2.38  1.40   0.28
0.200 -2.32  1.57   0.19
0.300 -1.86  1.51   0.16
0.400 -1.28  1.43   0.16
0.500 -0.69  1.34   0.21
0.600 -0.56  1.32   0.21
0.700 -0.42  1.29   0.21
0.750 -0.36  1.28   0.19
0.800 -0.18  1.27   0.21
0.900  0.17  1.25   0.21
1.000  0.53  1.23   0.15
1.200  0.77  1.14   0.17
1.500  1.13  1.01   0.17
2.000  0.61  0.79   0.15
2.500  0.37  0.68   0.15
3.000  0.13  0.60   0.13
4.000  0.12  0.44   0.15
