Event code,Name of earthquake,Date dd-mm-yyyy,Depth (km),Mw,Style of faulting,NR
India
Ind1,Dharmsala,26-04-1986,33,5.5,Reverse,5
Ind2,North-East India,10-09-1986,43,5.5,Strike-slip,9
Ind3,India-Burma border,18-05-1987,50,6.3,Strike-slip,13
Ind4,Uttarkashi,20-10-1991,19,6.8,Reverse,13
Ind5,India-Burma border,08-05-1997,35,5.9,Strike-slip,10
Ind6,Chamoli,28-03-1999,21,6.6,Reverse,8
Iran,,,,,,
Ira1,Zanjiran,20-06-1994,6,5.9,Strike-slip,6
Ira2,Sarein(Ardebil)∗,28-02-1997,15,6.1,Strike-slip,5
Ira3,Karebas,06-05-1999,33,6.2,Strike-slip,13
Ira4,Pol-e-Abgineh,31-10-1999,33,5.2,Reverse,4
Ira5,Avaj-Changeruh∗,22-06-2002,5,6.5,Reverse,21
Ira6,Bam∗,26-12-2003,7,6.6,Strike-slip,12
Ira7,Kojur – Firoozabad∗,28-05-2004,25,6.3,Reverse,52
Ira8,Dahooeiyeh-Zarand∗,22-02-2005,10,6.4,Reverse,12
Ira9,Qeshm Island,27-11-2005,10,6.0,Reverse,8
Ira10,Silakhor,31-03-2006,12,6.1,Strike-slip,10
