Event code,Name of earthquake,Date dd-mm-yyyy,Depth (km),Mw,Style of faulting,NR,time,latitude,longitude,depth,mag,magType,place
Ind1,Dharmsala,26-04-1986,33,5.5,Reverse,5,1986-04-26T07:35:16.100Z,32.128,76.374,33,5.5,mw,"Himachal Pradesh, India"
Ind2,North-East India,10-09-1986,43,5.5,Strike-slip,9,1986-09-10T07:50:25.570Z,25.385,92.077,43.1,5.2,mb,"Meghalaya - Assam region, India"
Ind3,India-Burma border,18-05-1987,50,6.3,Strike-slip,13,1987-05-18T01:53:51.040Z,25.271,94.202,49.5,6.3,mw,Myanmar-India border region
Ind4,Uttarkashi,20-10-1991,19,6.8,Reverse,13,1991-10-19T21:23:14.300Z,30.78,78.774,10.3,6.8,mwb,"Uttaranchal, India"
Ind5,India-Burma border,08-05-1997,35,5.9,Strike-slip,10,1997-05-08T02:53:14.730Z,24.894,92.25,34.9,6,mwb,India-Bangladesh border region
Ind6,Chamoli,28-03-1999,21,6.6,Reverse,8,1999-03-28T19:05:11.030Z,30.512,79.403,15,6.6,mwb,"Uttaranchal, India"
Ira1,Zanjiran,20-06-1994,6,5.9,Strike-slip,6,1994-06-20T09:09:02.910Z,28.968,52.614,8.6,5.9,mw,southern Iran
Ira2,Sarein(Ardebil)∗,28-02-1997,15,6.1,Strike-slip,5,1997-02-28T12:57:18.640Z,38.075,48.05,10,6.1,mwc,Azerbaijan-Iran border region
Ira3,Karebas,06-05-1999,33,6.2,Strike-slip,13,1999-05-06T23:00:53.120Z,29.501,51.88,33,6.2,mwc,southern Iran
Ira4,Pol-e-Abgineh,31-10-1999,33,5.2,Reverse,4,1999-10-31T15:09:39.860Z,29.413,51.807,33,5.2,mwc,southern Iran
Ira5,Avaj-Changeruh∗,22-06-2002,5,6.5,Reverse,21,2002-06-22T02:58:21.300Z,35.626,49.047,10,6.5,mwc,western Iran
Ira6,Bam∗,26-12-2003,7,6.6,Strike-slip,12,2003-12-26T01:56:52.440Z,28.995,58.311,10,6.6,mwc,southeastern Iran
Ira7,Kojur – Firoozabad∗,28-05-2004,25,6.3,Reverse,52,2004-05-28T12:38:44.470Z,36.29,51.61,17,6.3,mwc,northern Iran
Ira8,Dahooeiyeh-Zarand∗,22-02-2005,10,6.4,Reverse,12,2005-02-22T02:25:22.920Z,30.754,56.816,14,6.4,mwc,central Iran
Ira9,Qeshm Island,27-11-2005,10,6,Reverse,8,2005-11-27T10:22:19.190Z,26.774,55.858,10,5.9,mwc,southern Iran
Ira10,Silakhor,31-03-2006,12,6.1,Strike-slip,10,2006-03-31T01:17:00.960Z,33.5,48.78,7,6.1,mwc,western Iran
