,City,Latitude (°N),Longitude (°E),NT2012,A2016,Error (%)
0,Ahmedabad,23.03,72.61,0.11,0.0712802,-35.2
1,Bangalore,12.98,77.58,0.11,0.0439221,-60.1
2,Bhuj,23.25,69.66,0.42,0.21151,-49.6
3,Chennai,13.0,80.18,0.12,0.0462457,-61.5
4,Dehradun,30.33,78.04,0.47,0.250375,-46.7
5,Guwahati,26.18,91.73,0.66,0.410733,-37.8
6,Hyderabad,17.45,78.46,0.09,0.0403032,-55.2
7,Imphal,24.78,93.94,0.68,0.316107,-53.5
8,Jabalpur,23.2,79.95,0.19,0.0443856,-76.6
9,Kolkata,22.65,88.45,0.15,0.0683362,-54.4
10,Koyna,17.4,73.75,0.47,0.157784,-66.4
11,Mumbai,19.11,72.85,0.16,0.157534,-1.5
12,New Delhi,28.56,77.11,0.24,0.0809132,-66.3
13,Patna,25.6,85.1,0.13,0.0950281,-26.9
14,Port Blair,11.61,92.72,0.71,0.269528,-62.0
15,Shillong,25.48,92.11,0.72,0.412384,-42.7
16,Srinagar,34.08,74.8,0.33,0.246372,-25.3
17,Thiruvananthapuram,8.5,76.95,0.07,0.0428181,-38.8
