# mean, investigation_time=1.0, imt="SA(0.2)"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
69.66000,23.25000,0.00000,3.802719E-01,3.509718E-01,3.080975E-01,2.520110E-01,1.944473E-01,1.364005E-01,9.358234E-02,5.932716E-02,3.471299E-02,1.863610E-02,9.834909E-03,4.757923E-03,2.431553E-03,1.159893E-03,5.098947E-04,2.019077E-04,7.883656E-05,2.748271E-05,1.049913E-05
72.61000,23.03000,0.00000,1.473989E-01,1.264294E-01,9.840206E-02,6.757662E-02,4.278904E-02,2.394829E-02,1.342186E-02,6.870470E-03,3.199494E-03,1.342980E-03,5.648884E-04,2.212869E-04,9.795365E-05,4.209257E-05,1.730816E-05,6.560428E-06,2.486770E-06,8.563563E-07,3.383496E-07
72.85000,19.11000,0.00000,1.920878E-01,1.669927E-01,1.329682E-01,9.457997E-02,6.264228E-02,3.724493E-02,2.223292E-02,1.228535E-02,6.277965E-03,2.943974E-03,1.372440E-03,5.813439E-04,2.630086E-04,1.094055E-04,4.101672E-05,1.335122E-05,4.161102E-06,1.070432E-06,3.010410E-07
73.75000,17.40000,0.00000,3.288414E-01,3.122038E-01,2.869588E-01,2.522162E-01,2.137152E-01,1.697523E-01,1.312423E-01,9.376630E-02,6.071530E-02,3.481278E-02,1.869784E-02,8.803046E-03,4.249055E-03,1.855380E-03,7.206531E-04,2.406335E-04,7.622584E-05,1.986216E-05,5.693755E-06
74.80000,34.08000,0.00000,6.154264E-01,5.839053E-01,5.375767E-01,4.720378E-01,3.950978E-01,3.037910E-01,2.246843E-01,1.519542E-01,9.341478E-02,5.224252E-02,2.891061E-02,1.517545E-02,8.689995E-03,4.912371E-03,2.743618E-03,1.504387E-03,8.639732E-04,4.931529E-04,3.112283E-04
76.95000,8.50000,0.00000,9.447037E-03,8.082293E-03,6.307149E-03,4.396772E-03,2.850614E-03,1.628099E-03,9.113059E-04,4.533106E-04,1.998913E-04,7.891499E-05,3.183194E-05,1.210556E-05,5.237292E-06,2.203931E-06,8.908423E-07,3.296662E-07,1.176190E-07,3.479765E-08,1.047205E-08
77.11000,28.56000,0.00000,1.770741E-01,1.586018E-01,1.349761E-01,1.075165E-01,8.192860E-02,5.771883E-02,4.031038E-02,2.633329E-02,1.604173E-02,9.025518E-03,4.974018E-03,2.498019E-03,1.301101E-03,6.215643E-04,2.670633E-04,9.958699E-05,3.529662E-05,1.059417E-05,3.470433E-06
77.58000,12.98000,0.00000,3.331184E-02,2.876870E-02,2.261285E-02,1.556597E-02,9.631391E-03,5.018581E-03,2.512967E-03,1.083366E-03,3.999982E-04,1.275326E-04,4.183477E-05,1.344907E-05,5.397580E-06,2.216212E-06,8.929642E-07,3.300256E-07,1.176609E-07,3.450862E-08,1.031628E-08
78.04000,30.33000,0.00000,4.747840E-01,4.368449E-01,3.879797E-01,3.278536E-01,2.664452E-01,2.023630E-01,1.519614E-01,1.078916E-01,7.229371E-02,4.551037E-02,2.837693E-02,1.661427E-02,1.012602E-02,5.883793E-03,3.265445E-03,1.737026E-03,9.606883E-04,5.236850E-04,3.155446E-04
78.46000,17.45000,0.00000,6.718530E-02,5.880811E-02,4.753000E-02,3.473216E-02,2.371529E-02,1.443155E-02,8.629991E-03,4.675655E-03,2.306562E-03,1.042994E-03,4.753036E-04,1.989423E-04,8.971381E-05,3.754073E-05,1.439190E-05,4.886819E-06,1.602267E-06,4.445910E-07,1.281685E-07
