# mean, investigation_time=1.0, imt="PGA"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
69.66000,23.25000,0.00000,3.211973E-01,2.755084E-01,2.218338E-01,1.647683E-01,1.162217E-01,7.503916E-02,4.873544E-02,2.974209E-02,1.698081E-02,8.930112E-03,4.608437E-03,2.157831E-03,1.060878E-03,4.807445E-04,1.974181E-04,7.072322E-05,2.455119E-05,7.623235E-06,2.641700E-06
72.61000,23.03000,0.00000,1.053551E-01,7.765772E-02,5.096759E-02,2.937316E-02,1.593279E-02,7.696956E-03,3.873740E-03,1.830221E-03,8.262678E-04,3.600615E-04,1.656321E-04,7.263319E-05,3.483980E-05,1.561728E-05,6.342962E-06,2.229181E-06,7.598861E-07,2.368623E-07,8.578848E-08
72.85000,19.11000,0.00000,1.423088E-01,1.087581E-01,7.554046E-02,4.748562E-02,2.879283E-02,1.611520E-02,9.396590E-03,5.206016E-03,2.722367E-03,1.310617E-03,6.170268E-04,2.573939E-04,1.122484E-04,4.390891E-05,1.501906E-05,4.289506E-06,1.141877E-06,2.452157E-07,5.762085E-08
73.75000,17.40000,0.00000,2.964345E-01,2.696396E-01,2.363783E-01,1.976333E-01,1.594552E-01,1.196433E-01,8.761822E-02,5.903499E-02,3.596523E-02,1.933726E-02,9.766147E-03,4.291488E-03,1.935794E-03,7.780992E-04,2.717471E-04,7.928439E-05,2.113687E-05,4.674463E-06,1.152784E-06
74.80000,34.08000,0.00000,5.407478E-01,4.815212E-01,4.056516E-01,3.157156E-01,2.302896E-01,1.502203E-01,9.549016E-02,5.540797E-02,2.972694E-02,1.506478E-02,8.041901E-03,4.280177E-03,2.523159E-03,1.464196E-03,8.363063E-04,4.767519E-04,2.908392E-04,1.768885E-04,1.150516E-04
76.95000,8.50000,0.00000,6.768594E-03,5.051364E-03,3.402532E-03,2.031784E-03,1.132770E-03,5.505426E-04,2.715221E-04,1.231875E-04,5.296691E-05,2.209562E-05,9.898069E-06,4.294582E-06,2.059840E-06,9.216027E-07,3.699608E-07,1.252030E-07,3.856544E-08,9.235492E-09,2.013412E-09
77.11000,28.56000,0.00000,1.414832E-01,1.180070E-01,9.316260E-02,6.884603E-02,4.910047E-02,3.248468E-02,2.166486E-02,1.360176E-02,7.985753E-03,4.313482E-03,2.274306E-03,1.081432E-03,5.328772E-04,2.375891E-04,9.282597E-05,3.017557E-05,9.092827E-06,2.304173E-06,6.511410E-07
77.58000,12.98000,0.00000,2.462067E-02,1.853585E-02,1.234376E-02,7.026295E-03,3.592703E-03,1.518147E-03,6.353291E-04,2.337254E-04,7.923410E-05,2.660952E-05,1.050717E-05,4.336338E-06,2.063055E-06,9.227892E-07,3.700094E-07,1.253114E-07,3.839974E-08,9.084441E-09,1.968022E-09
78.04000,30.33000,0.00000,4.028786E-01,3.472292E-01,2.825707E-01,2.135384E-01,1.543052E-01,1.032795E-01,6.983205E-02,4.481178E-02,2.728955E-02,1.567616E-02,9.046501E-03,4.956611E-03,2.902010E-03,1.648952E-03,9.156036E-04,5.023612E-04,2.920194E-04,1.671811E-04,1.030247E-04
78.46000,17.45000,0.00000,5.064189E-02,3.947312E-02,2.816462E-02,1.812882E-02,1.103055E-02,6.009190E-03,3.339582E-03,1.738885E-03,8.577541E-04,3.982605E-04,1.870136E-04,8.036554E-05,3.668995E-05,1.521522E-05,5.579354E-06,1.722712E-06,4.990007E-07,1.143581E-07,2.387497E-08
79.95000,23.20000,0.00000,5.657023E-02,4.761031E-02,3.768298E-02,2.753782E-02,1.899771E-02,1.173195E-02,7.155468E-03,4.010555E-03,2.080342E-03,1.000436E-03,4.864330E-04,2.206160E-04,1.074298E-04,4.817986E-05,1.922649E-05,6.543139E-06,2.040352E-06,4.969679E-07,1.117051E-07
80.18000,13.00000,0.00000,4.179164E-02,3.375469E-02,2.538159E-02,1.766779E-02,1.193118E-02,7.523686E-03,4.849795E-03,2.939369E-03,1.642639E-03,8.177439E-04,3.832434E-04,1.526158E-04,6.142958E-05,2.117303E-05,6.125765E-06,1.457842E-06,3.204698E-07,4.706810E-08,5.564230E-09
85.10000,25.60000,0.00000,1.164835E-01,8.475942E-02,5.693096E-02,3.490005E-02,2.066747E-02,1.122383E-02,6.349912E-03,3.411691E-03,1.747403E-03,8.515320E-04,4.293057E-04,2.082397E-04,1.110719E-04,5.768677E-05,2.939754E-05,1.502206E-05,8.421767E-06,4.819945E-06,3.029283E-06
88.45000,22.65000,0.00000,1.272537E-01,1.012704E-01,7.358366E-02,4.788176E-02,2.921655E-02,1.587002E-02,8.750891E-03,4.491304E-03,2.178877E-03,1.006601E-03,4.815789E-04,2.161312E-04,1.038439E-04,4.573690E-05,1.787746E-05,5.899753E-06,1.855768E-06,5.126197E-07,1.645856E-07
91.73000,26.18000,0.00000,6.395628E-01,5.916144E-01,5.248633E-01,4.383694E-01,3.480455E-01,2.537465E-01,1.803468E-01,1.174595E-01,6.892052E-02,3.556306E-02,1.728031E-02,7.293053E-03,3.181002E-03,1.258622E-03,4.623283E-04,1.622468E-04,6.256093E-05,2.267809E-05,9.094287E-06
92.11000,25.48000,0.00000,6.448888E-01,5.914342E-01,5.175861E-01,4.250056E-01,3.322387E-01,2.389201E-01,1.681544E-01,1.084563E-01,6.289209E-02,3.199871E-02,1.537923E-02,6.463745E-03,2.847112E-03,1.159868E-03,4.465583E-04,1.665784E-04,6.821089E-05,2.652154E-05,1.165559E-05
92.72000,11.61000,0.00000,6.126612E-01,5.524647E-01,4.747698E-01,3.805719E-01,2.880435E-01,1.985519E-01,1.351251E-01,8.571305E-02,5.062227E-02,2.768294E-02,1.502967E-02,7.605948E-03,4.111898E-03,2.129180E-03,1.058246E-03,5.043240E-04,2.509732E-04,1.210209E-04,6.517393E-05
