# mean, investigation_time=1.0, imt="SA(1.0)"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
69.66000,23.25000,0.00000,1.329615E-01,9.664714E-02,6.624608E-02,4.245911E-02,2.669736E-02,1.562101E-02,9.443503E-03,5.398431E-03,2.910965E-03,1.471275E-03,7.507670E-04,3.564667E-04,1.794181E-04,8.306289E-05,3.454908E-05,1.273017E-05,4.721534E-06,1.581008E-06,5.749991E-07
72.61000,23.03000,0.00000,3.124363E-02,2.119434E-02,1.361127E-02,8.141772E-03,4.741665E-03,2.489675E-03,1.318120E-03,6.222848E-04,2.596281E-04,9.696104E-05,3.734699E-05,1.358505E-05,5.624105E-06,2.204448E-06,8.011411E-07,2.690120E-07,9.442117E-08,2.992425E-08,1.020996E-08
72.85000,19.11000,0.00000,3.947994E-02,2.595488E-02,1.604988E-02,9.194824E-03,5.128533E-03,2.570584E-03,1.318042E-03,6.197470E-04,2.708025E-04,1.110515E-04,4.712266E-05,1.840636E-05,7.707579E-06,2.892795E-06,9.547257E-07,2.732331E-07,7.676100E-08,1.703952E-08,3.420506E-09
73.75000,17.40000,0.00000,1.423090E-01,1.075947E-01,7.610787E-02,4.990856E-02,3.181953E-02,1.874599E-02,1.130702E-02,6.374523E-03,3.330052E-03,1.587964E-03,7.447172E-04,3.116547E-04,1.357550E-04,5.247656E-05,1.776868E-05,5.217869E-06,1.501851E-06,3.413313E-07,7.075791E-08
74.80000,34.08000,0.00000,3.634465E-01,2.864147E-01,2.111239E-01,1.438684E-01,9.459445E-02,5.747807E-02,3.582739E-02,2.126847E-02,1.212090E-02,6.676855E-03,3.820936E-03,2.129213E-03,1.280076E-03,7.517167E-04,4.321288E-04,2.426469E-04,1.403901E-04,7.733845E-05,4.474077E-05
76.95000,8.50000,0.00000,1.958373E-03,1.324498E-03,8.345706E-04,4.771947E-04,2.575657E-04,1.195738E-04,5.533537E-05,2.272654E-05,8.493909E-06,3.019182E-06,1.202746E-06,4.845574E-07,2.212758E-07,9.353354E-08,3.507106E-08,1.104239E-08,3.128207E-09,6.107728E-10,9.022944E-11
77.11000,28.56000,0.00000,5.753851E-02,4.262074E-02,3.010477E-02,2.013759E-02,1.332983E-02,8.326833E-03,5.361365E-03,3.272820E-03,1.873123E-03,9.869126E-04,5.088355E-04,2.362141E-04,1.143547E-04,5.110062E-05,2.139339E-05,8.599517E-06,3.726296E-06,1.530174E-06,6.819376E-07
77.58000,12.98000,0.00000,5.260954E-03,3.152890E-03,1.724533E-03,8.390693E-04,3.874670E-04,1.541932E-04,6.371432E-05,2.394780E-05,8.493572E-06,2.978842E-06,1.190912E-06,4.816346E-07,2.199813E-07,9.287060E-08,3.478267E-08,1.093813E-08,3.097194E-09,6.073517E-10,8.951830E-11
78.04000,30.33000,0.00000,2.239808E-01,1.690941E-01,1.207212E-01,8.136114E-02,5.446218E-02,3.488835E-02,2.339420E-02,1.527459E-02,9.672041E-03,5.860873E-03,3.549799E-03,2.013973E-03,1.195809E-03,6.847755E-04,3.854980E-04,2.164327E-04,1.287322E-04,7.531516E-05,4.709199E-05
78.46000,17.45000,0.00000,1.597957E-02,1.085579E-02,6.851793E-03,3.926245E-03,2.144606E-03,1.035216E-03,5.124335E-04,2.332689E-04,9.867512E-05,3.909730E-05,1.627740E-05,6.435182E-06,2.813276E-06,1.137045E-06,4.117193E-07,1.260641E-07,3.481184E-08,6.573393E-09,9.223857E-10
