# mean, investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
69.66000,23.25000,3.155197E-01,6.933741E-01,4.883009E-01,1.064476E+00,1.209128E-01,3.031127E-01
72.61000,23.03000,6.580635E-02,1.465665E-01,1.232108E-01,2.566852E-01,3.650359E-02,8.260445E-02
72.85000,19.11000,1.116484E-01,2.503434E-01,1.734582E-01,3.722587E-01,3.664750E-02,8.225459E-02
73.75000,17.40000,4.304934E-01,8.183054E-01,6.271586E-01,1.191877E+00,1.299511E-01,2.879635E-01
74.80000,34.08000,4.136029E-01,7.659422E-01,8.298962E-01,1.612499E+00,3.391116E-01,9.522695E-01
76.95000,8.50000,3.877013E-02,9.526931E-02,6.824861E-02,1.521394E-01,1.267830E-02,3.018600E-02
77.11000,28.56000,2.241615E-01,5.048767E-01,3.504069E-01,7.804295E-01,8.616482E-02,2.269890E-01
77.58000,12.98000,9.494953E-02,2.250963E-01,1.428972E-01,3.244132E-01,2.165983E-02,5.294738E-02
78.04000,30.33000,5.280607E-01,1.444457E+00,1.224045E+00,3.319600E+00,2.951867E-01,8.733189E-01
78.46000,17.45000,7.188080E-02,1.696723E-01,1.177978E-01,2.645977E-01,2.402654E-02,5.682724E-02
79.95000,23.20000,1.244864E-01,2.844553E-01,2.010861E-01,4.521235E-01,4.299574E-02,1.065499E-01
80.18000,13.00000,8.412934E-02,2.028431E-01,1.250187E-01,2.864344E-01,1.803008E-02,4.452920E-02
85.10000,25.60000,9.254307E-02,2.245634E-01,1.766596E-01,4.332594E-01,6.600216E-02,1.937643E-01
88.45000,22.65000,1.136887E-01,2.521715E-01,1.917060E-01,4.080372E-01,4.974076E-02,1.141330E-01
91.73000,26.18000,5.576724E-01,1.031457E+00,9.964629E-01,1.807193E+00,3.177381E-01,7.456376E-01
92.11000,25.48000,5.275573E-01,9.869678E-01,9.615497E-01,1.799817E+00,3.300551E-01,8.053031E-01
92.72000,11.61000,7.735028E-01,1.724310E+00,2.282001E+00,4.700000E+00,8.666466E-01,2.480285E+00
93.94000,24.78000,5.930099E-01,1.089804E+00,1.594399E+00,3.542429E+00,5.655714E-01,1.516068E+00
