# mean, investigation_time=1.0
lon,lat,0.002105~PGA,0.002105~SA(0.2),0.002105~SA(1.0),0.00040397~PGA,0.00040397~SA(0.2),0.00040397~SA(1.0)
69.66000,23.25000,3.295930E-01,4.997191E-01,1.212429E-01,7.300131E-01,1.103913E+00,3.082755E-01
72.61000,23.03000,6.294951E-02,1.203564E-01,3.622825E-02,1.406035E-01,2.517850E-01,8.227980E-02
72.85000,19.11000,1.153309E-01,1.774725E-01,3.668227E-02,2.677522E-01,3.881462E-01,8.300202E-02
73.75000,17.40000,4.528265E-01,6.427953E-01,1.285486E-01,8.647218E-01,1.238574E+00,2.924611E-01
74.80000,34.08000,4.947190E-01,1.094375E+00,3.326335E-01,1.449820E+00,3.285409E+00,1.048480E+00
76.95000,8.50000,1.432131E-02,2.676631E-02,0.000000E+00,3.839788E-02,7.130575E-02,1.663507E-02
77.11000,28.56000,2.285589E-01,3.582257E-01,9.225102E-02,5.320090E-01,8.214582E-01,2.485310E-01
77.58000,12.98000,2.827864E-02,5.074537E-02,8.803570E-03,5.554769E-02,9.956848E-02,2.154983E-02
78.04000,30.33000,5.438547E-01,1.253226E+00,3.197273E-01,1.586940E+00,3.614502E+00,9.690713E-01
78.46000,17.45000,6.101992E-02,1.047235E-01,2.222948E-02,1.488756E-01,2.372928E-01,5.255029E-02
79.95000,23.20000,9.928587E-02,1.685008E-01,3.821087E-02,2.419745E-01,3.868693E-01,9.449093E-02
80.18000,13.00000,8.484162E-02,1.254956E-01,1.738030E-02,2.142216E-01,2.967071E-01,4.439974E-02
85.10000,25.60000,9.068301E-02,1.768176E-01,6.711640E-02,2.279618E-01,4.451803E-01,1.989357E-01
88.45000,22.65000,1.014869E-01,1.773586E-01,4.766625E-02,2.397866E-01,3.884419E-01,1.104865E-01
91.73000,26.18000,5.494575E-01,9.914277E-01,3.147746E-01,1.036535E+00,1.839311E+00,7.603143E-01
92.11000,25.48000,5.237936E-01,9.703082E-01,3.250692E-01,1.004232E+00,1.876876E+00,8.140378E-01
92.72000,11.61000,8.612575E-01,2.351223E+00,7.780766E-01,2.187696E+00,4.700000E+00,2.354804E+00
93.94000,24.78000,5.646958E-01,1.471428E+00,4.820431E-01,1.199788E+00,3.483332E+00,1.312402E+00
