# generated_by='OpenQuake engine 3.6.0-git38efbb0b90', start_date='2019-07-04T13:50:13', checksum=646057594, kind='mean', investigation_time=50.0, imt='PGA'
lon,lat,depth,poe-0.0047000,poe-0.0056000,poe-0.0068000,poe-0.0082000,poe-0.0100000,poe-0.0120000,poe-0.0150000,poe-0.0180000,poe-0.0220000,poe-0.0270000,poe-0.0330000,poe-0.0390000,poe-0.0470000,poe-0.0560000,poe-0.0680000,poe-0.0820000,poe-0.1000000,poe-0.1200000,poe-0.1500000,poe-0.1800000,poe-0.2200000,poe-0.2700000,poe-0.3300000,poe-0.3900000,poe-0.4700000,poe-0.5600000,poe-0.6800000,poe-0.8200000,poe-1.0000000,poe-1.2000000,poe-1.5000000,poe-1.8000000,poe-2.2000000,poe-2.7000000,poe-3.3000000,poe-3.9000000,poe-4.7000000
69.66000,23.25000,0.00000,9.709963E-01,9.688881E-01,9.654400E-01,9.604899E-01,9.526379E-01,9.420682E-01,9.233482E-01,9.024478E-01,8.728892E-01,8.347424E-01,7.885732E-01,7.433063E-01,6.862375E-01,6.280146E-01,5.605200E-01,4.943950E-01,4.245347E-01,3.612736E-01,2.862795E-01,2.288818E-01,1.724542E-01,1.244480E-01,8.758859E-02,6.410488E-02,4.444379E-02,3.106418E-02,2.058755E-02,1.365576E-02,8.691984E-03,5.635406E-03,3.223589E-03,1.998283E-03,1.161998E-03,6.619020E-04,3.801275E-04,2.386894E-04,1.407623E-04
72.61000,23.03000,0.00000,7.609307E-01,7.534598E-01,7.407279E-01,7.223733E-01,6.943587E-01,6.589158E-01,6.004246E-01,5.395722E-01,4.612527E-01,3.752526E-01,2.931790E-01,2.315456E-01,1.729544E-01,1.286014E-01,9.074971E-02,6.379084E-02,4.327971E-02,2.998076E-02,1.890649E-02,1.286293E-02,8.351788E-03,5.332069E-03,3.409543E-03,2.336373E-03,1.520646E-03,1.007520E-03,6.306862E-04,3.953930E-04,2.363644E-04,1.441647E-04,7.615687E-05,4.412223E-05,2.386565E-05,1.264249E-05,6.758841E-06,4.003447E-06,2.223415E-06
72.85000,19.11000,0.00000,7.544178E-01,7.498599E-01,7.421596E-01,7.307904E-01,7.129547E-01,6.901444E-01,6.524060E-01,6.123111E-01,5.577230E-01,4.920690E-01,4.221604E-01,3.635411E-01,3.009695E-01,2.470689E-01,1.941460E-01,1.503868E-01,1.117908E-01,8.308441E-02,5.595934E-02,3.949288E-02,2.624345E-02,1.686475E-02,1.069127E-02,7.201072E-03,4.555734E-03,2.917686E-03,1.747487E-03,1.044859E-03,5.917208E-04,3.425902E-04,1.690715E-04,9.208763E-05,4.547594E-05,2.130363E-05,9.918263E-06,5.116979E-06,2.347574E-06
73.75000,17.40000,0.00000,8.718406E-01,8.692078E-01,8.646236E-01,8.577989E-01,8.471816E-01,8.338587E-01,8.125129E-01,7.906451E-01,7.613602E-01,7.251232E-01,6.833306E-01,6.444747E-01,5.979513E-01,5.525069E-01,5.014867E-01,4.529094E-01,4.036962E-01,3.618805E-01,3.152997E-01,2.785991E-01,2.355195E-01,1.874150E-01,1.401854E-01,1.048765E-01,7.247271E-02,4.934140E-02,3.105772E-02,1.921453E-02,1.116701E-02,6.588005E-03,3.312871E-03,1.814297E-03,8.935114E-04,4.235313E-04,1.985264E-04,1.024158E-04,4.645905E-05
74.80000,34.08000,0.00000,9.963043E-01,9.950448E-01,9.929790E-01,9.900317E-01,9.854736E-01,9.795555E-01,9.694122E-01,9.582492E-01,9.424809E-01,9.221678E-01,8.976390E-01,8.732367E-01,8.408968E-01,8.046281E-01,7.564101E-01,7.008723E-01,6.321131E-01,5.609811E-01,4.664820E-01,3.866430E-01,3.009228E-01,2.213461E-01,1.556378E-01,1.117815E-01,7.426579E-02,4.874769E-02,2.928836E-02,1.712532E-02,9.194954E-03,4.931412E-03,2.160094E-03,1.061290E-03,4.637286E-04,1.823021E-04,6.449428E-05,2.498272E-05,7.367324E-06
76.95000,8.50000,0.00000,5.806649E-01,5.566491E-01,5.239051E-01,4.859352E-01,4.389685E-01,3.904873E-01,3.264707E-01,2.731404E-01,2.169421E-01,1.656611E-01,1.235337E-01,9.505859E-02,6.990507E-02,5.181761E-02,3.682028E-02,2.623475E-02,1.810557E-02,1.271827E-02,8.095004E-03,5.494015E-03,3.509760E-03,2.167027E-03,1.316962E-03,8.531113E-04,5.146767E-04,3.142984E-04,1.785610E-04,1.018568E-04,5.537527E-05,3.123454E-05,1.513185E-05,8.099694E-06,3.903524E-06,1.730878E-06,7.219383E-07,3.200699E-07,1.138747E-07
77.11000,28.56000,0.00000,8.506759E-01,8.401959E-01,8.240644E-01,8.031108E-01,7.743061E-01,7.414239E-01,6.928305E-01,6.470615E-01,5.921133E-01,5.337056E-01,4.770403E-01,4.319833E-01,3.849628E-01,3.441864E-01,3.022992E-01,2.642423E-01,2.253837E-01,1.906489E-01,1.499505E-01,1.192871E-01,8.955052E-02,6.445030E-02,4.518431E-02,3.285634E-02,2.249056E-02,1.541621E-02,9.890715E-03,6.277466E-03,3.758724E-03,2.277310E-03,1.185041E-03,6.733317E-04,3.514028E-04,1.772751E-04,8.916442E-05,4.957106E-05,2.512268E-05
77.58000,12.98000,0.00000,6.067414E-01,5.910377E-01,5.693672E-01,5.439358E-01,5.121335E-01,4.789348E-01,4.342345E-01,3.955908E-01,3.522038E-01,3.082444E-01,2.664778E-01,2.332090E-01,1.980384E-01,1.671944E-01,1.357675E-01,1.084814E-01,8.309752E-02,6.321251E-02,4.346324E-02,3.094443E-02,2.055153E-02,1.303204E-02,8.041156E-03,5.237844E-03,3.157550E-03,1.915602E-03,1.073988E-03,6.022829E-04,3.207375E-04,1.772033E-04,8.379071E-05,4.429156E-05,2.078892E-05,8.780685E-06,3.420897E-06,1.378435E-06,3.943632E-07
78.04000,30.33000,0.00000,9.899828E-01,9.865153E-01,9.811094E-01,9.737294E-01,9.627249E-01,9.488785E-01,9.259787E-01,9.017968E-01,8.691056E-01,8.286995E-01,7.812932E-01,7.351597E-01,6.761512E-01,6.140763E-01,5.393645E-01,4.640578E-01,3.843365E-01,3.145761E-01,2.380144E-01,1.849034E-01,1.369531E-01,9.866816E-02,7.009973E-02,5.184314E-02,3.621016E-02,2.520739E-02,1.631751E-02,1.032089E-02,6.055011E-03,3.538466E-03,1.714125E-03,8.921450E-04,4.046212E-04,1.631510E-04,5.863131E-05,2.231607E-05,6.070542E-06
78.46000,17.45000,0.00000,6.931602E-01,6.721029E-01,6.431252E-01,6.091394E-01,5.666516E-01,5.223553E-01,4.628798E-01,4.116655E-01,3.545387E-01,2.974688E-01,2.446828E-01,2.042397E-01,1.636481E-01,1.303579E-01,9.906715E-02,7.430819E-02,5.344218E-02,3.861974E-02,2.525082E-02,1.747248E-02,1.141419E-02,7.238788E-03,4.545227E-03,3.043090E-03,1.916046E-03,1.224763E-03,7.355608E-04,4.438734E-04,2.559107E-04,1.516294E-04,7.742950E-05,4.348640E-05,2.242602E-05,1.097273E-05,5.130950E-06,2.544218E-06,1.047614E-06
