# generated_by='OpenQuake engine 3.6.0-git38efbb0b90', start_date='2019-07-04T13:50:13', checksum=646057594, kind='mean', investigation_time=50.0, imt='SA(0.7)'
lon,lat,depth,poe-0.0047000,poe-0.0056000,poe-0.0068000,poe-0.0082000,poe-0.0100000,poe-0.0120000,poe-0.0150000,poe-0.0180000,poe-0.0220000,poe-0.0270000,poe-0.0330000,poe-0.0390000,poe-0.0470000,poe-0.0560000,poe-0.0680000,poe-0.0820000,poe-0.1000000,poe-0.1200000,poe-0.1500000,poe-0.1800000,poe-0.2200000,poe-0.2700000,poe-0.3300000,poe-0.3900000,poe-0.4700000,poe-0.5600000,poe-0.6800000,poe-0.8200000,poe-1.0000000,poe-1.2000000,poe-1.5000000,poe-1.8000000,poe-2.2000000,poe-2.7000000,poe-3.3000000,poe-3.9000000,poe-4.7000000
69.66000,23.25000,0.00000,9.666256E-01,9.620469E-01,9.543250E-01,9.431546E-01,9.257939E-01,9.032216E-01,8.646913E-01,8.230411E-01,7.664833E-01,6.985261E-01,6.243421E-01,5.589718E-01,4.844339E-01,4.151844E-01,3.418453E-01,2.768011E-01,2.158671E-01,1.681284E-01,1.206775E-01,9.031828E-02,6.453372E-02,4.505165E-02,3.123255E-02,2.279194E-02,1.585786E-02,1.115502E-02,7.446980E-03,4.963261E-03,3.167573E-03,2.060264E-03,1.191894E-03,7.518278E-04,4.480413E-04,2.614959E-04,1.523018E-04,9.573737E-05,5.589720E-05
72.61000,23.03000,0.00000,7.305083E-01,7.100111E-01,6.788760E-01,6.392376E-01,5.867102E-01,5.301710E-01,4.537149E-01,3.888992E-01,3.189645E-01,2.525083E-01,1.946792E-01,1.530641E-01,1.139541E-01,8.414543E-02,5.833159E-02,3.975464E-02,2.568796E-02,1.679606E-02,9.752630E-03,6.172787E-03,3.701635E-03,2.188169E-03,1.306646E-03,8.514925E-04,5.285786E-04,3.379932E-04,2.056044E-04,1.267070E-04,7.523540E-05,4.628735E-05,2.540219E-05,1.552178E-05,9.009406E-06,5.141123E-06,2.936862E-06,1.818358E-06,1.046509E-06
72.85000,19.11000,0.00000,7.358438E-01,7.217154E-01,6.993880E-01,6.691569E-01,6.257519E-01,5.749586E-01,5.004514E-01,4.330419E-01,3.570296E-01,2.826158E-01,2.169115E-01,1.695365E-01,1.253347E-01,9.214187E-02,6.396527E-02,4.409486E-02,2.922976E-02,1.980420E-02,1.215758E-02,8.094475E-03,5.129677E-03,3.187326E-03,1.976075E-03,1.313506E-03,8.219196E-04,5.221755E-04,3.107529E-04,1.852824E-04,1.052550E-04,6.170462E-05,3.156874E-05,1.801862E-05,9.557863E-06,4.880456E-06,2.433339E-06,1.310042E-06,6.171071E-07
73.75000,17.40000,0.00000,8.570685E-01,8.469502E-01,8.312825E-01,8.105958E-01,7.815301E-01,7.478592E-01,6.981929E-01,6.522628E-01,5.984458E-01,5.423902E-01,4.882942E-01,4.447350E-01,3.979015E-01,3.553823E-01,3.092748E-01,2.653727E-01,2.196186E-01,1.792269E-01,1.339261E-01,1.018071E-01,7.255885E-02,4.944776E-02,3.280544E-02,2.276040E-02,1.477117E-02,9.629983E-03,5.856909E-03,3.547272E-03,2.041050E-03,1.207730E-03,6.234730E-04,3.578751E-04,1.905927E-04,9.752568E-05,4.856957E-05,2.604961E-05,1.214953E-05
74.80000,34.08000,0.00000,9.958515E-01,9.945086E-01,9.923618E-01,9.893725E-01,9.848427E-01,9.790450E-01,9.691830E-01,9.583151E-01,9.427735E-01,9.222025E-01,8.963535E-01,8.696204E-01,8.331209E-01,7.915444E-01,7.363907E-01,6.739645E-01,5.986138E-01,5.227441E-01,4.253706E-01,3.468743E-01,2.672429E-01,1.978828E-01,1.435772E-01,1.083356E-01,7.821225E-02,5.711759E-02,3.995588E-02,2.800938E-02,1.894431E-02,1.301433E-02,8.015003E-03,5.269821E-03,3.234777E-03,1.905191E-03,1.095854E-03,6.713370E-04,3.751038E-04
76.95000,8.50000,0.00000,4.382998E-01,3.966145E-01,3.471627E-01,2.978543E-01,2.460034E-01,2.007403E-01,1.508231E-01,1.158348E-01,8.398694E-02,5.857833E-02,3.996074E-02,2.848315E-02,1.914395E-02,1.297535E-02,8.307984E-03,5.340703E-03,3.307537E-03,2.110385E-03,1.202327E-03,7.502282E-04,4.401084E-04,2.513589E-04,1.432142E-04,8.900981E-05,5.215514E-05,3.159859E-05,1.819000E-05,1.069313E-05,6.053421E-06,3.542677E-06,1.788061E-06,9.896511E-07,4.962453E-07,2.333976E-07,1.053443E-07,5.178457E-08,2.187290E-08
77.11000,28.56000,0.00000,8.144332E-01,7.916966E-01,7.599967E-01,7.229102E-01,6.772675E-01,6.307676E-01,5.700391E-01,5.190495E-01,4.630635E-01,4.072132E-01,3.544716E-01,3.124175E-01,2.677692E-01,2.284231E-01,1.881955E-01,1.532053E-01,1.205692E-01,9.480747E-02,6.875626E-02,5.171386E-02,3.693309E-02,2.555602E-02,1.739495E-02,1.240507E-02,8.343754E-03,5.646256E-03,3.589847E-03,2.276147E-03,1.379599E-03,8.601077E-04,4.773599E-04,2.929697E-04,1.694071E-04,9.524167E-05,5.291087E-05,3.167975E-05,1.727360E-05
77.58000,12.98000,0.00000,5.017329E-01,4.700801E-01,4.314014E-01,3.911282E-01,3.461460E-01,3.037551E-01,2.521397E-01,2.116143E-01,1.701713E-01,1.325075E-01,1.009175E-01,7.882825E-02,5.854822E-02,4.338518E-02,3.041475E-02,2.110150E-02,1.396729E-02,9.340452E-03,5.534243E-03,3.517496E-03,2.080253E-03,1.184585E-03,6.664762E-04,4.071961E-04,2.326042E-04,1.368257E-04,7.572772E-05,4.254020E-05,2.271154E-05,1.243529E-05,5.652908E-06,2.804069E-06,1.199617E-06,4.643564E-07,1.617383E-07,6.154858E-08,2.165981E-08
78.04000,30.33000,0.00000,9.888244E-01,9.849796E-01,9.789392E-01,9.706652E-01,9.583923E-01,9.431168E-01,9.180488E-01,8.914236E-01,8.548076E-01,8.089764E-01,7.559700E-01,7.064504E-01,6.464979E-01,5.869717E-01,5.190274E-01,4.533477E-01,3.855267E-01,3.264978E-01,2.603476E-01,2.122406E-01,1.660228E-01,1.262660E-01,9.433950E-02,7.270095E-02,5.330383E-02,3.910043E-02,2.717476E-02,1.876272E-02,1.242143E-02,8.362200E-03,5.047666E-03,3.287869E-03,2.018415E-03,1.201633E-03,7.048842E-04,4.429989E-04,2.555348E-04
78.46000,17.45000,0.00000,5.850782E-01,5.501045E-01,5.067888E-01,4.607395E-01,4.080516E-01,3.573161E-01,2.945310E-01,2.448281E-01,1.939977E-01,1.481466E-01,1.102705E-01,8.433717E-02,6.115482E-02,4.438810E-02,3.057129E-02,2.102195E-02,1.393866E-02,9.442030E-03,5.767742E-03,3.799954E-03,2.361076E-03,1.425747E-03,8.549761E-04,5.526334E-04,3.369040E-04,2.110374E-04,1.257176E-04,7.637876E-05,4.492236E-05,2.733448E-05,1.453377E-05,8.426053E-06,4.445727E-06,2.186272E-06,1.015379E-06,4.983128E-07,2.029772E-07
