# generated_by='OpenQuake engine 3.6.0-git38efbb0b90', start_date='2019-07-04T13:50:13', checksum=646057594, kind='mean', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.15)-0.1,SA(0.15)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.7)-0.1,SA(0.7)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02
69.66000,23.25000,3.059376E-01,6.890383E-01,6.656073E-01,1.455534E+00,5.534806E-01,1.222139E+00,4.747801E-01,1.060411E+00,3.569486E-01,8.211915E-01,2.328854E-01,5.588964E-01,1.688294E-01,4.171153E-01,1.177636E-01,3.012541E-01,7.162187E-02,1.941357E-01,4.967742E-02,1.413908E-01,4.078463E-02,1.224877E-01
72.61000,23.03000,6.442156E-02,1.459731E-01,1.548338E-01,3.411960E-01,1.356102E-01,2.905723E-01,1.217019E-01,2.561387E-01,9.732997E-02,2.040391E-01,6.798957E-02,1.451733E-01,5.068436E-02,1.113383E-01,3.608797E-02,8.274730E-02,2.202770E-02,5.423604E-02,1.507653E-02,3.962994E-02,1.206449E-02,3.368883E-02
72.85000,19.11000,1.070874E-01,2.494988E-01,2.409622E-01,5.426182E-01,1.977490E-01,4.395070E-01,1.677805E-01,3.703554E-01,1.222156E-01,2.690516E-01,7.595466E-02,1.682049E-01,5.344993E-02,1.194484E-01,3.606991E-02,8.202984E-02,2.068651E-02,4.877971E-02,1.364803E-02,3.344453E-02,1.085092E-02,2.807835E-02
73.75000,17.40000,3.994885E-01,8.072906E-01,8.398802E-01,1.667350E+00,6.896771E-01,1.373421E+00,5.829576E-01,1.180367E+00,4.239813E-01,8.832814E-01,2.617693E-01,5.743228E-01,1.819203E-01,4.123795E-01,1.204561E-01,2.842947E-01,6.792344E-02,1.698177E-01,4.437165E-02,1.167642E-01,3.525997E-02,1.013293E-01
74.80000,34.08000,4.103332E-01,7.767897E-01,8.291565E-01,1.563553E+00,8.575912E-01,1.650589E+00,8.337716E-01,1.640576E+00,7.658882E-01,1.515520E+00,5.142778E-01,1.094884E+00,4.082983E-01,9.728542E-01,3.324852E-01,9.514470E-01,2.537825E-01,8.286571E-01,1.830392E-01,6.118599E-01,1.365970E-01,4.497944E-01
76.95000,8.50000,3.776007E-02,9.481435E-02,9.078509E-02,2.202229E-01,7.686742E-02,1.792076E-01,6.674884E-02,1.514308E-01,4.907124E-02,1.099985E-01,2.941231E-02,6.709770E-02,1.972961E-02,4.604432E-02,1.252170E-02,3.015048E-02,6.536539E-03,1.656961E-02,0.000000E+00,1.065654E-02,0.000000E+00,8.636132E-03
77.11000,28.56000,2.036466E-01,4.962985E-01,4.415683E-01,1.063013E+00,3.701371E-01,8.870798E-01,3.193543E-01,7.670329E-01,2.398030E-01,5.908781E-01,1.577503E-01,4.047890E-01,1.152435E-01,3.068309E-01,8.117957E-02,2.293033E-01,4.927726E-02,1.505128E-01,3.396232E-02,1.102156E-01,2.716273E-02,9.369443E-02
77.58000,12.98000,8.712345E-02,2.227071E-01,1.943597E-01,4.840678E-01,1.583944E-01,3.873350E-01,1.323493E-01,3.210076E-01,9.176347E-02,2.244040E-01,5.130063E-02,1.280878E-01,3.320445E-02,8.414183E-02,2.032554E-02,5.248233E-02,1.029563E-02,2.729550E-02,6.226129E-03,1.695047E-02,4.749944E-03,1.373697E-02
78.04000,30.33000,2.677483E-01,6.209466E-01,6.621174E-01,1.513408E+00,6.526715E-01,1.490175E+00,5.958332E-01,1.346450E+00,5.021702E-01,1.147094E+00,3.927808E-01,9.340215E-01,3.170241E-01,7.939566E-01,2.546122E-01,6.874098E-01,1.800429E-01,5.329737E-01,1.344747E-01,4.065353E-01,1.075605E-01,3.363330E-01
78.46000,17.45000,6.755069E-02,1.683529E-01,1.561901E-01,3.804951E-01,1.301663E-01,3.096004E-01,1.119244E-01,2.628272E-01,8.227404E-02,1.919758E-01,5.072683E-02,1.199626E-01,3.507269E-02,8.399756E-02,2.307328E-02,5.641787E-02,1.269488E-02,3.220098E-02,8.129021E-03,2.134273E-02,6.310369E-03,1.763807E-02
79.95000,23.20000,1.198183E-01,2.827970E-01,2.716950E-01,6.333659E-01,2.258622E-01,5.227292E-01,1.938124E-01,4.492929E-01,1.434526E-01,3.376797E-01,9.017678E-02,2.184198E-01,6.310806E-02,1.557310E-01,4.197957E-02,1.061218E-01,2.356070E-02,6.190614E-02,1.530776E-02,4.169248E-02,1.200959E-02,3.511519E-02
80.18000,13.00000,7.851678E-02,2.011282E-01,1.756307E-01,4.355353E-01,1.417705E-01,3.458679E-01,1.181333E-01,2.848375E-01,8.067179E-02,1.952826E-01,4.415342E-02,1.090867E-01,2.826535E-02,7.098917E-02,1.722705E-02,4.414742E-02,8.646485E-03,2.291191E-02,5.215556E-03,1.426037E-02,0.000000E+00,1.154847E-02
85.10000,25.60000,8.659323E-02,2.037426E-01,1.888594E-01,4.431744E-01,1.728090E-01,4.045172E-01,1.623738E-01,3.840134E-01,1.373916E-01,3.350447E-01,1.078931E-01,2.825691E-01,8.591928E-02,2.392228E-01,6.693690E-02,2.040622E-01,4.551435E-02,1.517993E-01,3.395487E-02,1.196167E-01,2.706361E-02,9.968800E-02
85.32400,27.71720,4.732904E-01,9.594180E-01,1.071020E+00,2.254144E+00,1.056481E+00,2.220808E+00,9.827771E-01,2.033412E+00,8.103956E-01,1.703680E+00,6.216033E-01,1.371072E+00,4.821487E-01,1.127512E+00,3.643303E-01,9.146138E-01,2.443493E-01,6.758887E-01,1.769092E-01,4.963811E-01,1.373208E-01,4.008829E-01
88.45000,22.65000,1.088401E-01,2.496082E-01,2.494144E-01,5.600494E-01,2.111963E-01,4.661252E-01,1.846495E-01,4.042113E-01,1.418080E-01,3.111203E-01,9.477640E-02,2.119307E-01,6.920666E-02,1.577599E-01,4.828680E-02,1.140699E-01,2.881567E-02,7.179625E-02,1.951988E-02,5.112802E-02,1.556129E-02,4.352797E-02
