ordinal,branch_path,weight
0,b1m1~b1m2_b2m3_b3m2_b4m4_b5m4_b6m2_b7m1_b9m4_b8m3,3.3333334e-05
1,b1m1~b1m4_b2m5_b3m1_b4m1_b5m1_b6m3_b7m3_b9m4_b8m4,3.3333334e-05
2,b1m1~b1m3_b2m5_b3m3_b4m3_b5m1_b6m3_b7m4_b9m2_b8m3,3.3333334e-05
3,b1m1~b1m3_b2m2_b3m4_b4m4_b5m3_b6m1_b7m4_b9m2_b8m3,3.3333334e-05
4,b1m1~b1m1_b2m4_b3m1_b4m2_b5m4_b6m3_b7m1_b9m2_b8m4,3.3333334e-05
5,b1m1~b1m1_b2m4_b3m1_b4m2_b5m4_b6m3_b7m1_b9m1_b8m2,3.3333334e-05
6,b1m1~b1m1_b2m2_b3m1_b4m3_b5m3_b6m2_b7m1_b9m1_b8m3,3.3333334e-05
7,b1m1~b1m4_b2m3_b3m2_b4m2_b5m1_b6m3_b7m1_b9m2_b8m4,3.3333334e-05
8,b1m1~b1m3_b2m3_b3m1_b4m1_b5m2_b6m2_b7m2_b9m1_b8m2,3.3333334e-05
9,b1m1~b1m3_b2m5_b3m1_b4m3_b5m3_b6m1_b7m4_b9m4_b8m4,3.3333334e-05
10,b1m1~b1m1_b2m1_b3m2_b4m3_b5m3_b6m2_b7m1_b9m1_b8m3,3.3333334e-05
11,b1m1~b1m4_b2m5_b3m2_b4m3_b5m2_b6m2_b7m2_b9m4_b8m1,3.3333334e-05
12,b1m1~b1m4_b2m2_b3m3_b4m3_b5m2_b6m2_b7m3_b9m2_b8m2,3.3333334e-05
13,b1m1~b1m1_b2m5_b3m1_b4m4_b5m4_b6m3_b7m2_b9m3_b8m1,3.3333334e-05
14,b1m1~b1m1_b2m4_b3m3_b4m3_b5m1_b6m3_b7m1_b9m4_b8m2,3.3333334e-05
15,b1m1~b1m1_b2m4_b3m3_b4m3_b5m3_b6m3_b7m2_b9m1_b8m2,3.3333334e-05
16,b1m1~b1m2_b2m2_b3m1_b4m2_b5m2_b6m2_b7m2_b9m1_b8m3,3.3333334e-05
17,b1m1~b1m3_b2m1_b3m2_b4m4_b5m4_b6m3_b7m1_b9m2_b8m1,3.3333334e-05
18,b1m1~b1m2_b2m4_b3m3_b4m3_b5m1_b6m3_b7m3_b9m3_b8m3,3.3333334e-05
19,b1m1~b1m2_b2m1_b3m4_b4m2_b5m1_b6m3_b7m2_b9m2_b8m1,3.3333334e-05
20,b1m1~b1m3_b2m3_b3m1_b4m4_b5m4_b6m1_b7m3_b9m1_b8m1,3.3333334e-05
21,b1m1~b1m1_b2m3_b3m4_b4m1_b5m3_b6m2_b7m3_b9m3_b8m2,3.3333334e-05
22,b1m1~b1m2_b2m1_b3m4_b4m2_b5m2_b6m3_b7m4_b9m2_b8m2,3.3333334e-05
23,b1m1~b1m2_b2m3_b3m2_b4m2_b5m1_b6m3_b7m4_b9m2_b8m2,3.3333334e-05
24,b1m1~b1m2_b2m5_b3m1_b4m2_b5m4_b6m3_b7m2_b9m1_b8m4,3.3333334e-05
25,b1m1~b1m4_b2m1_b3m3_b4m4_b5m2_b6m1_b7m1_b9m2_b8m1,3.3333334e-05
26,b1m1~b1m1_b2m4_b3m4_b4m4_b5m4_b6m2_b7m3_b9m4_b8m4,3.3333334e-05
27,b1m1~b1m3_b2m1_b3m2_b4m1_b5m3_b6m1_b7m3_b9m3_b8m3,3.3333334e-05
