# mean, investigation_time=1.0, imt="PGA"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
68.20000,23.60000,0.00000,2.413323E-01,1.898904E-01,1.373124E-01,9.013285E-02,5.671838E-02,3.291716E-02,1.976974E-02,1.124091E-02,5.990853E-03,2.930523E-03,1.411872E-03,6.168045E-04,2.878863E-04,1.256927E-04,5.125760E-05,1.947066E-05,7.981639E-06,3.407340E-06,1.810559E-06
68.40000,23.80000,0.00000,2.697013E-01,2.168987E-01,1.611144E-01,1.090250E-01,7.050390E-02,4.186265E-02,2.544716E-02,1.452831E-02,7.718876E-03,3.747280E-03,1.791698E-03,7.784006E-04,3.627898E-04,1.586176E-04,6.480400E-05,2.433787E-05,9.560646E-06,3.781843E-06,1.847916E-06
68.60000,23.40000,0.00000,2.638061E-01,2.113919E-01,1.548848E-01,1.017021E-01,6.295012E-02,3.528625E-02,2.035122E-02,1.104875E-02,5.622338E-03,2.639892E-03,1.237982E-03,5.352952E-04,2.526679E-04,1.140609E-04,4.888223E-05,1.920472E-05,7.642322E-06,3.003633E-06,1.451958E-06
68.60000,23.60000,0.00000,2.762675E-01,2.233456E-01,1.658992E-01,1.109973E-01,7.008522E-02,4.010635E-02,2.349965E-02,1.292599E-02,6.639439E-03,3.133793E-03,1.470808E-03,6.335124E-04,2.966523E-04,1.321366E-04,5.562681E-05,2.146730E-05,8.419751E-06,3.259313E-06,1.558453E-06
68.80000,23.20000,0.00000,2.675309E-01,2.158589E-01,1.589609E-01,1.044526E-01,6.435964E-02,3.574806E-02,2.042368E-02,1.099016E-02,5.560012E-03,2.609779E-03,1.231832E-03,5.404078E-04,2.596953E-04,1.196859E-04,5.231257E-05,2.074842E-05,8.189268E-06,3.099522E-06,1.394552E-06
68.80000,23.40000,0.00000,2.814255E-01,2.293183E-01,1.712172E-01,1.143343E-01,7.142013E-02,4.008866E-02,2.302433E-02,1.241522E-02,6.275524E-03,2.934863E-03,1.377293E-03,5.990847E-04,2.852585E-04,1.300321E-04,5.608876E-05,2.199953E-05,8.617757E-06,3.257239E-06,1.483540E-06
68.80000,23.60000,0.00000,2.923735E-01,2.400405E-01,1.813960E-01,1.232220E-01,7.843158E-02,4.491477E-02,2.619711E-02,1.430252E-02,7.287971E-03,3.418669E-03,1.601106E-03,6.915180E-04,3.259524E-04,1.464937E-04,6.208065E-05,2.390098E-05,9.211043E-06,3.424144E-06,1.541073E-06
68.80000,23.80000,0.00000,2.999970E-01,2.477247E-01,1.891677E-01,1.307618E-01,8.512954E-02,5.013706E-02,2.997757E-02,1.674481E-02,8.688299E-03,4.123958E-03,1.940265E-03,8.363850E-04,3.913503E-04,1.736245E-04,7.230335E-05,2.723133E-05,1.026346E-05,3.699748E-06,1.606325E-06
68.80000,24.00000,0.00000,3.039526E-01,2.520615E-01,1.941901E-01,1.364711E-01,9.093793E-02,5.523418E-02,3.398322E-02,1.951134E-02,1.035940E-02,5.000150E-03,2.373646E-03,1.025860E-03,4.784088E-04,2.103556E-04,8.639930E-05,3.195914E-05,1.178972E-05,4.122217E-06,1.729493E-06
68.80000,24.20000,0.00000,3.054751E-01,2.539207E-01,1.968587E-01,1.401456E-01,9.517623E-02,5.931610E-02,3.738887E-02,2.197770E-02,1.190512E-02,5.832893E-03,2.792663E-03,1.211019E-03,5.637905E-04,2.464009E-04,1.002205E-04,3.661906E-05,1.328269E-05,4.496795E-06,1.810974E-06
