# mean, investigation_time=1.0, imt="SA(1.0)"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
68.20000,23.60000,0.00000,8.935066E-02,6.164747E-02,4.017581E-02,2.453027E-02,1.479768E-02,8.311312E-03,4.839280E-03,2.639799E-03,1.343986E-03,6.387452E-04,3.099116E-04,1.417460E-04,7.041474E-05,3.305013E-05,1.465231E-05,6.341263E-06,3.114257E-06,1.658851E-06,1.057193E-06
68.40000,23.80000,0.00000,1.032646E-01,7.192229E-02,4.722097E-02,2.898602E-02,1.753733E-02,9.864132E-03,5.747807E-03,3.139066E-03,1.599497E-03,7.593139E-04,3.671549E-04,1.667745E-04,8.200983E-05,3.790507E-05,1.641074E-05,6.835493E-06,3.189145E-06,1.586408E-06,9.441263E-07
68.60000,23.40000,0.00000,9.589993E-02,6.622221E-02,4.307204E-02,2.613092E-02,1.558604E-02,8.596415E-03,4.902096E-03,2.604685E-03,1.283591E-03,5.877283E-04,2.766038E-04,1.239763E-04,6.108550E-05,2.852334E-05,1.247037E-05,5.194291E-06,2.392434E-06,1.168554E-06,6.923026E-07
68.60000,23.60000,0.00000,1.031651E-01,7.160038E-02,4.677766E-02,2.850274E-02,1.707641E-02,9.471772E-03,5.434764E-03,2.910608E-03,1.447020E-03,6.672964E-04,3.146817E-04,1.404599E-04,6.864291E-05,3.170533E-05,1.370930E-05,5.662535E-06,2.599181E-06,1.266162E-06,7.428229E-07
68.80000,23.20000,0.00000,9.653904E-02,6.680204E-02,4.353724E-02,2.645226E-02,1.577870E-02,8.686969E-03,4.939194E-03,2.614603E-03,1.283627E-03,5.865452E-04,2.768491E-04,1.253572E-04,6.257644E-05,2.958459E-05,1.298262E-05,5.308588E-06,2.320869E-06,1.026718E-06,5.454634E-07
68.80000,23.40000,0.00000,1.039927E-01,7.224014E-02,4.722200E-02,2.876171E-02,1.719581E-02,9.495836E-03,5.418510E-03,2.882074E-03,1.421408E-03,6.498960E-04,3.048957E-04,1.364029E-04,6.724928E-05,3.140306E-05,1.364483E-05,5.560073E-06,2.450845E-06,1.111266E-06,6.085548E-07
68.80000,23.60000,0.00000,1.107642E-01,7.731511E-02,5.075229E-02,3.103497E-02,1.862739E-02,1.033579E-02,5.927490E-03,3.171914E-03,1.573978E-03,7.223879E-04,3.384557E-04,1.502588E-04,7.327433E-05,3.377023E-05,1.448907E-05,5.849416E-06,2.568277E-06,1.160265E-06,6.270021E-07
68.80000,23.80000,0.00000,1.166501E-01,8.189842E-02,5.406124E-02,3.324643E-02,2.006841E-02,1.121156E-02,6.474234E-03,3.493071E-03,1.749448E-03,8.102891E-04,3.818609E-04,1.695578E-04,8.221002E-05,3.749433E-05,1.587202E-05,6.310054E-06,2.725229E-06,1.200237E-06,6.245902E-07
68.80000,24.00000,0.00000,1.212690E-01,8.569545E-02,5.694489E-02,3.526727E-02,2.143955E-02,1.207742E-02,7.030940E-03,3.829519E-03,1.939320E-03,9.094574E-04,4.330801E-04,1.934619E-04,9.373570E-05,4.248825E-05,1.779152E-05,6.961965E-06,2.942616E-06,1.249205E-06,6.182296E-07
68.80000,24.20000,0.00000,1.248245E-01,8.868933E-02,5.927016E-02,3.693217E-02,2.258999E-02,1.281647E-02,7.512460E-03,4.124797E-03,2.109274E-03,1.000485E-03,4.811947E-04,2.163954E-04,1.049480E-04,4.737681E-05,1.965012E-05,7.562963E-06,3.121099E-06,1.275231E-06,6.011950E-07
