# mean, investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
68.20000,23.60000,1.774351E-01,4.102452E-01,2.940717E-01,6.708393E-01,7.615234E-02,1.910281E-01
68.40000,23.80000,2.048024E-01,4.652687E-01,3.311871E-01,7.449454E-01,8.481831E-02,2.113607E-01
68.60000,23.40000,1.745467E-01,4.028123E-01,2.857791E-01,6.403671E-01,7.700795E-02,1.858654E-01
68.60000,23.60000,1.897958E-01,4.334796E-01,3.083111E-01,6.881713E-01,8.185420E-02,1.982414E-01
68.80000,23.20000,1.739943E-01,4.056953E-01,2.840935E-01,6.384232E-01,7.709651E-02,1.853940E-01
68.80000,23.40000,1.842537E-01,4.245068E-01,3.002941E-01,6.695875E-01,8.133267E-02,1.949439E-01
68.80000,23.60000,1.985575E-01,4.521187E-01,3.209927E-01,7.106028E-01,8.580108E-02,2.056115E-01
68.80000,23.80000,2.182937E-01,4.913071E-01,3.472160E-01,7.662748E-01,9.069165E-02,2.186064E-01
68.80000,24.00000,2.401252E-01,5.368535E-01,3.766883E-01,8.315309E-01,9.578913E-02,2.329690E-01
68.80000,24.20000,2.592131E-01,5.767369E-01,4.029579E-01,8.900566E-01,1.001788E-01,2.458393E-01
69.00000,22.20000,1.263691E-01,2.990857E-01,2.108141E-01,4.663814E-01,5.641563E-02,1.291761E-01
69.00000,22.40000,1.392608E-01,3.286794E-01,2.298438E-01,5.107968E-01,6.165506E-02,1.428549E-01
69.00000,23.00000,1.808123E-01,4.258107E-01,2.926213E-01,6.635812E-01,7.837358E-02,1.898528E-01
69.00000,23.20000,1.919818E-01,4.473537E-01,3.103192E-01,6.984420E-01,8.322354E-02,2.014255E-01
69.00000,23.40000,2.031000E-01,4.672789E-01,3.273922E-01,7.291993E-01,8.760981E-02,2.109843E-01
69.00000,23.60000,2.156771E-01,4.891941E-01,3.449921E-01,7.618029E-01,9.167509E-02,2.197901E-01
69.00000,23.80000,2.306895E-01,5.178828E-01,3.652094E-01,8.023394E-01,9.560731E-02,2.290095E-01
69.00000,24.00000,2.470829E-01,5.514280E-01,3.869518E-01,8.489874E-01,9.928904E-02,2.387253E-01
69.00000,24.20000,2.605844E-01,5.797526E-01,4.048486E-01,8.888936E-01,1.018997E-01,2.466849E-01
69.20000,22.00000,1.225983E-01,2.881013E-01,2.049271E-01,4.472157E-01,5.477005E-02,1.225220E-01
69.20000,22.20000,1.314800E-01,3.093549E-01,2.201740E-01,4.823431E-01,5.961061E-02,1.343012E-01
69.20000,23.00000,2.050019E-01,4.804405E-01,3.270939E-01,7.423781E-01,8.565090E-02,2.102753E-01
69.20000,23.20000,2.213865E-01,5.118146E-01,3.508403E-01,7.907917E-01,9.166424E-02,2.252679E-01
69.20000,23.40000,2.339416E-01,5.343996E-01,3.697191E-01,8.253524E-01,9.655102E-02,2.356537E-01
69.20000,23.60000,2.440595E-01,5.511117E-01,3.845612E-01,8.501810E-01,1.002485E-01,2.424985E-01
69.20000,23.80000,2.535316E-01,5.672341E-01,3.975937E-01,8.726002E-01,1.028491E-01,2.475010E-01
69.20000,24.00000,2.625272E-01,5.843404E-01,4.092528E-01,8.953593E-01,1.046462E-01,2.515439E-01
69.20000,24.20000,2.681325E-01,5.962463E-01,4.161677E-01,9.108516E-01,1.052763E-01,2.534770E-01
69.40000,22.00000,1.274795E-01,2.972194E-01,2.135253E-01,4.617058E-01,5.749312E-02,1.266861E-01
69.40000,22.20000,1.377915E-01,3.219871E-01,2.304859E-01,5.013201E-01,6.280495E-02,1.398519E-01
69.40000,23.00000,2.379582E-01,5.506414E-01,3.725641E-01,8.445792E-01,9.483622E-02,2.364191E-01
69.40000,23.20000,2.607363E-01,5.961837E-01,4.056359E-01,9.127083E-01,1.025938E-01,2.563220E-01
69.40000,23.40000,2.765733E-01,6.249609E-01,4.288090E-01,9.556148E-01,1.081267E-01,2.687961E-01
69.40000,23.60000,2.851244E-01,6.377518E-01,4.414349E-01,9.745515E-01,1.113356E-01,2.741660E-01
69.40000,23.80000,2.885745E-01,6.407459E-01,4.463057E-01,9.781632E-01,1.125612E-01,2.745757E-01
69.40000,24.00000,2.887982E-01,6.393301E-01,4.460904E-01,9.743782E-01,1.123099E-01,2.721511E-01
69.40000,24.20000,2.849063E-01,6.319293E-01,4.400753E-01,9.619151E-01,1.106563E-01,2.671778E-01
69.60000,21.80000,1.258595E-01,2.919502E-01,2.096599E-01,4.500545E-01,5.551965E-02,1.208444E-01
69.60000,22.00000,1.337110E-01,3.098104E-01,2.234866E-01,4.800760E-01,6.016778E-02,1.311643E-01
69.60000,22.20000,1.456742E-01,3.374692E-01,2.424157E-01,5.243098E-01,6.596390E-02,1.457283E-01
69.60000,22.80000,2.388093E-01,5.509869E-01,3.726244E-01,8.417111E-01,9.364955E-02,2.318414E-01
69.60000,23.00000,2.763014E-01,6.295782E-01,4.260276E-01,9.592554E-01,1.052292E-01,2.655522E-01
69.60000,23.20000,3.078823E-01,6.909596E-01,4.710677E-01,1.048105E+00,1.151250E-01,2.919592E-01
69.60000,23.40000,3.283214E-01,7.259202E-01,4.990458E-01,1.099625E+00,1.219435E-01,3.078332E-01
69.60000,23.60000,3.354220E-01,7.356730E-01,5.094992E-01,1.114014E+00,1.249285E-01,3.123376E-01
69.60000,23.80000,3.325971E-01,7.265804E-01,5.057074E-01,1.100266E+00,1.245394E-01,3.079666E-01
69.60000,24.00000,3.232022E-01,7.072531E-01,4.928274E-01,1.070860E+00,1.218380E-01,2.984312E-01
69.60000,24.20000,3.087877E-01,6.811773E-01,4.734211E-01,1.031512E+00,1.175619E-01,2.859310E-01
69.60000,26.80000,1.062853E-01,2.306532E-01,2.029220E-01,4.265914E-01,6.804820E-02,1.521141E-01
69.60000,27.00000,1.142231E-01,2.431592E-01,2.177043E-01,4.517909E-01,7.336566E-02,1.651775E-01
69.80000,21.60000,1.300225E-01,3.022578E-01,2.129514E-01,4.599066E-01,5.424124E-02,1.184771E-01
69.80000,21.80000,1.328907E-01,3.058029E-01,2.202802E-01,4.702142E-01,5.787011E-02,1.251108E-01
69.80000,22.00000,1.408914E-01,3.236596E-01,2.339466E-01,4.995074E-01,6.267861E-02,1.356259E-01
69.80000,22.20000,1.543604E-01,3.542700E-01,2.551215E-01,5.491273E-01,6.882647E-02,1.513084E-01
69.80000,22.40000,1.745639E-01,4.022060E-01,2.864196E-01,6.260846E-01,7.630580E-02,1.730722E-01
69.80000,23.00000,3.147840E-01,7.028542E-01,4.791383E-01,1.063779E+00,1.153761E-01,2.932571E-01
69.80000,23.20000,3.541356E-01,7.764835E-01,5.341645E-01,1.172325E+00,1.279991E-01,3.269757E-01
69.80000,23.40000,3.780575E-01,8.201036E-01,5.686702E-01,1.236437E+00,1.364531E-01,3.461588E-01
69.80000,23.60000,3.844049E-01,8.290863E-01,5.781909E-01,1.249709E+00,1.393631E-01,3.502875E-01
69.80000,23.80000,3.756425E-01,8.094468E-01,5.660998E-01,1.220742E+00,1.372464E-01,3.419644E-01
69.80000,24.00000,3.572388E-01,7.728009E-01,5.401803E-01,1.166500E+00,1.318302E-01,3.258714E-01
69.80000,26.60000,1.057366E-01,2.433727E-01,1.972795E-01,4.266440E-01,6.336900E-02,1.417013E-01
69.80000,26.80000,1.070750E-01,2.384758E-01,2.007880E-01,4.242718E-01,6.585389E-02,1.467903E-01
69.80000,27.00000,1.114626E-01,2.391774E-01,2.096851E-01,4.316251E-01,7.004900E-02,1.561057E-01
69.80000,27.20000,1.207141E-01,2.527713E-01,2.268111E-01,4.586507E-01,7.664364E-02,1.720060E-01
70.00000,21.40000,1.433096E-01,3.336904E-01,2.271789E-01,4.979488E-01,5.415662E-02,1.211714E-01
70.00000,21.60000,1.413380E-01,3.263793E-01,2.278762E-01,4.919710E-01,5.679134E-02,1.244250E-01
70.00000,21.80000,1.421689E-01,3.250481E-01,2.325866E-01,4.957301E-01,6.022299E-02,1.300587E-01
70.00000,22.00000,1.491934E-01,3.398099E-01,2.452338E-01,5.219131E-01,6.497299E-02,1.401153E-01
70.00000,22.20000,1.628479E-01,3.709552E-01,2.672367E-01,5.727655E-01,7.106654E-02,1.558035E-01
70.00000,22.40000,1.854757E-01,4.241122E-01,3.017332E-01,6.567460E-01,7.906974E-02,1.789990E-01
70.00000,23.00000,3.445294E-01,7.552934E-01,5.195658E-01,1.139929E+00,1.234351E-01,3.139929E-01
70.00000,23.20000,3.904408E-01,8.423792E-01,5.852300E-01,1.268253E+00,1.386323E-01,3.528726E-01
70.00000,23.40000,4.190530E-01,8.947850E-01,6.264176E-01,1.345335E+00,1.488071E-01,3.759655E-01
70.00000,23.60000,4.255080E-01,9.048529E-01,6.360924E-01,1.360205E+00,1.517638E-01,3.808307E-01
70.00000,23.80000,4.117958E-01,8.772093E-01,6.170537E-01,1.319652E+00,1.482308E-01,3.694144E-01
70.00000,24.00000,3.849243E-01,8.257354E-01,5.793722E-01,1.244105E+00,1.402710E-01,3.477832E-01
70.00000,26.60000,1.163962E-01,2.822190E-01,2.102218E-01,4.716521E-01,6.425478E-02,1.464137E-01
70.00000,26.80000,1.138641E-01,2.664239E-01,2.080934E-01,4.528748E-01,6.556264E-02,1.477086E-01
70.00000,27.00000,1.135895E-01,2.527403E-01,2.099402E-01,4.391008E-01,6.836523E-02,1.523689E-01
70.00000,27.20000,1.177124E-01,2.501704E-01,2.191514E-01,4.426766E-01,7.319843E-02,1.630924E-01
70.00000,27.40000,1.279604E-01,2.658206E-01,2.378664E-01,4.732438E-01,8.105875E-02,1.821983E-01
70.20000,21.20000,1.619169E-01,3.743591E-01,2.486260E-01,5.524512E-01,5.514743E-02,1.280210E-01
70.20000,21.40000,1.599779E-01,3.680686E-01,2.483133E-01,5.457605E-01,5.728675E-02,1.299867E-01
70.20000,21.60000,1.559092E-01,3.566111E-01,2.461525E-01,5.333075E-01,5.957431E-02,1.318037E-01
70.20000,21.80000,1.539877E-01,3.499126E-01,2.474950E-01,5.290954E-01,6.259665E-02,1.358812E-01
70.20000,22.00000,1.580837E-01,3.575585E-01,2.569741E-01,5.460282E-01,6.694963E-02,1.444412E-01
70.20000,22.20000,1.704387E-01,3.858747E-01,2.774613E-01,5.927591E-01,7.266497E-02,1.590173E-01
70.20000,22.40000,1.924551E-01,4.367545E-01,3.113006E-01,6.737359E-01,8.060918E-02,1.817057E-01
70.20000,23.00000,3.591029E-01,7.794412E-01,5.399062E-01,1.174715E+00,1.273305E-01,3.228065E-01
70.20000,23.20000,4.102302E-01,8.760536E-01,6.129412E-01,1.317110E+00,1.442589E-01,3.653727E-01
70.20000,23.40000,4.428242E-01,9.362325E-01,6.597718E-01,1.405688E+00,1.555102E-01,3.921115E-01
70.20000,23.60000,4.502761E-01,9.492441E-01,6.708455E-01,1.424876E+00,1.587578E-01,3.985624E-01
70.20000,23.80000,4.336875E-01,9.177090E-01,6.477785E-01,1.378667E+00,1.545168E-01,3.858085E-01
70.20000,24.00000,4.008682E-01,8.562052E-01,6.018884E-01,1.288765E+00,1.450660E-01,3.604125E-01
70.20000,24.20000,3.615699E-01,7.830778E-01,5.471570E-01,1.182185E+00,1.334908E-01,3.304122E-01
70.20000,26.00000,1.439212E-01,3.589064E-01,2.469834E-01,5.736372E-01,6.965348E-02,1.627096E-01
70.20000,26.20000,1.410713E-01,3.545473E-01,2.421975E-01,5.656847E-01,6.816467E-02,1.599750E-01
70.20000,26.40000,1.387198E-01,3.506883E-01,2.385162E-01,5.589735E-01,6.739449E-02,1.587815E-01
70.20000,26.60000,1.337070E-01,3.364602E-01,2.321778E-01,5.390681E-01,6.692012E-02,1.566747E-01
70.20000,26.80000,1.265767E-01,3.101174E-01,2.239009E-01,5.055045E-01,6.694111E-02,1.540059E-01
70.20000,27.00000,1.205628E-01,2.812215E-01,2.176912E-01,4.702251E-01,6.809198E-02,1.534337E-01
70.20000,27.20000,1.186802E-01,2.610797E-01,2.178173E-01,4.480580E-01,7.106469E-02,1.583079E-01
70.20000,27.40000,1.225937E-01,2.572489E-01,2.269495E-01,4.507113E-01,7.668898E-02,1.710370E-01
70.20000,27.60000,1.334135E-01,2.745381E-01,2.470020E-01,4.850810E-01,8.571627E-02,1.931770E-01
70.20000,27.80000,1.521806E-01,3.140548E-01,2.801922E-01,5.554727E-01,9.862071E-02,2.250163E-01
70.40000,21.00000,1.753049E-01,4.028375E-01,2.650598E-01,5.917218E-01,5.593652E-02,1.337871E-01
70.40000,21.20000,1.803776E-01,4.123386E-01,2.727363E-01,6.056662E-01,5.860563E-02,1.384559E-01
70.40000,21.40000,1.782098E-01,4.061198E-01,2.718472E-01,5.986013E-01,6.058791E-02,1.398741E-01
70.40000,21.60000,1.722821E-01,3.915763E-01,2.669874E-01,5.811090E-01,6.244271E-02,1.402129E-01
70.40000,21.80000,1.674513E-01,3.793184E-01,2.643519E-01,5.682859E-01,6.487605E-02,1.423244E-01
70.40000,22.00000,1.677950E-01,3.783911E-01,2.689810E-01,5.730312E-01,6.848076E-02,1.485860E-01
70.40000,22.20000,1.765456E-01,3.982818E-01,2.848864E-01,6.079955E-01,7.346141E-02,1.607262E-01
70.40000,22.40000,1.944556E-01,4.385284E-01,3.136041E-01,6.747700E-01,8.066737E-02,1.807710E-01
70.40000,22.60000,2.354792E-01,5.244851E-01,3.694110E-01,8.009864E-01,9.201611E-02,2.154285E-01
70.40000,22.80000,2.950015E-01,6.523402E-01,4.509258E-01,9.876939E-01,1.079469E-01,2.650495E-01
70.40000,23.00000,3.558429E-01,7.699416E-01,5.350330E-01,1.160207E+00,1.258960E-01,3.172098E-01
70.40000,23.20000,4.087185E-01,8.704382E-01,6.103568E-01,1.308226E+00,1.431526E-01,3.615576E-01
70.40000,23.40000,4.436659E-01,9.358634E-01,6.603944E-01,1.404471E+00,1.550607E-01,3.906116E-01
70.40000,23.60000,4.527778E-01,9.531101E-01,6.737649E-01,1.429855E+00,1.587995E-01,3.991464E-01
70.40000,23.80000,4.360262E-01,9.223862E-01,6.505177E-01,1.384906E+00,1.545906E-01,3.871260E-01
70.40000,24.00000,4.011770E-01,8.576909E-01,6.019632E-01,1.290627E+00,1.446986E-01,3.608741E-01
70.40000,24.20000,3.593378E-01,7.797226E-01,5.439502E-01,1.177444E+00,1.325951E-01,3.293158E-01
70.40000,25.80000,1.626553E-01,4.035962E-01,2.734800E-01,6.384045E-01,7.504896E-02,1.777329E-01
70.40000,26.00000,1.599861E-01,3.990203E-01,2.685620E-01,6.300976E-01,7.315774E-02,1.738686E-01
70.40000,26.20000,1.618159E-01,4.068920E-01,2.696142E-01,6.389008E-01,7.242101E-02,1.741653E-01
70.40000,26.40000,1.618304E-01,4.092233E-01,2.686623E-01,6.407115E-01,7.185752E-02,1.742332E-01
70.40000,26.60000,1.557947E-01,3.936271E-01,2.604485E-01,6.181858E-01,7.084243E-02,1.708338E-01
70.40000,26.80000,1.441798E-01,3.603369E-01,2.460593E-01,5.717197E-01,6.958807E-02,1.643841E-01
70.40000,27.00000,1.317818E-01,3.191991E-01,2.313551E-01,5.166045E-01,6.898495E-02,1.584570E-01
