ordinal,branch_path,gsim,weight
0,b1m1~b1m2_b2m5_b3m4_b4m3_b5m4_b6m1_b7m3_b8m2_b9m3,BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Lower() SharmaEtAl2009() RaghukanthIyengar2007() At,3.3400234e-04
1,b1m1~b1m3_b2m2_b3m4_b4m4_b5m1_b6m3_b7m4_b8m1_b9m4,CampbellBozorgnia2008() BooreAtkinson2008() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore200,3.3300233e-04
2,b1m1~b1m3_b2m1_b3m3_b4m4_b5m4_b6m1_b7m2_b8m4_b9m1,CampbellBozorgnia2008() AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Upper() RaghukanthIyengar2007,3.3400234e-04
3,b1m1~b1m2_b2m4_b3m2_b4m4_b5m1_b6m1_b7m1_b8m4_b9m3,BooreAtkinson2008() Kanno2006Shallow() ToroEtAl2002() NathEtAl2012Upper() AtkinsonBoore2006() Atkins,3.3400234e-04
4,b1m1~b1m2_b2m5_b3m4_b4m1_b5m1_b6m2_b7m1_b8m2_b9m4,BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006() Zha,3.3300233e-04
5,b1m1~b1m2_b2m4_b3m4_b4m4_b5m3_b6m1_b7m4_b8m4_b9m1,BooreAtkinson2008() Kanno2006Shallow() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Atkins,3.3400234e-04
6,b1m1~b1m4_b2m2_b3m4_b4m3_b5m3_b6m3_b7m2_b8m2_b9m1,Kanno2006Shallow() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() Campbell2003() Kanno2006,3.3300233e-04
7,b1m1~b1m1_b2m5_b3m2_b4m4_b5m2_b6m3_b7m3_b8m2_b9m3,AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() NathEtAl2012Upper() ToroEtAl2002() Kanno2006Deep(),3.3300233e-04
8,b1m1~b1m3_b2m2_b3m1_b4m3_b5m4_b6m1_b7m4_b8m3_b9m2,CampbellBozorgnia2008() BooreAtkinson2008() AtkinsonBoore2006() SharmaEtAl2009() RaghukanthIyengar20,3.3400234e-04
9,b1m1~b1m4_b2m3_b3m2_b4m2_b5m4_b6m3_b7m2_b8m1_b9m3,Kanno2006Shallow() CampbellBozorgnia2008() ToroEtAl2002() ToroEtAl2002() RaghukanthIyengar2007() Kan,3.3300233e-04
10,b1m1~b1m3_b2m4_b3m3_b4m4_b5m1_b6m2_b7m1_b8m3_b9m3,CampbellBozorgnia2008() Kanno2006Shallow() SharmaEtAl2009() NathEtAl2012Upper() AtkinsonBoore2006() ,3.3300233e-04
11,b1m1~b1m2_b2m3_b3m1_b4m2_b5m4_b6m3_b7m1_b8m3_b9m3,BooreAtkinson2008() CampbellBozorgnia2008() AtkinsonBoore2006() ToroEtAl2002() RaghukanthIyengar2007,3.3300233e-04
12,b1m1~b1m2_b2m5_b3m1_b4m3_b5m4_b6m1_b7m2_b8m2_b9m4,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() SharmaEtAl2009() RaghukanthIyengar2007() At,3.3400234e-04
13,b1m1~b1m3_b2m1_b3m2_b4m1_b5m2_b6m3_b7m4_b8m2_b9m1,CampbellBozorgnia2008() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() ToroEtAl2002() Kanno200,3.3300233e-04
14,b1m1~b1m3_b2m5_b3m2_b4m1_b5m1_b6m2_b7m3_b8m1_b9m4,CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBoore2006() Zhao,3.3300233e-04
15,b1m1~b1m4_b2m1_b3m3_b4m2_b5m1_b6m2_b7m3_b8m2_b9m4,Kanno2006Shallow() AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() ZhaoEtAl200,3.3300233e-04
16,b1m1~b1m1_b2m2_b3m2_b4m1_b5m4_b6m2_b7m2_b8m2_b9m4,AkkarBommer2010() BooreAtkinson2008() ToroEtAl2002() AtkinsonBoore2006() RaghukanthIyengar2007() Zha,3.3300233e-04
17,b1m1~b1m1_b2m4_b3m2_b4m2_b5m3_b6m1_b7m1_b8m1_b9m3,AkkarBommer2010() Kanno2006Shallow() ToroEtAl2002() ToroEtAl2002() Campbell2003() AtkinsonBoore2003S,3.3400234e-04
18,b1m1~b1m2_b2m1_b3m2_b4m4_b5m3_b6m1_b7m2_b8m2_b9m2,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() AtkinsonBoor,3.3400234e-04
19,b1m1~b1m2_b2m1_b3m2_b4m1_b5m2_b6m2_b7m4_b8m2_b9m1,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() ToroEtAl2002() ZhaoEtAl2006,3.3300233e-04
20,b1m1~b1m1_b2m1_b3m1_b4m2_b5m1_b6m1_b7m1_b8m1_b9m2,AkkarBommer2010() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore2006() AtkinsonB,3.3400234e-04
21,b1m1~b1m1_b2m5_b3m4_b4m2_b5m4_b6m1_b7m2_b8m2_b9m4,AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Lower() ToroEtAl2002() RaghukanthIyengar2007() Atkins,3.3400234e-04
22,b1m1~b1m4_b2m1_b3m4_b4m1_b5m3_b6m2_b7m3_b8m3_b9m4,Kanno2006Shallow() AkkarBommer2010() NathEtAl2012Lower() AtkinsonBoore2006() Campbell2003() ZhaoEtAl,3.3300233e-04
23,b1m1~b1m2_b2m1_b3m2_b4m1_b5m3_b6m1_b7m2_b8m4_b9m2,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() Campbell2003() AtkinsonBoor,3.3400234e-04
24,b1m1~b1m4_b2m2_b3m1_b4m4_b5m1_b6m3_b7m1_b8m1_b9m2,Kanno2006Shallow() BooreAtkinson2008() AtkinsonBoore2006() NathEtAl2012Upper() AtkinsonBoore2006() K,3.3300233e-04
25,b1m1~b1m1_b2m1_b3m2_b4m3_b5m4_b6m2_b7m4_b8m4_b9m4,AkkarBommer2010() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() ZhaoEtAl,3.3300233e-04
26,b1m1~b1m2_b2m4_b3m2_b4m3_b5m3_b6m1_b7m4_b8m3_b9m4,BooreAtkinson2008() Kanno2006Shallow() ToroEtAl2002() SharmaEtAl2009() Campbell2003() AtkinsonBoore2,3.3400234e-04
27,b1m1~b1m4_b2m5_b3m1_b4m4_b5m1_b6m1_b7m2_b8m2_b9m1,Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() NathEtAl2012Upper() AtkinsonBoore2006() Atki,3.3400234e-04
28,b1m1~b1m4_b2m3_b3m2_b4m3_b5m4_b6m2_b7m3_b8m1_b9m1,Kanno2006Shallow() CampbellBozorgnia2008() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() Z,3.3300233e-04
29,b1m1~b1m4_b2m1_b3m1_b4m1_b5m3_b6m2_b7m1_b8m3_b9m4,Kanno2006Shallow() AkkarBommer2010() AtkinsonBoore2006() AtkinsonBoore2006() Campbell2003() ZhaoEtAl,3.3300233e-04
30,b1m1~b1m2_b2m2_b3m4_b4m4_b5m1_b6m1_b7m4_b8m3_b9m2,BooreAtkinson2008() BooreAtkinson2008() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006() ,3.3400234e-04
31,b1m1~b1m3_b2m4_b3m1_b4m1_b5m1_b6m1_b7m2_b8m2_b9m2,CampbellBozorgnia2008() Kanno2006Shallow() AtkinsonBoore2006() AtkinsonBoore2006() AtkinsonBoore2006,3.3400234e-04
32,b1m1~b1m4_b2m2_b3m3_b4m1_b5m2_b6m1_b7m4_b8m4_b9m1,Kanno2006Shallow() BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() AtkinsonB,3.3400234e-04
33,b1m1~b1m4_b2m4_b3m1_b4m4_b5m4_b6m1_b7m2_b8m3_b9m1,Kanno2006Shallow() Kanno2006Shallow() AtkinsonBoore2006() NathEtAl2012Upper() RaghukanthIyengar2007(,3.3400234e-04
34,b1m1~b1m3_b2m1_b3m3_b4m3_b5m1_b6m1_b7m4_b8m1_b9m1,CampbellBozorgnia2008() AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() Atki,3.3400234e-04
35,b1m1~b1m4_b2m5_b3m2_b4m2_b5m4_b6m3_b7m2_b8m3_b9m3,Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() RaghukanthIyengar2007() Kanno2006D,3.3300233e-04
36,b1m1~b1m3_b2m3_b3m4_b4m1_b5m1_b6m1_b7m4_b8m3_b9m3,CampbellBozorgnia2008() CampbellBozorgnia2008() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoor,3.3400234e-04
37,b1m1~b1m2_b2m2_b3m4_b4m2_b5m4_b6m3_b7m4_b8m4_b9m3,BooreAtkinson2008() BooreAtkinson2008() NathEtAl2012Lower() ToroEtAl2002() RaghukanthIyengar2007() K,3.3300233e-04
38,b1m1~b1m2_b2m5_b3m4_b4m4_b5m3_b6m1_b7m3_b8m3_b9m2,BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Atkinson,3.3400234e-04
39,b1m1~b1m3_b2m3_b3m1_b4m3_b5m3_b6m2_b7m4_b8m4_b9m4,CampbellBozorgnia2008() CampbellBozorgnia2008() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() ,3.3300233e-04
40,b1m1~b1m3_b2m1_b3m3_b4m2_b5m4_b6m3_b7m2_b8m3_b9m4,CampbellBozorgnia2008() AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() RaghukanthIyengar2007() Ka,3.3300233e-04
41,b1m1~b1m1_b2m1_b3m1_b4m4_b5m3_b6m1_b7m4_b8m3_b9m4,AkkarBommer2010() AkkarBommer2010() AtkinsonBoore2006() NathEtAl2012Upper() Campbell2003() AtkinsonB,3.3400234e-04
42,b1m1~b1m3_b2m1_b3m1_b4m2_b5m2_b6m1_b7m1_b8m4_b9m4,CampbellBozorgnia2008() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() ToroEtAl2002() Atkinson,3.3400234e-04
43,b1m1~b1m4_b2m1_b3m2_b4m4_b5m3_b6m3_b7m1_b8m4_b9m3,Kanno2006Shallow() AkkarBommer2010() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() Kanno2006Deep,3.3300233e-04
44,b1m1~b1m2_b2m1_b3m2_b4m2_b5m3_b6m1_b7m4_b8m4_b9m2,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() ToroEtAl2002() Campbell2003() AtkinsonBoore2003,3.3400234e-04
45,b1m1~b1m3_b2m1_b3m3_b4m2_b5m1_b6m3_b7m4_b8m4_b9m2,CampbellBozorgnia2008() AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() Kanno2,3.3300233e-04
46,b1m1~b1m2_b2m2_b3m4_b4m3_b5m1_b6m3_b7m3_b8m4_b9m3,BooreAtkinson2008() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() AtkinsonBoore2006() Kan,3.3300233e-04
47,b1m1~b1m3_b2m4_b3m3_b4m2_b5m1_b6m3_b7m4_b8m4_b9m2,CampbellBozorgnia2008() Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() Kanno,3.3300233e-04
48,b1m1~b1m2_b2m5_b3m3_b4m4_b5m2_b6m2_b7m4_b8m1_b9m3,BooreAtkinson2008() SharmaEtAl2009() SharmaEtAl2009() NathEtAl2012Upper() ToroEtAl2002() ZhaoEtAl200,3.3300233e-04
49,b1m1~b1m2_b2m1_b3m2_b4m4_b5m4_b6m1_b7m3_b8m3_b9m4,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() NathEtAl2012Upper() RaghukanthIyengar2007() Atk,3.3400234e-04
50,b1m1~b1m1_b2m5_b3m3_b4m3_b5m1_b6m1_b7m4_b8m2_b9m3,AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBoo,3.3400234e-04
51,b1m1~b1m2_b2m1_b3m2_b4m3_b5m4_b6m3_b7m4_b8m1_b9m4,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() Kanno2,3.3300233e-04
52,b1m1~b1m1_b2m3_b3m3_b4m2_b5m1_b6m1_b7m4_b8m4_b9m4,AkkarBommer2010() CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() Atkins,3.3400234e-04
53,b1m1~b1m2_b2m5_b3m2_b4m4_b5m2_b6m1_b7m4_b8m3_b9m1,BooreAtkinson2008() SharmaEtAl2009() ToroEtAl2002() NathEtAl2012Upper() ToroEtAl2002() AtkinsonBoore,3.3400234e-04
54,b1m1~b1m1_b2m1_b3m4_b4m3_b5m4_b6m2_b7m1_b8m1_b9m3,AkkarBommer2010() AkkarBommer2010() NathEtAl2012Lower() SharmaEtAl2009() RaghukanthIyengar2007() Zha,3.3300233e-04
55,b1m1~b1m2_b2m1_b3m3_b4m2_b5m4_b6m3_b7m3_b8m2_b9m1,BooreAtkinson2008() AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() RaghukanthIyengar2007() Kanno2,3.3300233e-04
56,b1m1~b1m1_b2m1_b3m2_b4m2_b5m1_b6m1_b7m4_b8m1_b9m3,AkkarBommer2010() AkkarBommer2010() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBoore2,3.3400234e-04
57,b1m1~b1m1_b2m4_b3m2_b4m3_b5m1_b6m3_b7m1_b8m2_b9m3,AkkarBommer2010() Kanno2006Shallow() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() Kanno2006De,3.3300233e-04
58,b1m1~b1m4_b2m4_b3m3_b4m1_b5m1_b6m1_b7m2_b8m2_b9m1,Kanno2006Shallow() Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBoore2006() Atkin,3.3400234e-04
59,b1m1~b1m4_b2m3_b3m1_b4m3_b5m4_b6m2_b7m3_b8m2_b9m3,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() SharmaEtAl2009() RaghukanthIyengar200,3.3300233e-04
60,b1m1~b1m2_b2m3_b3m1_b4m2_b5m3_b6m3_b7m2_b8m1_b9m2,BooreAtkinson2008() CampbellBozorgnia2008() AtkinsonBoore2006() ToroEtAl2002() Campbell2003() Kanno2,3.3300233e-04
61,b1m1~b1m3_b2m2_b3m3_b4m1_b5m3_b6m1_b7m1_b8m1_b9m4,CampbellBozorgnia2008() BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() Campbell2003() Atki,3.3400234e-04
62,b1m1~b1m1_b2m1_b3m3_b4m4_b5m2_b6m3_b7m2_b8m3_b9m1,AkkarBommer2010() AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Upper() ToroEtAl2002() Kanno2006Dee,3.3300233e-04
63,b1m1~b1m4_b2m5_b3m3_b4m1_b5m2_b6m2_b7m4_b8m3_b9m4,Kanno2006Shallow() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() ZhaoEtAl2006,3.3300233e-04
64,b1m1~b1m4_b2m5_b3m3_b4m1_b5m1_b6m1_b7m1_b8m4_b9m2,Kanno2006Shallow() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBoore2006() Atkinso,3.3400234e-04
65,b1m1~b1m4_b2m2_b3m3_b4m3_b5m4_b6m3_b7m4_b8m1_b9m2,Kanno2006Shallow() BooreAtkinson2008() SharmaEtAl2009() SharmaEtAl2009() RaghukanthIyengar2007() Kan,3.3300233e-04
66,b1m1~b1m3_b2m5_b3m1_b4m3_b5m3_b6m2_b7m4_b8m3_b9m2,CampbellBozorgnia2008() SharmaEtAl2009() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() ZhaoEtA,3.3300233e-04
67,b1m1~b1m4_b2m2_b3m4_b4m3_b5m2_b6m2_b7m1_b8m3_b9m1,Kanno2006Shallow() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() ToroEtAl2002() ZhaoEtAl2,3.3300233e-04
68,b1m1~b1m3_b2m3_b3m3_b4m2_b5m4_b6m1_b7m2_b8m3_b9m2,CampbellBozorgnia2008() CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() RaghukanthIyengar200,3.3400234e-04
69,b1m1~b1m2_b2m1_b3m3_b4m1_b5m3_b6m3_b7m4_b8m2_b9m1,BooreAtkinson2008() AkkarBommer2010() SharmaEtAl2009() AtkinsonBoore2006() Campbell2003() Kanno2006D,3.3300233e-04
70,b1m1~b1m3_b2m1_b3m1_b4m2_b5m4_b6m1_b7m2_b8m1_b9m4,CampbellBozorgnia2008() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() RaghukanthIyengar2007(),3.3400234e-04
71,b1m1~b1m2_b2m5_b3m4_b4m1_b5m2_b6m3_b7m3_b8m4_b9m3,BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Lower() AtkinsonBoore2006() ToroEtAl2002() Kanno200,3.3300233e-04
72,b1m1~b1m3_b2m3_b3m3_b4m2_b5m1_b6m3_b7m4_b8m3_b9m4,CampbellBozorgnia2008() CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() ,3.3300233e-04
73,b1m1~b1m3_b2m1_b3m1_b4m2_b5m4_b6m3_b7m1_b8m2_b9m3,CampbellBozorgnia2008() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() RaghukanthIyengar2007(),3.3300233e-04
74,b1m1~b1m1_b2m4_b3m4_b4m4_b5m1_b6m3_b7m3_b8m3_b9m4,AkkarBommer2010() Kanno2006Shallow() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006() Kan,3.3300233e-04
75,b1m1~b1m1_b2m2_b3m2_b4m3_b5m2_b6m2_b7m1_b8m2_b9m4,AkkarBommer2010() BooreAtkinson2008() ToroEtAl2002() SharmaEtAl2009() ToroEtAl2002() ZhaoEtAl2006SIn,3.3300233e-04
76,b1m1~b1m2_b2m4_b3m4_b4m4_b5m4_b6m2_b7m3_b8m4_b9m3,BooreAtkinson2008() Kanno2006Shallow() NathEtAl2012Lower() NathEtAl2012Upper() RaghukanthIyengar2007,3.3300233e-04
77,b1m1~b1m2_b2m4_b3m3_b4m3_b5m3_b6m3_b7m3_b8m1_b9m3,BooreAtkinson2008() Kanno2006Shallow() SharmaEtAl2009() SharmaEtAl2009() Campbell2003() Kanno2006Dee,3.3300233e-04
78,b1m1~b1m2_b2m2_b3m3_b4m1_b5m2_b6m1_b7m1_b8m4_b9m2,BooreAtkinson2008() BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() Atkinson,3.3400234e-04
79,b1m1~b1m1_b2m3_b3m4_b4m3_b5m4_b6m1_b7m2_b8m1_b9m1,AkkarBommer2010() CampbellBozorgnia2008() NathEtAl2012Lower() SharmaEtAl2009() RaghukanthIyengar2007,3.3400234e-04
80,b1m1~b1m4_b2m4_b3m1_b4m3_b5m3_b6m1_b7m3_b8m1_b9m4,Kanno2006Shallow() Kanno2006Shallow() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() AtkinsonBo,3.3400234e-04
81,b1m1~b1m4_b2m2_b3m1_b4m3_b5m1_b6m1_b7m4_b8m1_b9m2,Kanno2006Shallow() BooreAtkinson2008() AtkinsonBoore2006() SharmaEtAl2009() AtkinsonBoore2006() Atki,3.3400234e-04
82,b1m1~b1m4_b2m2_b3m2_b4m2_b5m1_b6m2_b7m3_b8m2_b9m4,Kanno2006Shallow() BooreAtkinson2008() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2006() ZhaoEtAl200,3.3300233e-04
83,b1m1~b1m4_b2m3_b3m4_b4m4_b5m1_b6m3_b7m1_b8m1_b9m4,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006,3.3300233e-04
