# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0, imt='PGA'
lon,lat,depth,poe-0.0047000,poe-0.0068000,poe-0.0100000,poe-0.0150000,poe-0.0220000,poe-0.0330000,poe-0.0470000,poe-0.0680000,poe-0.1000000,poe-0.1500000,poe-0.2200000,poe-0.3300000,poe-0.4700000,poe-0.6800000,poe-1.0000000,poe-1.5000000,poe-2.2000000,poe-3.3000000,poe-4.7000000
68.20000,23.60000,0.00000,2.415216E-01,1.901188E-01,1.375420E-01,9.032857E-02,5.686602E-02,3.301340E-02,1.982949E-02,1.127370E-02,6.006117E-03,2.935609E-03,1.412215E-03,6.150435E-04,2.855453E-04,1.233053E-04,4.906790E-05,1.758179E-05,6.399911E-06,2.140524E-06,7.960493E-07
68.40000,23.80000,0.00000,2.699027E-01,2.171440E-01,1.613694E-01,1.092555E-01,7.068994E-02,4.199284E-02,2.553234E-02,1.457688E-02,7.741995E-03,3.755296E-03,1.792892E-03,7.767903E-04,3.604956E-04,1.563070E-04,6.273262E-05,2.259081E-05,8.125301E-06,2.659018E-06,9.743890E-07
68.60000,23.40000,0.00000,2.640014E-01,2.116376E-01,1.551431E-01,1.019316E-01,6.312855E-02,3.540527E-02,2.042622E-02,1.109040E-02,5.642158E-03,2.647202E-03,1.239647E-03,5.345577E-04,2.512874E-04,1.126001E-04,4.756120E-05,1.809136E-05,6.726152E-06,2.277192E-06,8.708607E-07
68.60000,23.60000,0.00000,2.764699E-01,2.235966E-01,1.661647E-01,1.112392E-01,7.027939E-02,4.024023E-02,2.358591E-02,1.297451E-02,6.662467E-03,3.142055E-03,1.472501E-03,6.325166E-04,2.949910E-04,1.304314E-04,5.410465E-05,2.019176E-05,7.374653E-06,2.438966E-06,9.137902E-07
68.80000,23.20000,0.00000,2.677401E-01,2.161167E-01,1.592297E-01,1.046905E-01,6.454372E-02,3.586990E-02,2.049979E-02,1.103206E-02,5.579877E-03,2.617209E-03,1.233715E-03,5.399604E-04,2.586442E-04,1.185774E-04,5.134855E-05,1.997738E-05,7.581276E-06,2.631612E-06,1.025580E-06
68.80000,23.40000,0.00000,2.816356E-01,2.295766E-01,1.714915E-01,1.145858E-01,7.162178E-02,4.022638E-02,2.311198E-02,1.246392E-02,6.298549E-03,2.943329E-03,1.379347E-03,5.985121E-04,2.840293E-04,1.287495E-04,5.496864E-05,2.109095E-05,7.890508E-06,2.691039E-06,1.035589E-06
68.80000,23.60000,0.00000,2.925904E-01,2.403026E-01,1.816743E-01,1.234825E-01,7.864700E-02,4.506694E-02,2.629629E-02,1.435847E-02,7.314439E-03,3.428200E-03,1.603250E-03,6.907348E-04,3.244867E-04,1.450093E-04,6.080015E-05,2.286878E-05,8.391422E-06,2.797618E-06,1.059267E-06
68.80000,23.80000,0.00000,3.002236E-01,2.479924E-01,1.894479E-01,1.310248E-01,8.535162E-02,5.029899E-02,3.008598E-02,1.680714E-02,8.717835E-03,4.134227E-03,1.942203E-03,8.351808E-04,3.895189E-04,1.718762E-04,7.084476E-05,2.608545E-05,9.375109E-06,3.043195E-06,1.121804E-06
68.80000,24.00000,0.00000,3.041881E-01,2.523345E-01,1.944699E-01,1.367311E-01,9.115950E-02,5.539988E-02,3.409705E-02,1.957810E-02,1.039100E-02,5.010560E-03,2.374975E-03,1.023988E-03,4.760690E-04,2.082767E-04,8.474575E-05,3.070982E-05,1.085317E-05,3.456946E-06,1.259618E-06
68.80000,24.20000,0.00000,3.057026E-01,2.541865E-01,1.971309E-01,1.403980E-01,9.539295E-02,5.948145E-02,3.750496E-02,2.204695E-02,1.193784E-02,5.843048E-03,2.793215E-03,1.208406E-03,5.609083E-04,2.439835E-04,9.838404E-05,3.528970E-05,1.232396E-05,3.844696E-06,1.370190E-06
69.00000,22.20000,0.00000,1.810688E-01,1.399054E-01,9.786120E-02,6.126781E-02,3.656149E-02,1.993375E-02,1.130603E-02,6.066992E-03,3.069236E-03,1.440529E-03,6.750072E-04,2.877040E-04,1.305331E-04,5.416543E-05,2.014532E-05,6.519540E-06,2.085931E-06,6.229576E-07,2.183041E-07
69.00000,22.40000,0.00000,2.046496E-01,1.597775E-01,1.129778E-01,7.136676E-02,4.284609E-02,2.349608E-02,1.340627E-02,7.241892E-03,3.682793E-03,1.733566E-03,8.148870E-04,3.506851E-04,1.623073E-04,6.997761E-05,2.770164E-05,9.759126E-06,3.431644E-06,1.122252E-06,4.212176E-07
69.00000,23.00000,0.00000,2.685400E-01,2.181881E-01,1.619048E-01,1.072346E-01,6.656054E-02,3.726332E-02,2.144172E-02,1.162812E-02,5.933967E-03,2.814554E-03,1.343779E-03,5.967950E-04,2.893013E-04,1.340461E-04,5.857985E-05,2.298374E-05,8.794588E-06,3.077383E-06,1.205726E-06
69.00000,23.20000,0.00000,2.841972E-01,2.335040E-01,1.759236E-01,1.185069E-01,7.452566E-02,4.206787E-02,2.426986E-02,1.315793E-02,6.701119E-03,3.168315E-03,1.506675E-03,6.655187E-04,3.207574E-04,1.476180E-04,6.402637E-05,2.492254E-05,9.460186E-06,3.282547E-06,1.279772E-06
69.00000,23.40000,0.00000,2.967748E-01,2.459877E-01,1.877175E-01,1.284793E-01,8.198186E-02,4.684383E-02,2.721064E-02,1.480276E-02,7.539364E-03,3.553169E-03,1.679967E-03,7.357982E-04,3.514295E-04,1.599774E-04,6.846417E-05,2.629727E-05,9.843610E-06,3.355378E-06,1.289282E-06
