# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0, imt='SA(1.0)'
lon,lat,depth,poe-0.0047000,poe-0.0068000,poe-0.0100000,poe-0.0150000,poe-0.0220000,poe-0.0330000,poe-0.0470000,poe-0.0680000,poe-0.1000000,poe-0.1500000,poe-0.2200000,poe-0.3300000,poe-0.4700000,poe-0.6800000,poe-1.0000000,poe-1.5000000,poe-2.2000000,poe-3.3000000,poe-4.7000000
68.20000,23.60000,0.00000,8.937199E-02,6.167445E-02,4.020193E-02,2.455164E-02,1.481363E-02,8.322071E-03,4.846395E-03,2.644197E-03,1.346773E-03,6.406950E-04,3.113110E-04,1.425567E-04,7.070815E-05,3.285970E-05,1.407317E-05,5.514157E-06,2.203127E-06,7.902939E-07,3.008482E-07
68.40000,23.80000,0.00000,1.032962E-01,7.195780E-02,4.725445E-02,2.901354E-02,1.755806E-02,9.878092E-03,5.756932E-03,3.144530E-03,1.602683E-03,7.612791E-04,3.684337E-04,1.674580E-04,8.222136E-05,3.769070E-05,1.586071E-05,6.079084E-06,2.376326E-06,8.347581E-07,3.118446E-07
68.60000,23.40000,0.00000,9.588438E-02,6.622499E-02,4.308392E-02,2.614450E-02,1.559739E-02,8.604100E-03,4.906752E-03,2.606987E-03,1.284562E-03,5.882269E-04,2.769936E-04,1.242437E-04,6.117529E-05,2.839760E-05,1.214592E-05,4.732198E-06,1.878976E-06,6.736225E-07,2.565647E-07
68.60000,23.60000,0.00000,1.031636E-01,7.161272E-02,4.679614E-02,2.852097E-02,1.709114E-02,9.481808E-03,5.441076E-03,2.914019E-03,1.448688E-03,6.681919E-04,3.152802E-04,1.408109E-04,6.874808E-05,3.154844E-05,1.332342E-05,5.125049E-06,2.012715E-06,7.138818E-07,2.694272E-07
68.80000,23.20000,0.00000,9.650605E-02,6.679260E-02,4.354165E-02,2.646179E-02,1.578787E-02,8.693463E-03,4.943070E-03,2.616314E-03,1.284063E-03,5.865523E-04,2.768442E-04,1.253769E-04,6.255139E-05,2.946515E-05,1.275998E-05,5.009701E-06,1.993998E-06,7.134156E-07,2.698569E-07
68.80000,23.40000,0.00000,1.039662E-01,7.223520E-02,4.723006E-02,2.877432E-02,1.720749E-02,9.504196E-03,5.423729E-03,2.884673E-03,1.422369E-03,6.501671E-04,3.050134E-04,1.364685E-04,6.723077E-05,3.125927E-05,1.337252E-05,5.194081E-06,2.050877E-06,7.292418E-07,2.747769E-07
68.80000,23.60000,0.00000,1.107497E-01,7.731791E-02,5.076549E-02,3.105124E-02,1.864182E-02,1.034615E-02,5.934140E-03,3.175469E-03,1.575529E-03,7.229859E-04,3.387417E-04,1.503917E-04,7.326928E-05,3.360358E-05,1.417130E-05,5.429754E-06,2.120158E-06,7.460890E-07,2.784944E-07
68.80000,23.80000,0.00000,1.166511E-01,8.191066E-02,5.408011E-02,3.326631E-02,2.008538E-02,1.122371E-02,6.482171E-03,3.497504E-03,1.751565E-03,8.112226E-04,3.823288E-04,1.697623E-04,8.221655E-05,3.730307E-05,1.551289E-05,5.849705E-06,2.249796E-06,7.794653E-07,2.867796E-07
68.80000,24.00000,0.00000,1.212869E-01,8.571813E-02,5.696970E-02,3.529057E-02,2.145877E-02,1.209112E-02,7.040018E-03,3.834756E-03,1.941974E-03,9.107231E-04,4.337319E-04,1.937365E-04,9.375063E-05,4.227166E-05,1.739630E-05,6.472987E-06,2.455628E-06,8.372230E-07,3.028918E-07
68.80000,24.20000,0.00000,1.248578E-01,8.872247E-02,5.930150E-02,3.695947E-02,2.261183E-02,1.283188E-02,7.522733E-03,4.130841E-03,2.112452E-03,1.002070E-03,4.820217E-04,2.167378E-04,1.049741E-04,4.714328E-05,1.923292E-05,7.063067E-06,2.640020E-06,8.849505E-07,3.150389E-07
69.00000,22.20000,0.00000,5.939215E-02,4.082372E-02,2.654423E-02,1.611856E-02,9.587565E-03,5.218762E-03,2.900172E-03,1.471478E-03,6.756228E-04,2.807534E-04,1.180711E-04,4.596345E-05,1.985518E-05,8.176362E-06,3.211940E-06,1.191665E-06,4.571985E-07,1.571890E-07,5.753912E-08
69.00000,22.40000,0.00000,6.841641E-02,4.710588E-02,3.065734E-02,1.863012E-02,1.109704E-02,6.063104E-03,3.392534E-03,1.743036E-03,8.170193E-04,3.509671E-04,1.548663E-04,6.484095E-05,3.021851E-05,1.342284E-05,5.609273E-06,2.183427E-06,8.711401E-07,3.106932E-07,1.165039E-07
69.00000,23.00000,0.00000,9.682845E-02,6.730626E-02,4.409152E-02,2.693678E-02,1.614350E-02,8.923696E-03,5.088647E-03,2.702424E-03,1.332768E-03,6.136540E-04,2.929415E-04,1.346196E-04,6.794905E-05,3.229366E-05,1.406146E-05,5.527976E-06,2.193662E-06,7.784046E-07,2.910662E-07
