# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
68.20000,23.60000,1.785224E-01,4.005467E-01,3.011927E-01,6.742958E-01,7.746855E-02,1.915926E-01
68.40000,23.80000,2.024500E-01,4.459836E-01,3.331124E-01,7.312647E-01,8.555542E-02,2.095651E-01
68.60000,23.40000,1.683985E-01,3.762741E-01,2.786935E-01,6.089073E-01,7.640507E-02,1.815863E-01
68.60000,23.60000,1.836531E-01,4.062501E-01,3.018430E-01,6.565832E-01,8.136731E-02,1.938790E-01
68.80000,23.20000,1.675942E-01,3.793659E-01,2.767923E-01,6.080326E-01,7.650344E-02,1.814291E-01
68.80000,23.40000,1.776880E-01,3.976617E-01,2.930056E-01,6.384391E-01,8.075086E-02,1.908416E-01
68.80000,23.60000,1.917926E-01,4.241886E-01,3.138500E-01,6.790019E-01,8.526333E-02,2.012739E-01
68.80000,23.80000,2.112034E-01,4.621285E-01,3.406346E-01,7.328930E-01,9.025726E-02,2.139186E-01
68.80000,24.00000,2.331744E-01,5.057820E-01,3.705617E-01,7.954979E-01,9.553368E-02,2.280104E-01
68.80000,24.20000,2.522739E-01,5.436807E-01,3.977418E-01,8.517103E-01,1.001923E-01,2.406243E-01
69.00000,22.20000,1.224026E-01,2.808214E-01,2.058341E-01,4.465513E-01,5.595765E-02,1.268026E-01
69.00000,22.40000,1.351207E-01,3.082990E-01,2.250814E-01,4.895399E-01,6.124332E-02,1.402104E-01
69.00000,23.00000,1.743593E-01,3.992850E-01,2.857963E-01,6.343802E-01,7.793000E-02,1.862667E-01
69.00000,23.20000,1.851781E-01,4.203031E-01,3.033424E-01,6.691219E-01,8.279393E-02,1.977749E-01
69.00000,23.40000,1.960382E-01,4.396823E-01,3.204015E-01,6.997619E-01,8.720168E-02,2.072372E-01
69.00000,23.60000,2.084287E-01,4.614513E-01,3.384058E-01,7.317045E-01,9.131614E-02,2.158556E-01
69.00000,23.80000,2.236931E-01,4.893323E-01,3.589414E-01,7.708429E-01,9.533180E-02,2.248690E-01
69.00000,24.00000,2.400723E-01,5.212538E-01,3.811351E-01,8.152620E-01,9.913843E-02,2.341978E-01
69.00000,24.20000,2.537630E-01,5.479965E-01,3.997210E-01,8.528916E-01,1.018924E-01,2.417772E-01
69.20000,22.00000,1.182900E-01,2.679785E-01,1.996014E-01,4.254902E-01,5.429728E-02,1.201881E-01
69.20000,22.20000,1.284087E-01,2.918000E-01,2.164482E-01,4.647076E-01,5.933700E-02,1.322395E-01
69.20000,23.00000,1.977415E-01,4.520911E-01,3.202400E-01,7.129606E-01,8.535592E-02,2.067225E-01
69.20000,23.20000,2.134093E-01,4.830288E-01,3.437752E-01,7.605236E-01,9.138354E-02,2.216599E-01
69.20000,23.40000,2.258808E-01,5.051075E-01,3.625359E-01,7.946133E-01,9.630729E-02,2.320289E-01
69.20000,23.60000,2.359330E-01,5.215234E-01,3.776127E-01,8.191162E-01,1.000858E-01,2.388084E-01
69.20000,23.80000,2.455893E-01,5.372544E-01,3.912063E-01,8.409941E-01,1.027754E-01,2.436591E-01
69.20000,24.00000,2.549966E-01,5.537077E-01,4.037201E-01,8.628036E-01,1.046958E-01,2.474624E-01
69.20000,24.20000,2.613372E-01,5.651499E-01,4.117690E-01,8.774468E-01,1.054622E-01,2.491627E-01
69.40000,22.00000,1.245158E-01,2.808884E-01,2.100077E-01,4.453048E-01,5.726916E-02,1.249284E-01
69.40000,22.20000,1.355994E-01,3.048772E-01,2.281177E-01,4.853961E-01,6.273223E-02,1.380714E-01
69.40000,23.00000,2.295337E-01,5.196174E-01,3.651871E-01,8.122135E-01,9.464335E-02,2.326010E-01
69.40000,23.20000,2.510218E-01,5.631220E-01,3.972690E-01,8.782057E-01,1.023934E-01,2.523054E-01
69.40000,23.40000,2.660802E-01,5.907996E-01,4.200015E-01,9.200672E-01,1.079431E-01,2.647044E-01
69.40000,23.60000,2.745059E-01,6.033679E-01,4.328604E-01,9.388889E-01,1.112246E-01,2.700719E-01
69.40000,23.80000,2.784248E-01,6.066798E-01,4.386023E-01,9.429193E-01,1.125719E-01,2.704961E-01
69.40000,24.00000,2.796109E-01,6.057603E-01,4.397810E-01,9.396747E-01,1.124846E-01,2.680621E-01
69.40000,24.20000,2.771723E-01,5.992365E-01,4.355711E-01,9.281200E-01,1.110113E-01,2.631093E-01
69.60000,21.80000,1.220904E-01,2.724392E-01,2.051765E-01,4.299249E-01,5.518539E-02,1.188607E-01
