,best catalogue,layerid,min mag,start,events,years,activity rate,DT,BZ,KSE',KSU,all,w/o BZ
0,declustered mainshocks,1.0,4.5,1964,3441,45,76.4666666667,1.99521003802e-118,0.0,8.47864962274e-08,9.3542478692e-79,0.0,1.73270418739e-198
1,declustered raw,1.0,5.5,1903,621,106,5.85849056604,3.7896317937e-76,0.0,6.56859011627e-11,0.0,0.0,0.0
2,declustered mainshocks,1.0,5.0,1964,1510,45,33.5555555556,1.18924465152e-27,0.0,0.00274992852545,1.84000365699e-05,0.0,1.91606289261e-31
3,declustered mainshocks,1.0,6.0,1964,153,45,3.4,6.22540877726e-15,1.24747661902e-196,0.132940876354,0.000344058534921,7.17139018473e-208,2.72064800015e-16
4,declustered mainshocks,2.0,4.5,1964,3779,45,83.9777777778,6.68401684072e-38,0.0,0.000864066067734,3.44870001927e-18,0.0,1.7846033028e-54
5,declustered mainshocks,2.0,5.5,1902,461,107,4.30841121495,1.01705314278e-34,0.0,1.13608455976e-10,2.10031991799e-11,0.0,1.94971464219e-51
6,mainshocks,2.0,5.0,1964,1267,45,28.1555555556,6.03272412346e-11,0.0,0.000566170368132,5.27483869917e-08,0.0,2.1431336775e-18
7,mainshocks,2.0,6.0,1964,59,45,1.31111111111,0.0806725724647,0.852466359819,0.878698137867,0.00910963762918,0.0589623832017,0.0228081961757
8,mainshocks,3.0,4.5,1964,1993,45,44.2888888889,4.18750710236e-29,0.0,0.00427872141093,2.55928312523e-05,0.0,1.55582857431e-32
9,declustered mainshocks,3.0,5.5,1914,131,95,1.37894736842,0.00124364797666,8.07295965028e-83,0.0408643506588,1.69637368264e-06,1.12418320549e-86,2.52337098391e-08
10,mainshocks,3.0,5.0,1964,596,45,13.2444444444,6.47527425219e-06,0.0,0.00146384579871,5.48234387363e-05,0.0,2.23102341097e-10
11,declustered raw,3.0,6.0,1964,26,45,0.577777777778,0.653430529833,1.0,0.851537091791,0.875422869267,0.993681740935,0.963470908773
12,declustered raw,4.0,4.5,1984,141,25,5.64,2.81765644157e-15,0.0,0.0266992514906,5.84242024093e-07,0.0,6.05449205964e-20
13,declustered mainshocks,4.0,5.5,1912,81,97,0.835051546392,0.646321856755,1.0,0.525452772056,0.286606501106,0.793302906594,0.588205526935
14,mainshocks,4.0,5.0,1984,96,25,3.84,0.00016075767949,8.77434711439e-44,0.776483937595,0.0033910550674,9.37177647898e-45,5.22155031954e-05
15,declustered raw,4.0,6.0,1984,11,25,0.44,0.775775955854,1.0,0.598038692544,0.717611047409,0.97427155308,0.900452746977
