lon,lat,nu
65.2,33.4,2e-06
65.2,33.6,3e-06
65.2,33.8,4e-06
65.2,34,4e-06
65.2,34.2,4e-06
65.4,33.2,3e-06
65.4,33.4,5e-06
65.4,33.6,7e-06
65.4,33.8,9e-06
65.4,34,9e-06
65.4,34.2,9e-06
65.4,34.4,7e-06
65.4,34.6,5e-06
65.6,33,3e-06
65.6,33.2,6e-06
65.6,33.4,1e-05
65.6,33.6,1.4e-05
65.6,33.8,1.7e-05
65.6,34,1.9e-05
65.6,34.2,1.7e-05
65.6,34.4,1.4e-05
65.6,34.6,1e-05
65.6,34.8,6e-06
65.8,32.8,3e-06
65.8,33,6e-06
65.8,33.2,1.1e-05
65.8,33.4,1.8e-05
65.8,33.6,2.6e-05
65.8,33.8,3.2e-05
65.8,34,3.4e-05
65.8,34.2,3.2e-05
65.8,34.4,2.6e-05
65.8,34.6,1.9e-05
65.8,34.8,1.2e-05
65.8,35,6e-06
66,32.6,2e-06
66,32.8,5e-06
66,33,1e-05
66,33.2,1.9e-05
66,33.4,3.1e-05
66,33.6,4.4e-05
66,33.8,5.4e-05
66,34,5.7e-05
66,34.2,5.4e-05
66,34.4,4.4e-05
66,34.6,3.1e-05
66,34.8,1.9e-05
66,35,1e-05
66,35.2,5e-06
66,35.4,2e-06
66.2,32.6,3e-06
66.2,32.8,7e-06
66.2,33,1.6e-05
66.2,33.2,2.9e-05
66.2,33.4,4.7e-05
66.2,33.6,6.7e-05
66.2,33.8,8.2e-05
66.2,34,8.8e-05
66.2,34.2,8.2e-05
66.2,34.4,6.7e-05
66.2,34.6,4.7e-05
66.2,34.8,2.9e-05
66.2,35,1.6e-05
66.2,35.2,7e-06
66.2,35.4,3e-06
66.4,32.6,4e-06
66.4,32.8,1e-05
66.4,33,2.2e-05
66.4,33.2,4.1e-05
66.4,33.4,6.6e-05
66.4,33.6,9.3e-05
66.4,33.8,0.000114
66.4,34,0.000122
66.4,34.2,0.000114
66.4,34.4,9.2e-05
66.4,34.6,6.6e-05
66.4,34.8,4.1e-05
66.4,35,2.2e-05
66.4,35.2,1e-05
66.4,35.4,4e-06
66.6,32.6,5e-06
66.6,32.8,1.3e-05
66.6,33,2.8e-05
66.6,33.2,5.2e-05
66.6,33.4,8.4e-05
66.6,33.6,0.000118
66.6,33.8,0.000144
66.6,34,0.000154
66.6,34.2,0.000144
66.6,34.4,0.000117
66.6,34.6,8.3e-05
66.6,34.8,5.1e-05
66.6,35,2.8e-05
66.6,35.2,1.3e-05
66.6,35.4,5e-06
66.8,32.4,2e-06
66.8,32.6,6e-06
66.8,32.8,1.5e-05
66.8,33,3.2e-05
66.8,33.2,6e-05
66.8,33.4,9.7e-05
66.8,33.6,0.000136
66.8,33.8,0.000166
66.8,34,0.000178
66.8,34.2,0.000166
66.8,34.4,0.000135
66.8,34.6,9.5e-05
66.8,34.8,5.9e-05
66.8,35,3.2e-05
66.8,35.2,1.5e-05
66.8,35.4,6e-06
66.8,35.6,2e-06
67,32.4,2e-06
67,32.6,7e-06
67,32.8,1.6e-05
67,33,3.4e-05
67,33.2,6.3e-05
67,33.4,0.000101
67,33.6,0.000142
67,33.8,0.000174
67,34,0.000186
67,34.2,0.000174
67,34.4,0.000141
67,34.6,0.0001
67,34.8,6.2e-05
67,35,3.3e-05
67,35.2,1.6e-05
67,35.4,6e-06
67,35.6,2e-06
67.2,32.4,2e-06
67.2,32.6,6e-06
67.2,32.8,1.5e-05
67.2,33,3.2e-05
67.2,33.2,6e-05
67.2,33.4,9.7e-05
67.2,33.6,0.000136
67.2,33.8,0.000166
67.2,34,0.000178
67.2,34.2,0.000166
67.2,34.4,0.000135
67.2,34.6,9.5e-05
67.2,34.8,5.9e-05
67.2,35,3.2e-05
67.2,35.2,1.5e-05
67.2,35.4,6e-06
67.2,35.6,2e-06
67.4,32.6,5e-06
67.4,32.8,1.3e-05
67.4,33,2.8e-05
67.4,33.2,5.2e-05
67.4,33.4,8.4e-05
67.4,33.6,0.000118
67.4,33.8,0.000144
67.4,34,0.000154
67.4,34.2,0.000144
67.4,34.4,0.000117
67.4,34.6,8.3e-05
67.4,34.8,5.1e-05
67.4,35,2.8e-05
67.4,35.2,1.3e-05
67.4,35.4,5e-06
67.6,32.6,4e-06
67.6,32.8,1e-05
67.6,33,2.2e-05
67.6,33.2,4.1e-05
67.6,33.4,6.6e-05
67.6,33.6,9.3e-05
67.6,33.8,0.000114
67.6,34,0.000122
67.6,34.2,0.000114
67.6,34.4,9.2e-05
67.6,34.6,6.6e-05
67.6,34.8,4.1e-05
67.6,35,2.2e-05
67.6,35.2,1e-05
67.6,35.4,4e-06
67.8,32.6,3e-06
67.8,32.8,7e-06
67.8,33,1.6e-05
67.8,33.2,2.9e-05
67.8,33.4,4.7e-05
67.8,33.6,6.7e-05
67.8,33.8,8.2e-05
67.8,34,8.8e-05
67.8,34.2,8.2e-05
67.8,34.4,6.7e-05
67.8,34.6,4.7e-05
67.8,34.8,2.9e-05
67.8,35,1.6e-05
67.8,35.2,8e-06
67.8,35.4,4e-06
68,32.6,2e-06
68,32.8,5e-06
68,33,1e-05
68,33.2,1.9e-05
68,33.4,3.1e-05
68,33.6,4.4e-05
68,33.8,5.4e-05
68,34,5.7e-05
68,34.2,5.4e-05
68,34.4,4.4e-05
68,34.6,3.1e-05
68,34.8,1.9e-05
68,35,1.1e-05
68,35.2,6e-06
68,35.4,5e-06
68,35.6,6e-06
68,35.8,9e-06
68,36,1.2e-05
68,36.2,1.6e-05
68,36.4,1.7e-05
68,36.6,1.6e-05
68,36.8,1.3e-05
68,37,9e-06
68,37.2,6e-06
68.2,32.8,3e-06
68.2,33,6e-06
68.2,33.2,1.1e-05
68.2,33.4,1.8e-05
68.2,33.6,2.6e-05
68.2,33.8,3.2e-05
68.2,34,3.4e-05
68.2,34.2,3.2e-05
68.2,34.4,2.6e-05
68.2,34.6,1.9e-05
68.2,34.8,1.2e-05
68.2,35,8e-06
68.2,35.2,7e-06
68.2,35.4,9e-06
68.2,35.6,1.5e-05
68.2,35.8,2.4e-05
68.2,36,3.3e-05
68.2,36.2,4.1e-05
68.2,36.4,4.4e-05
68.2,36.6,4.1e-05
68.2,36.8,3.4e-05
68.2,37,2.4e-05
68.2,37.2,1.5e-05
68.2,37.4,8e-06
68.2,37.6,4e-06
68.4,33,3e-06
68.4,33.2,6e-06
68.4,33.4,1e-05
68.4,33.6,1.4e-05
68.4,33.8,1.7e-05
68.4,34,1.9e-05
68.4,34.2,1.7e-05
68.4,34.4,1.4e-05
68.4,34.6,1e-05
68.4,34.8,7e-06
68.4,35,7e-06
68.4,35.2,1.1e-05
68.4,35.4,2.1e-05
68.4,35.6,3.8e-05
68.4,35.8,5.9e-05
68.4,36,8.3e-05
68.4,36.2,0.000101
68.4,36.4,0.000108
68.4,36.6,0.000101
68.4,36.8,8.3e-05
68.4,37,6e-05
68.4,37.2,3.8e-05
68.4,37.4,2.1e-05
68.4,37.6,1.1e-05
68.4,37.8,5e-06
68.4,38,2e-06
68.6,33.2,3e-06
68.6,33.4,5e-06
68.6,33.6,7e-06
68.6,33.8,9e-06
68.6,34,9e-06
68.6,34.2,9e-06
68.6,34.4,7e-06
68.6,34.6,6e-06
68.6,34.8,6e-06
68.6,35,1.1e-05
68.6,35.2,2.3e-05
68.6,35.4,4.7e-05
68.6,35.6,8.5e-05
68.6,35.8,0.000135
68.6,36,0.000188
68.6,36.2,0.00023
68.6,36.4,0.000246
68.6,36.6,0.000231
68.6,36.8,0.00019
68.6,37,0.000138
68.6,37.2,8.8e-05
68.6,37.4,5e-05
68.6,37.6,2.5e-05
68.6,37.8,1.2e-05
68.6,38,5e-06
68.6,38.2,2e-06
68.8,33.4,2e-06
68.8,33.6,3e-06
68.8,33.8,4e-06
68.8,34,4e-06
68.8,34.2,4e-06
68.8,34.4,4e-06
68.8,34.6,4e-06
68.8,34.8,9e-06
68.8,35,2.1e-05
68.8,35.2,4.8e-05
68.8,35.4,9.9e-05
68.8,35.6,0.000179
68.8,35.8,0.000285
68.8,36,0.000397
68.8,36.2,0.000486
68.8,36.4,0.00052
68.8,36.6,0.000489
68.8,36.8,0.000403
68.8,37,0.000292
68.8,37.2,0.000187
68.8,37.4,0.000107
68.8,37.6,5.5e-05
68.8,37.8,2.6e-05
68.8,38,1.2e-05
68.8,38.2,5e-06
68.8,38.4,3e-06
69,34.4,2e-06
69,34.6,5e-06
69,34.8,1.5e-05
69,35,4e-05
69,35.2,9.4e-05
69,35.4,0.000194
69,35.6,0.000352
69,35.8,0.00056
69,36,0.000781
69,36.2,0.000955
69,36.4,0.001024
69,36.6,0.000963
69,36.8,0.000796
69,37,0.000578
69,37.2,0.000372
69,37.4,0.000212
69,37.6,0.00011
69,37.8,5.3e-05
69,38,2.5e-05
69,38.2,1.2e-05
69,38.4,6e-06
69,38.6,4e-06
69,38.8,2e-06
69.2,34.4,2e-06
69.2,34.6,9e-06
69.2,34.8,2.7e-05
69.2,35,7.3e-05
69.2,35.2,0.000171
69.2,35.4,0.000354
69.2,35.6,0.000642
69.2,35.8,0.001023
69.2,36,0.001429
69.2,36.2,0.001749
69.2,36.4,0.001877
69.2,36.6,0.001767
69.2,36.8,0.001462
69.2,37,0.001065
69.2,37.2,0.000686
69.2,37.4,0.000394
69.2,37.6,0.000205
69.2,37.8,9.9e-05
69.2,38,4.8e-05
69.2,38.2,2.4e-05
69.2,38.4,1.3e-05
69.2,38.6,7e-06
69.2,38.8,4e-06
69.2,39,2e-06
69.4,34.4,4e-06
69.4,34.6,1.5e-05
69.4,34.8,4.6e-05
69.4,35,0.000123
69.4,35.2,0.00029
69.4,35.4,0.000601
69.4,35.6,0.001092
69.4,35.8,0.001741
69.4,36,0.002433
69.4,36.2,0.00298
69.4,36.4,0.003201
69.4,36.6,0.003018
69.4,36.8,0.0025
69.4,37,0.001825
69.4,37.2,0.001179
69.4,37.4,0.00068
69.4,37.6,0.000356
69.4,37.8,0.000175
69.4,38,8.5e-05
69.4,38.2,4.4e-05
69.4,38.4,2.5e-05
69.4,38.6,1.4e-05
69.4,38.8,8e-06
69.4,39,4e-06
69.6,34.4,6e-06
69.6,34.6,2.4e-05
69.6,34.8,7.3e-05
69.6,35,0.000194
69.6,35.2,0.000459
69.6,35.4,0.00095
69.6,35.6,0.001728
69.6,35.8,0.002756
69.6,36,0.003855
69.6,36.2,0.004727
69.6,36.4,0.005083
69.6,36.6,0.004797
69.6,36.8,0.00398
69.6,37,0.002911
69.6,37.2,0.001885
69.6,37.4,0.001091
69.6,37.6,0.000575
69.6,37.8,0.000285
69.6,38,0.000141
69.6,38.2,7.5e-05
69.6,38.4,4.3e-05
69.6,38.6,2.5e-05
69.6,38.8,1.4e-05
69.6,39,8e-06
69.6,39.2,4e-06
69.8,34.4,1e-05
69.8,34.6,3.5e-05
69.8,34.8,0.000106
69.8,35,0.000286
69.8,35.2,0.000674
69.8,35.4,0.001397
69.8,35.6,0.002543
69.8,35.8,0.00406
69.8,36,0.005683
69.8,36.2,0.006975
69.8,36.4,0.007508
69.8,36.6,0.007095
69.8,36.8,0.005895
69.8,37,0.00432
69.8,37.2,0.002805
69.8,37.4,0.00163
69.8,37.6,0.000864
69.8,37.8,0.000433
69.8,38,0.000218
69.8,38.2,0.000117
69.8,38.4,6.8e-05
69.8,38.6,4e-05
69.8,38.8,2.3e-05
69.8,39,1.3e-05
69.8,39.2,7e-06
69.8,39.4,3e-06
70,34.2,3e-06
70,34.4,1.4e-05
70,34.6,4.8e-05
70,34.8,0.000145
70,35,0.00039
70,35.2,0.00092
70,35.4,0.00191
70,35.6,0.00348
70,35.8,0.005562
70,36,0.007793
70,36.2,0.009575
70,36.4,0.010318
70,36.6,0.009762
70,36.8,0.008124
70,37,0.005964
70,37.2,0.003884
70,37.4,0.002266
70,37.6,0.001208
70,37.8,0.000611
70,38,0.000311
70,38.2,0.000169
70,38.4,9.9e-05
70,38.6,6e-05
70,38.8,3.5e-05
70,39,2e-05
70,39.2,1.1e-05
70,39.4,6e-06
70,39.6,3e-06
70.2,34.2,4e-06
70.2,34.4,1.7e-05
70.2,34.6,6e-05
70.2,34.8,0.000183
70.2,35,0.000494
70.2,35.2,0.001168
70.2,35.4,0.002427
70.2,35.6,0.004427
70.2,35.8,0.007084
70.2,36,0.009937
70.2,36.2,0.012223
70.2,36.4,0.013188
70.2,36.6,0.012494
70.2,36.8,0.010413
70.2,37,0.00766
70.2,37.2,0.005002
70.2,37.4,0.00293
70.2,37.6,0.001572
70.2,37.8,0.000803
70.2,38,0.000414
70.2,38.2,0.000228
70.2,38.4,0.000136
70.2,38.6,8.3e-05
70.2,38.8,5e-05
70.2,39,2.9e-05
70.2,39.2,1.7e-05
70.2,39.4,1e-05
70.2,39.6,6e-06
70.4,34.2,5e-06
70.4,34.4,2e-05
70.4,34.6,7e-05
70.4,34.8,0.000215
70.4,35,0.000581
70.4,35.2,0.001376
70.4,35.4,0.002865
70.4,35.6,0.005234
70.4,35.8,0.008386
70.4,36,0.01178
70.4,36.2,0.014508
70.4,36.4,0.015674
70.4,36.6,0.014872
70.4,36.8,0.012416
70.4,37,0.009152
70.4,37.2,0.005993
70.4,37.4,0.003526
70.4,37.6,0.001903
70.4,37.8,0.00098
70.4,38,0.000511
70.4,38.2,0.000285
70.4,38.4,0.000172
70.4,38.6,0.000107
70.4,38.8,6.6e-05
70.4,39,4.1e-05
70.4,39.2,2.6e-05
70.4,39.4,1.6e-05
70.4,39.6,1e-05
70.4,39.8,7e-06
70.6,34.2,5e-06
70.6,34.4,2.2e-05
70.6,34.6,7.6e-05
70.6,34.8,0.000235
70.6,35,0.000634
70.6,35.2,0.001506
70.6,35.4,0.003141
70.6,35.6,0.00575
70.6,35.8,0.009227
70.6,36,0.012982
70.6,36.2,0.016012
70.6,36.4,0.017325
70.6,36.6,0.016465
70.6,36.8,0.013772
70.6,37,0.010175
70.6,37.2,0.006684
70.6,37.4,0.003949
70.6,37.6,0.002145
70.6,37.8,0.001115
70.6,38,0.000587
70.6,38.2,0.000331
70.6,38.4,0.000203
70.6,38.6,0.00013
70.6,38.8,8.4e-05
70.6,39,5.6e-05
70.6,39.2,3.8e-05
70.6,39.4,2.6e-05
70.6,39.6,1.8e-05
70.6,39.8,1.2e-05
70.8,34.2,5e-06
