Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
69.9,40,500,0,1.4369e-06,1
70,40,500,0,2.4159e-06,1
70.1,40,500,0,3.98001e-06,1
70.2,40,500,0,6.42453e-06,1
70.3,40,500,0,1.01613e-05,1
70.4,40,500,0,1.57476e-05,1
70.5,40,500,0,2.39127e-05,1
70.6,40,500,0,3.55791e-05,1
70.7,40,500,0,5.18696e-05,1
70.8,40,500,0,7.4094e-05,1
70.9,40,500,0,0.000106066,1
71,40,500,0,0.000145932,1
71.1,40,500,0,0.000200479,1
71.2,40,500,0,0.00026669,1
71.3,40,500,0,0.000351448,1
71.4,40,500,0,0.000449763,1
71.5,40,500,0,0.000563703,1
71.6,40,500,0,0.00069449,1
71.7,40,500,0,0.000838722,1
71.8,40,500,0,0.000995623,1
71.9,40,500,0,0.00115994,1
72,40,500,0,0.00132777,1
72.1,40,500,0,0.00149383,1
72.2,40,500,0,0.00165245,1
72.3,40,500,0,0.00179896,1
72.4,40,500,0,0.00192646,1
72.5,40,500,0,0.00203101,1
72.6,40,500,0,0.00210899,1
72.7,40,500,0,0.00215799,1
72.8,40,500,0,0.00217693,1
72.9,40,500,0,0.002166,1
73,40,500,0,0.0021266,1
73.1,40,500,0,0.00206117,1
73.2,40,500,0,0.00197297,1
73.3,40,500,0,0.00186583,1
73.4,40,500,0,0.00174389,1
73.5,40,500,0,0.00161141,1
73.6,40,500,0,0.00147255,1
73.7,40,500,0,0.0013312,1
73.8,40,500,0,0.00119084,1
73.9,40,500,0,0.00105446,1
74,40,500,0,0.000924505,1
74.1,40,500,0,0.000802015,1
74.2,40,500,0,0.000689316,1
74.3,40,500,0,0.000587929,1
74.4,40,500,0,0.00049625,1
74.5,40,500,0,0.000415276,1
74.6,40,500,0,0.000345329,1
74.7,40,500,0,0.000284728,1
74.8,40,500,0,0.000232745,1
74.9,40,500,0,0.00018857,1
75,40,500,0,0.000150468,1
75.1,40,500,0,0.000119738,1
75.2,40,500,0,9.16427e-05,1
75.3,40,500,0,7.17575e-05,1
75.4,40,500,0,5.47375e-05,1
75.5,40,500,0,4.18472e-05,1
75.6,40,500,0,3.0057e-05,1
75.7,40,500,0,2.18239e-05,1
75.8,40,500,0,1.54027e-05,1
75.9,40,500,0,1.12604e-05,1
76,40,500,0,8.07514e-06,1
76.1,40,500,0,5.00499e-06,1
76.2,40,500,0,3.49314e-06,1
76.3,40,500,0,2.38839e-06,1
76.4,40,500,0,1.59982e-06,1
76.5,40,500,0,1.04982e-06,1
69.8,39.9,500,0,1.01123e-06,1
69.9,39.9,500,0,1.73656e-06,1
70,39.9,500,0,2.92193e-06,1
70.1,39.9,500,0,4.81715e-06,1
70.2,39.9,500,0,7.78126e-06,1
70.3,39.9,500,0,1.23154e-05,1
70.4,39.9,500,0,1.9098e-05,1
70.5,39.9,500,0,2.90179e-05,1
70.6,39.9,500,0,4.32e-05,1
70.7,39.9,500,0,6.30144e-05,1
70.8,39.9,500,0,9.21403e-05,1
70.9,39.9,500,0,0.000131309,1
71,39.9,500,0,0.000183082,1
71.1,39.9,500,0,0.000250566,1
71.2,39.9,500,0,0.00033483,1
71.3,39.9,500,0,0.000438411,1
71.4,39.9,500,0,0.000563771,1
71.5,39.9,500,0,0.00070798,1
71.6,39.9,500,0,0.000872808,1
71.7,39.9,500,0,0.00105757,1
71.8,39.9,500,0,0.0012578,1
71.9,39.9,500,0,0.00146984,1
72,39.9,500,0,0.0016882,1
72.1,39.9,500,0,0.00190647,1
72.2,39.9,500,0,0.00211861,1
72.3,39.9,500,0,0.00231599,1
72.4,39.9,500,0,0.00249237,1
72.5,39.9,500,0,0.0026416,1
72.6,39.9,500,0,0.00275864,1
72.7,39.9,500,0,0.00283977,1
72.8,39.9,500,0,0.00288284,1
72.9,39.9,500,0,0.00288651,1
73,39.9,500,0,0.0028526,1
73.1,39.9,500,0,0.00278265,1
73.2,39.9,500,0,0.0026825,1
73.3,39.9,500,0,0.00255474,1
73.4,39.9,500,0,0.00240436,1
73.5,39.9,500,0,0.00223674,1
73.6,39.9,500,0,0.00205733,1
73.7,39.9,500,0,0.00187144,1
73.8,39.9,500,0,0.00168401,1
73.9,39.9,500,0,0.00149944,1
74,39.9,500,0,0.00132146,1
74.1,39.9,500,0,0.00115307,1
74.2,39.9,500,0,0.00099736,1
74.3,39.9,500,0,0.000853438,1
74.4,39.9,500,0,0.000723746,1
74.5,39.9,500,0,0.0006091,1
74.6,39.9,500,0,0.000507553,1
74.7,39.9,500,0,0.000419229,1
74.8,39.9,500,0,0.000343946,1
74.9,39.9,500,0,0.000279671,1
75,39.9,500,0,0.000225308,1
75.1,39.9,500,0,0.000179754,1
75.2,39.9,500,0,0.000141356,1
75.3,39.9,500,0,0.00010992,1
75.4,39.9,500,0,8.38702e-05,1
75.5,39.9,500,0,6.35743e-05,1
75.6,39.9,500,0,4.8109e-05,1
75.7,39.9,500,0,3.46025e-05,1
75.8,39.9,500,0,2.49524e-05,1
75.9,39.9,500,0,1.68169e-05,1
76,39.9,500,0,1.20544e-05,1
76.1,39.9,500,0,8.47473e-06,1
76.2,39.9,500,0,5.21107e-06,1
76.3,39.9,500,0,3.56104e-06,1
76.4,39.9,500,0,2.38391e-06,1
76.5,39.9,500,0,1.56339e-06,1
76.6,39.9,500,0,1.00441e-06,1
63.4,39.8,500,0,8.0192e-07,1
63.5,39.8,500,0,9.37587e-07,1
63.6,39.8,500,0,1.0736e-06,1
63.7,39.8,500,0,1.20399e-06,1
63.8,39.8,500,0,1.32236e-06,1
63.9,39.8,500,0,1.42242e-06,1
64,39.8,500,0,1.49849e-06,1
64.1,39.8,500,0,1.54608e-06,1
64.2,39.8,500,0,1.56227e-06,1
64.3,39.8,500,0,1.54608e-06,1
64.4,39.8,500,0,1.49849e-06,1
64.5,39.8,500,0,1.42242e-06,1
64.6,39.8,500,0,1.32236e-06,1
64.7,39.8,500,0,1.20399e-06,1
64.8,39.8,500,0,1.0736e-06,1
64.9,39.8,500,0,9.37587e-07,1
65,39.8,500,0,8.0192e-07,1
69.8,39.8,500,0,1.20351e-06,1
69.9,39.8,500,0,2.06837e-06,1
70,39.8,500,0,3.48285e-06,1
70.1,39.8,500,0,5.74604e-06,1
70.2,39.8,500,0,9.28817e-06,1
70.3,39.8,500,0,1.47102e-05,1
70.4,39.8,500,0,2.28262e-05,1
70.5,39.8,500,0,3.47037e-05,1
70.6,39.8,500,0,5.16944e-05,1
70.7,39.8,500,0,7.72142e-05,1
70.8,39.8,500,0,0.00011356,1
70.9,39.8,500,0,0.000162609,1
71,39.8,500,0,0.000227362,1
71.1,39.8,500,0,0.000311067,1
71.2,39.8,500,0,0.000415648,1
71.3,39.8,500,0,0.000543024,1
71.4,39.8,500,0,0.000696322,1
71.5,39.8,500,0,0.000876581,1
71.6,39.8,500,0,0.00108452,1
71.7,39.8,500,0,0.00131714,1
71.8,39.8,500,0,0.00157175,1
71.9,39.8,500,0,0.00184346,1
72,39.8,500,0,0.00212584,1
72.1,39.8,500,0,0.00241211,1
72.2,39.8,500,0,0.00269237,1
72.3,39.8,500,0,0.00295827,1
72.4,39.8,500,0,0.003201,1
72.5,39.8,500,0,0.00341238,1
72.6,39.8,500,0,0.00358536,1
72.7,39.8,500,0,0.00371437,1
72.8,39.8,500,0,0.00379557,1
72.9,39.8,500,0,0.00382704,1
73,39.8,500,0,0.00380876,1
73.1,39.8,500,0,0.00374253,1
73.2,39.8,500,0,0.00363107,1
73.3,39.8,500,0,0.00348013,1
73.4,39.8,500,0,0.0032949,1
73.5,39.8,500,0,0.00308442,1
73.6,39.8,500,0,0.00285397,1
73.7,39.8,500,0,0.00261076,1
73.8,39.8,500,0,0.00236174,1
73.9,39.8,500,0,0.00211421,1
74,39.8,500,0,0.00187214,1
74.1,39.8,500,0,0.00164089,1
74.2,39.8,500,0,0.00142403,1
74.3,39.8,500,0,0.00122404,1
74.4,39.8,500,0,0.00104244,1
74.5,39.8,500,0,0.000879231,1
74.6,39.8,500,0,0.000735047,1
74.7,39.8,500,0,0.00060899,1
74.8,39.8,500,0,0.000500784,1
74.9,39.8,500,0,0.000407498,1
75,39.8,500,0,0.000329023,1
75.1,39.8,500,0,0.000263047,1
75.2,39.8,500,0,0.000208118,1
75.3,39.8,500,0,0.000161605,1
75.4,39.8,500,0,0.000125218,1
75.5,39.8,500,0,9.46659e-05,1
75.6,39.8,500,0,7.10519e-05,1
75.7,39.8,500,0,5.30604e-05,1
75.8,39.8,500,0,3.79693e-05,1
75.9,39.8,500,0,2.70692e-05,1
76,39.8,500,0,1.88861e-05,1
76.1,39.8,500,0,1.33877e-05,1
76.2,39.8,500,0,8.58795e-06,1
76.3,39.8,500,0,5.23262e-06,1
76.4,39.8,500,0,3.50091e-06,1
76.5,39.8,500,0,2.29453e-06,1
76.6,39.8,500,0,1.47319e-06,1
76.7,39.8,500,0,9.2656e-07,1
