Longitude,Latitude,nu4_5,Observed Count,Smoothed Rate
100.2,3.4,0.0044,0,0.000274
100.2,3.6,0.0013,0,0.000121
100.2,3.8,0.0003,0,6.8e-05
100.2,4.0,0.0001,0,6.5e-05
100.4,3.6,0.0012,0,7.6e-05
100.4,3.8,0.0003,0,3.1e-05
100.4,4.0,0.0001,0,2.4e-05
100.6,3.6,0.0009,0,5e-05
100.6,3.8,0.0002,0,1.6e-05
60.0,24.0,0.0001,0,6e-05
60.0,24.2,0.0003,0,7e-05
60.0,24.4,0.0007,0,6.9e-05
60.0,24.6,0.0014,0,6.4e-05
60.0,24.8,0.0023,0,6.7e-05
60.0,25.0,0.0033,0,9.7e-05
60.0,25.2,0.0048,0,0.000182
60.0,25.4,0.0073,0,0.00036
60.0,25.6,0.0119,0,0.000651
60.0,25.8,0.0189,0,0.001025
60.0,26.0,0.0273,0,0.001383
60.0,26.2,0.0341,0,0.001604
60.0,26.4,0.0362,0,0.001611
60.0,26.6,0.0324,0,0.001426
60.0,26.8,0.0251,0,0.001183
60.0,27.0,0.018,0,0.001057
60.0,27.2,0.0132,0,0.001134
60.2,23.8,0.0001,0,1.5e-05
60.2,24.0,0.0002,0,2.4e-05
60.2,24.2,0.0006,0,3.4e-05
60.2,24.4,0.0015,0,4.8e-05
60.2,24.6,0.0028,0,6.9e-05
60.2,24.8,0.0045,0,0.000102
60.2,25.0,0.0065,0,0.000153
60.2,25.2,0.009,0,0.000243
60.2,25.4,0.0132,0,0.000418
60.2,25.6,0.0206,0,0.000731
60.2,25.8,0.0322,0,0.00119
60.2,26.0,0.0462,0,0.001698
60.2,26.2,0.0577,0,0.002068
60.2,26.4,0.0611,0,0.00213
60.2,26.6,0.0547,0,0.001861
60.2,26.8,0.0421,0,0.001434
60.2,27.0,0.0295,0,0.001098
60.2,27.2,0.0209,0,0.000991
60.4,23.8,0.0001,0,6e-06
60.4,24.0,0.0004,0,1.5e-05
60.4,24.2,0.0011,0,3.3e-05
60.4,24.4,0.0027,0,7.1e-05
60.4,24.6,0.0051,0,0.000131
60.4,24.8,0.0082,0,0.000212
60.4,25.0,0.0116,0,0.000307
60.4,25.2,0.0157,0,0.00043
60.4,25.4,0.0219,0,0.00065
60.4,25.6,0.0331,0,0.001067
60.4,25.8,0.0506,0,0.001732
60.4,26.0,0.0719,0,0.00253
60.4,26.2,0.0896,0,0.003154
60.4,26.4,0.095,0,0.003279
60.4,26.6,0.0848,0,0.002825
60.4,26.8,0.0646,0,0.002047
60.4,27.0,0.0444,0,0.001332
60.4,27.2,0.0303,0,0.000915
60.4,27.4,0.0219,0,0.000765
60.6,21.6,0.0005,0,2.8e-05
60.6,21.8,0.0003,0,1.9e-05
60.6,22.0,0.0002,0,1.3e-05
60.6,22.2,0.0001,0,9e-06
60.6,23.8,0.0002,0,6e-06
60.6,24.0,0.0006,0,1.9e-05
60.6,24.2,0.0018,0,5.5e-05
60.6,24.4,0.0043,0,0.000129
60.6,24.6,0.0083,0,0.00025
60.6,24.8,0.0133,0,0.000406
60.6,25.0,0.0186,0,0.000571
60.6,25.2,0.0244,0,0.000754
60.6,25.4,0.0329,0,0.001045
60.6,25.6,0.0479,0,0.001609
60.6,25.8,0.0716,0,0.00255
60.6,26.0,0.1008,0,0.003721
60.6,26.2,0.1252,0,0.004663
60.6,26.4,0.1326,0,0.004862
60.6,26.6,0.1181,0,0.004168
60.6,26.8,0.0893,0,0.002942
60.6,27.0,0.0603,0,0.001754
60.6,27.2,0.0398,0,0.000965
60.6,27.4,0.0277,0,0.000586
60.6,27.6,0.0196,0,0.000434
60.8,21.2,0.0028,0,0.000148
60.8,21.4,0.0022,0,0.000119
60.8,21.6,0.0016,0,8.3e-05
60.8,21.8,0.001,0,5e-05
60.8,22.0,0.0006,0,2.7e-05
60.8,22.2,0.0003,0,1.3e-05
60.8,22.4,0.0001,0,5e-06
60.8,22.6,0.0001,0,2e-06
60.8,23.6,0.0001,0,2e-06
60.8,23.8,0.0002,0,8e-06
60.8,24.0,0.0009,0,3e-05
60.8,24.2,0.0026,0,8.7e-05
60.8,24.4,0.0061,0,0.000208
60.8,24.6,0.0117,0,0.000404
60.8,24.8,0.0186,0,0.000653
60.8,25.0,0.0258,0,0.000904
60.8,25.2,0.0332,0,0.00115
60.8,25.4,0.0435,0,0.001501
60.8,25.6,0.0612,0,0.002177
60.8,25.8,0.0894,0,0.003341
60.8,26.0,0.1245,0,0.004824
60.8,26.2,0.1541,0,0.006038
60.8,26.4,0.1628,0,0.006304
60.8,26.6,0.1446,0,0.005408
60.8,26.8,0.1088,0,0.003798
60.8,27.0,0.0723,0,0.002204
60.8,27.2,0.0464,0,0.001099
60.8,27.4,0.0312,0,0.000527
60.8,27.6,0.0215,0,0.000291
60.8,27.8,0.0141,0,0.000207
61.0,21.0,0.0081,0,0.000401
61.0,21.2,0.0074,0,0.000377
61.0,21.4,0.006,0,0.000307
61.0,21.6,0.0044,0,0.000217
61.0,21.8,0.0029,0,0.000134
61.0,22.0,0.0018,0,7.1e-05
61.0,22.2,0.0009,0,3.2e-05
61.0,22.4,0.0004,0,1.3e-05
61.0,22.6,0.0002,0,4e-06
61.0,23.6,0.0001,0,2e-06
61.0,23.8,0.0003,0,1.1e-05
61.0,24.0,0.0011,0,4e-05
61.0,24.2,0.0031,0,0.000118
61.0,24.4,0.0073,0,0.000281
61.0,24.6,0.014,0,0.000545
61.0,24.8,0.0223,0,0.000875
61.0,25.0,0.0307,0,0.001196
61.0,25.2,0.039,0,0.00148
61.0,25.4,0.0497,0,0.001839
61.0,25.6,0.0677,0,0.002523
61.0,25.8,0.0967,0,0.003735
61.0,26.0,0.1331,0,0.005314
61.0,26.2,0.1639,0,0.006629
61.0,26.4,0.1728,0,0.006935
61.0,26.6,0.1534,0,0.005977
61.0,26.8,0.1152,0,0.004227
61.0,27.0,0.0762,0,0.002469
61.0,27.2,0.0481,0,0.001224
61.0,27.4,0.0315,0,0.000554
61.0,27.6,0.0212,0,0.000264
61.0,27.8,0.0138,0,0.000167
61.2,20.6,0.0133,0,0.000617
61.2,20.8,0.0166,0,0.000765
61.2,21.0,0.0177,0,0.000829
61.2,21.2,0.0164,0,0.000786
61.2,21.4,0.0135,0,0.000651
61.2,21.6,0.0101,0,0.000471
61.2,21.8,0.0069,0,0.000297
61.2,22.0,0.0043,0,0.000162
61.2,22.2,0.0023,0,7.6e-05
61.2,22.4,0.0011,0,3e-05
61.2,22.6,0.0004,0,1e-05
61.2,22.8,0.0001,0,3e-06
