longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
60.0,26.4,0.0001,0,2.69e-05,0.26899999999999996
60.0,26.5,0.0002,0,6.14e-05,0.307
60.0,26.6,0.0005,0,0.0001275,0.255
60.0,26.7,0.001,0,0.0002498,0.2498
60.0,26.8,0.0019,0,0.0004627,0.2435263157894737
60.0,26.9,0.0032,0,0.0008067,0.25209375
60.0,27.0,0.0053,0,0.0013249,0.24998113207547168
60.0,27.1,0.0083,0,0.0020538,0.24744578313253013
60.0,27.2,0.0121,0,0.0030017,0.24807438016528927
60.1,26.4,0.0001,0,2.63e-05,0.26299999999999996
60.1,26.5,0.0002,0,5.91e-05,0.2955
60.1,26.6,0.0004,0,0.0001228,0.307
60.1,26.7,0.0009,0,0.0002405,0.2672222222222222
60.1,26.8,0.0016,0,0.0004443,0.2776875
60.1,26.9,0.0027,0,0.0007742,0.2867407407407407
60.1,27.0,0.0045,0,0.0012723,0.2827333333333334
60.1,27.1,0.007,0,0.0019719,0.2817
60.1,27.2,0.0102,0,0.0028851,0.28285294117647053
60.1,27.3,0.0141,0,0.0039779,0.28212056737588653
60.2,26.4,0.0001,0,2.45e-05,0.24499999999999997
60.2,26.5,0.0002,0,5.4e-05,0.26999999999999996
60.2,26.6,0.0004,0,0.0001136,0.284
60.2,26.7,0.0007,0,0.0002225,0.31785714285714284
60.2,26.8,0.0013,0,0.000411,0.3161538461538462
60.2,26.9,0.0023,0,0.0007162,0.3113913043478261
60.2,27.0,0.0037,0,0.001177,0.31810810810810813
60.2,27.1,0.0058,0,0.0018243,0.3145344827586207
60.2,27.2,0.0085,0,0.0026668,0.3137411764705882
60.2,27.3,0.0117,0,0.0036778,0.3143418803418803
60.3,26.4,0.0001,0,2.19e-05,0.219
60.3,26.5,0.0001,0,4.81e-05,0.4809999999999999
60.3,26.6,0.0003,0,0.0001,0.33333333333333337
60.3,26.7,0.0006,0,0.0001972,0.32866666666666666
60.3,26.8,0.0011,0,0.0003643,0.3311818181818182
60.3,26.9,0.0018,0,0.0006349,0.3527222222222222
60.3,27.0,0.003,0,0.0010435,0.3478333333333333
60.3,27.1,0.0047,0,0.0016175,0.34414893617021275
60.3,27.2,0.0069,0,0.0023648,0.3427246376811594
60.3,27.3,0.0095,0,0.0032607,0.34323157894736844
60.3,27.4,0.0124,0,0.0042404,0.3419677419354839
60.4,26.4,0.0001,0,1.86e-05,0.186
60.4,26.5,0.0001,0,4.09e-05,0.409
60.4,26.6,0.0002,0,8.5e-05,0.425
60.4,26.7,0.0005,0,0.0001666,0.3332
60.4,26.8,0.0008,0,0.000309,0.3862499999999999
60.4,26.9,0.0015,0,0.0005386,0.35906666666666665
60.4,27.0,0.0024,0,0.0008853,0.368875
60.4,27.1,0.0037,0,0.0013725,0.37094594594594593
60.4,27.2,0.0054,0,0.0020069,0.3716481481481481
60.4,27.3,0.0075,0,0.0027676,0.3690133333333333
60.4,27.4,0.0098,0,0.0035996,0.3673061224489796
60.4,27.5,0.012,0,0.0044156,0.3679666666666667
60.5,26.5,0.0001,0,3.32e-05,0.332
60.5,26.6,0.0002,0,6.9e-05,0.345
60.5,26.7,0.0003,0,0.0001353,0.45100000000000007
60.5,26.8,0.0006,0,0.00025,0.4166666666666667
60.5,26.9,0.0011,0,0.0004358,0.3961818181818182
60.5,27.0,0.0018,0,0.0007181,0.3989444444444445
60.5,27.1,0.0029,0,0.0011136,0.384
60.5,27.2,0.0042,0,0.0016285,0.38773809523809527
60.5,27.3,0.0058,0,0.0022462,0.3872758620689655
60.5,27.4,0.0075,0,0.002922,0.38960000000000006
60.5,27.5,0.0092,0,0.003585,0.38967391304347826
60.5,27.6,0.0107,0,0.0041484,0.38770093457943927
60.6,26.5,0.0001,0,2.57e-05,0.257
60.6,26.6,0.0001,0,5.35e-05,0.5349999999999999
60.6,26.7,0.0003,0,0.0001049,0.3496666666666667
60.6,26.8,0.0005,0,0.0001939,0.3878
60.6,26.9,0.0008,0,0.0003381,0.422625
60.6,27.0,0.0014,0,0.0005559,0.3970714285714286
60.6,27.1,0.0021,0,0.0008634,0.41114285714285714
60.6,27.2,0.0031,0,0.0012629,0.40738709677419355
60.6,27.3,0.0043,0,0.0017436,0.4054883720930233
60.6,27.4,0.0056,0,0.0022686,0.40510714285714283
60.6,27.5,0.0069,0,0.0027838,0.40344927536231884
60.6,27.6,0.008,0,0.003222,0.40275
60.6,27.7,0.0087,0,0.003517,0.40425287356321843
60.7,26.6,0.0001,0,3.96e-05,0.39599999999999996
60.7,26.7,0.0002,0,7.76e-05,0.388
60.7,26.8,0.0003,0,0.0001436,0.4786666666666667
60.7,26.9,0.0006,0,0.0002504,0.4173333333333334
60.7,27.0,0.001,0,0.000413,0.413
60.7,27.1,0.0015,0,0.0006406,0.42706666666666665
60.7,27.2,0.0022,0,0.0009372,0.426
60.7,27.3,0.0031,0,0.0012932,0.41716129032258065
60.7,27.4,0.004,0,0.0016842,0.42105
60.7,27.5,0.0049,0,0.0020671,0.4218571428571429
60.7,27.6,0.0057,0,0.0023929,0.41980701754385963
60.7,27.7,0.0063,0,0.0026125,0.41468253968253965
60.8,26.6,0.0001,0,2.8e-05,0.27999999999999997
60.8,26.7,0.0001,0,5.49e-05,0.5489999999999999
60.8,26.8,0.0002,0,0.0001015,0.5075
60.8,26.9,0.0004,0,0.0001787,0.44675
60.8,27.0,0.0007,0,0.0002939,0.4198571428571428
60.8,27.1,0.0011,0,0.0004559,0.41445454545454546
60.8,27.2,0.0016,0,0.000667,0.41687499999999994
60.8,27.3,0.0022,0,0.0009204,0.4183636363636364
60.8,27.4,0.0028,0,0.0011978,0.42778571428571427
60.8,27.5,0.0035,0,0.0014702,0.42005714285714285
60.8,27.6,0.004,0,0.001702,0.4255
60.8,27.7,0.0044,0,0.0018584,0.42236363636363633
60.8,27.8,0.0045,0,0.0019138,0.42528888888888894
60.9,26.7,0.0001,0,3.82e-05,0.382
60.9,26.8,0.0002,0,7.06e-05,0.353
60.9,26.9,0.0003,0,0.0001231,0.4103333333333334
60.9,27.0,0.0005,0,0.0002022,0.4044
60.9,27.1,0.0007,0,0.0003135,0.44785714285714284
60.9,27.2,0.0011,0,0.0004584,0.41672727272727267
60.9,27.3,0.0015,0,0.0006322,0.42146666666666666
60.9,27.4,0.0019,0,0.0008224,0.4328421052631579
60.9,27.5,0.0023,0,0.001009,0.438695652173913
60.9,27.6,0.0027,0,0.0011677,0.43248148148148147
60.9,27.7,0.003,0,0.0012745,0.42483333333333334
60.9,27.8,0.003,0,0.0013121,0.4373666666666667
61.0,26.7,0.0001,0,2.63e-05,0.26299999999999996
61.0,26.8,0.0001,0,4.85e-05,0.485
61.0,26.9,0.0002,0,8.42e-05,0.421
61.0,27.0,0.0003,0,0.000138,0.46
61.0,27.1,0.0005,0,0.0002134,0.4268
61.0,27.2,0.0007,0,0.0003112,0.44457142857142856
61.0,27.3,0.001,0,0.0004283,0.4283
61.0,27.4,0.0013,0,0.0005559,0.4276153846153846
61.0,27.5,0.0016,0,0.0006807,0.42543749999999997
61.0,27.6,0.0018,0,0.0007863,0.43683333333333335
61.0,27.7,0.002,0,0.0008568,0.4284
61.0,27.8,0.002,0,0.0008806,0.4403
61.1,26.8,0.0001,0,3.55e-05,0.355
61.1,26.9,0.0001,0,6.13e-05,0.613
61.1,27.0,0.0002,0,9.97e-05,0.49849999999999994
61.1,27.1,0.0004,0,0.000153,0.3825
61.1,27.2,0.0005,0,0.0002217,0.44339999999999996
61.1,27.3,0.0007,0,0.000303,0.43285714285714283
61.1,27.4,0.0009,0,0.0003909,0.43433333333333335
61.1,27.5,0.0011,0,0.0004758,0.4325454545454545
61.1,27.6,0.0013,0,0.0005464,0.4203076923076924
