longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
62.4,29.2,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,29.2N 62.4E 180-300 km depth,29p2N62p4Ez169
62.4,29.4,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,29.4N 62.4E 180-300 km depth,29p4N62p4Ez169
62.4,29.6,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,29.6N 62.4E 180-300 km depth,29p6N62p4Ez169
62.4,29.8,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,29.8N 62.4E 180-300 km depth,29p8N62p4Ez169
62.4,30.0,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,30N 62.4E 180-300 km depth,30N62p4Ez169
62.4,30.2,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,30.2N 62.4E 180-300 km depth,30p2N62p4Ez169
62.6,29.0,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,29N 62.6E 180-300 km depth,29N62p6Ez169
62.6,29.2,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,29.2N 62.6E 180-300 km depth,29p2N62p6Ez169
62.6,29.4,4.5,25,4.80059790732e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.538704668524,0.84,8.6,29.4N 62.6E 180-300 km depth,29p4N62p6Ez169
62.6,29.6,4.5,25,6.40079720977e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.413765931916,0.84,8.6,29.6N 62.6E 180-300 km depth,29p6N62p6Ez169
62.6,29.8,4.5,25,6.40079720977e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.413765931916,0.84,8.6,29.8N 62.6E 180-300 km depth,29p8N62p6Ez169
62.6,30.0,4.5,25,4.80059790732e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.538704668524,0.84,8.6,30N 62.6E 180-300 km depth,30N62p6Ez169
62.6,30.2,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,30.2N 62.6E 180-300 km depth,30p2N62p6Ez169
62.6,30.4,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,30.4N 62.6E 180-300 km depth,30p4N62p6Ez169
62.8,28.8,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,28.8N 62.8E 180-300 km depth,28p8N62p8Ez169
62.8,29.0,4.5,25,4.80059790732e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.538704668524,0.84,8.6,29N 62.8E 180-300 km depth,29N62p8Ez169
62.8,29.2,4.5,25,0.000112013951171,0.00280034877927,169,subduction intraslab Himalayas,-0.17072788323,0.84,8.6,29.2N 62.8E 180-300 km depth,29p2N62p8Ez169
62.8,29.4,4.5,25,0.000176021923269,0.00440054808171,169,subduction intraslab Himalayas,0.0255667619142,0.84,8.6,29.4N 62.8E 180-300 km depth,29p4N62p8Ez169
62.8,29.6,4.5,25,0.000224027902342,0.00560069755855,169,subduction intraslab Himalayas,0.130302112434,0.84,8.6,29.6N 62.8E 180-300 km depth,29p6N62p8Ez169
62.8,29.8,4.5,25,0.000224027902342,0.00560069755855,169,subduction intraslab Himalayas,0.130302112434,0.84,8.6,29.8N 62.8E 180-300 km depth,29p8N62p8Ez169
62.8,30.0,4.5,25,0.000176021923269,0.00440054808171,169,subduction intraslab Himalayas,0.0255667619142,0.84,8.6,30N 62.8E 180-300 km depth,30N62p8Ez169
62.8,30.2,4.5,25,0.000112013951171,0.00280034877927,169,subduction intraslab Himalayas,-0.17072788323,0.84,8.6,30.2N 62.8E 180-300 km depth,30p2N62p8Ez169
62.8,30.4,4.5,25,4.80059790732e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.538704668524,0.84,8.6,30.4N 62.8E 180-300 km depth,30p4N62p8Ez169
62.8,30.6,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,30.6N 62.8E 180-300 km depth,30p6N62p8Ez169
63.0,28.6,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,28.6N 63E 180-300 km depth,28p6N63Ez169
63.0,28.8,4.5,25,4.80059790732e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.538704668524,0.84,8.6,28.8N 63E 180-300 km depth,28p8N63Ez169
63.0,29.0,4.5,25,0.00014401793722,0.00360044843049,169,subduction intraslab Himalayas,-0.0615834138047,0.84,8.6,29N 63E 180-300 km depth,29N63Ez169
63.0,29.2,4.5,25,0.000288035874439,0.00720089686099,169,subduction intraslab Himalayas,0.239446581859,0.84,8.6,29.2N 63E 180-300 km depth,29p2N63Ez169
63.0,29.4,4.5,25,0.000448055804684,0.0112013951171,169,subduction intraslab Himalayas,0.431332108098,0.84,8.6,29.4N 63E 180-300 km depth,29p4N63Ez169
63.0,29.6,4.5,25,0.000576071748879,0.014401793722,169,subduction intraslab Himalayas,0.540476577523,0.84,8.6,29.6N 63E 180-300 km depth,29p6N63Ez169
63.0,29.8,4.5,25,0.000576071748879,0.014401793722,169,subduction intraslab Himalayas,0.540476577523,0.84,8.6,29.8N 63E 180-300 km depth,29p8N63Ez169
63.0,30.0,4.5,25,0.000464057797708,0.0116014449427,169,subduction intraslab Himalayas,0.446572074655,0.84,8.6,30N 63E 180-300 km depth,30N63Ez169
63.0,30.2,4.5,25,0.000288035874439,0.00720089686099,169,subduction intraslab Himalayas,0.239446581859,0.84,8.6,30.2N 63E 180-300 km depth,30p2N63Ez169
63.0,30.4,4.5,25,0.00014401793722,0.00360044843049,169,subduction intraslab Himalayas,-0.0615834138047,0.84,8.6,30.4N 63E 180-300 km depth,30p4N63Ez169
63.0,30.6,4.5,25,6.40079720977e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.413765931916,0.84,8.6,30.6N 63E 180-300 km depth,30p6N63Ez169
63.0,30.8,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,30.8N 63E 180-300 km depth,30p8N63Ez169
63.2,28.4,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,28.4N 63.2E 180-300 km depth,28p4N63p2Ez169
63.2,28.6,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,28.6N 63.2E 180-300 km depth,28p6N63p2Ez169
63.2,28.8,4.5,25,0.000128015944195,0.00320039860488,169,subduction intraslab Himalayas,-0.112735936252,0.84,8.6,28.8N 63.2E 180-300 km depth,28p8N63p2Ez169
63.2,29.0,4.5,25,0.000320039860488,0.00800099651221,169,subduction intraslab Himalayas,0.28520407242,0.84,8.6,29N 63.2E 180-300 km depth,29N63p2Ez169
63.2,29.2,4.5,25,0.000624077727952,0.0156019431988,169,subduction intraslab Himalayas,0.575238683783,0.84,8.6,29.2N 63.2E 180-300 km depth,29p2N63p2Ez169
63.2,29.4,4.5,25,0.00100812556054,0.0252031390135,169,subduction intraslab Himalayas,0.78351462621,0.84,8.6,29.4N 63.2E 180-300 km depth,29p4N63p2Ez169
63.2,29.6,4.5,25,0.00128015944195,0.0320039860488,169,subduction intraslab Himalayas,0.887264063748,0.84,8.6,29.6N 63.2E 180-300 km depth,29p6N63p2Ez169
63.2,29.8,4.5,25,0.00128015944195,0.0320039860488,169,subduction intraslab Himalayas,0.887264063748,0.84,8.6,29.8N 63.2E 180-300 km depth,29p8N63p2Ez169
63.2,30.0,4.5,25,0.00100812556054,0.0252031390135,169,subduction intraslab Himalayas,0.78351462621,0.84,8.6,30N 63.2E 180-300 km depth,30N63p2Ez169
63.2,30.2,4.5,25,0.000640079720977,0.0160019930244,169,subduction intraslab Himalayas,0.586234068084,0.84,8.6,30.2N 63.2E 180-300 km depth,30p2N63p2Ez169
63.2,30.4,4.5,25,0.000320039860488,0.00800099651221,169,subduction intraslab Himalayas,0.28520407242,0.84,8.6,30.4N 63.2E 180-300 km depth,30p4N63p2Ez169
63.2,30.6,4.5,25,0.000128015944195,0.00320039860488,169,subduction intraslab Himalayas,-0.112735936252,0.84,8.6,30.6N 63.2E 180-300 km depth,30p6N63p2Ez169
63.2,30.8,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,30.8N 63.2E 180-300 km depth,30p8N63p2Ez169
63.2,31.0,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,31N 63.2E 180-300 km depth,31N63p2Ez169
63.4,28.4,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,28.4N 63.4E 180-300 km depth,28p4N63p4Ez169
63.4,28.6,4.5,25,6.40079720977e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.413765931916,0.84,8.6,28.6N 63.4E 180-300 km depth,28p6N63p4Ez169
63.4,28.8,4.5,25,0.000224027902342,0.00560069755855,169,subduction intraslab Himalayas,0.130302112434,0.84,8.6,28.8N 63.4E 180-300 km depth,28p8N63p4Ez169
63.4,29.0,4.5,25,0.000576071748879,0.014401793722,169,subduction intraslab Himalayas,0.540476577523,0.84,8.6,29N 63.4E 180-300 km depth,29N63p4Ez169
63.4,29.2,4.5,25,0.00116814549078,0.0292036372696,169,subduction intraslab Himalayas,0.847496936876,0.84,8.6,29.2N 63.4E 180-300 km depth,29p2N63p4Ez169
63.4,29.4,4.5,25,0.00187223318386,0.0468058295964,169,subduction intraslab Himalayas,1.0523599385,0.84,8.6,29.4N 63.4E 180-300 km depth,29p4N63p4Ez169
63.4,29.6,4.5,25,0.00236829496761,0.0592073741903,169,subduction intraslab Himalayas,1.15443579215,0.84,8.6,29.6N 63.4E 180-300 km depth,29p6N63p4Ez169
63.4,29.8,4.5,25,0.00236829496761,0.0592073741903,169,subduction intraslab Himalayas,1.15443579215,0.84,8.6,29.8N 63.4E 180-300 km depth,29p8N63p4Ez169
63.4,30.0,4.5,25,0.00187223318386,0.0468058295964,169,subduction intraslab Himalayas,1.0523599385,0.84,8.6,30N 63.4E 180-300 km depth,30N63p4Ez169
63.4,30.2,4.5,25,0.00116814549078,0.0292036372696,169,subduction intraslab Himalayas,0.847496936876,0.84,8.6,30.2N 63.4E 180-300 km depth,30p2N63p4Ez169
63.4,30.4,4.5,25,0.000576071748879,0.014401793722,169,subduction intraslab Himalayas,0.540476577523,0.84,8.6,30.4N 63.4E 180-300 km depth,30p4N63p4Ez169
63.4,30.6,4.5,25,0.000224027902342,0.00560069755855,169,subduction intraslab Himalayas,0.130302112434,0.84,8.6,30.6N 63.4E 180-300 km depth,30p6N63p4Ez169
63.4,30.8,4.5,25,6.40079720977e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.413765931916,0.84,8.6,30.8N 63.4E 180-300 km depth,30p8N63p4Ez169
63.4,31.0,4.5,25,1.60019930244e-05,0.00040004982561,169,subduction intraslab Himalayas,-1.01582592324,0.84,8.6,31N 63.4E 180-300 km depth,31N63p4Ez169
63.6,28.4,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,28.4N 63.6E 180-300 km depth,28p4N63p6Ez169
63.6,28.6,4.5,25,0.000112013951171,0.00280034877927,169,subduction intraslab Himalayas,-0.17072788323,0.84,8.6,28.6N 63.6E 180-300 km depth,28p6N63p6Ez169
63.6,28.8,4.5,25,0.000352043846537,0.00880109616343,169,subduction intraslab Himalayas,0.326596757578,0.84,8.6,28.8N 63.6E 180-300 km depth,28p8N63p6Ez169
63.6,29.0,4.5,25,0.000912113602392,0.0228028400598,169,subduction intraslab Himalayas,0.740048932428,0.84,8.6,29N 63.6E 180-300 km depth,29N63p6Ez169
63.6,29.2,4.5,25,0.00182422720478,0.0456056801196,169,subduction intraslab Himalayas,1.04107892809,0.84,8.6,29.2N 63.6E 180-300 km depth,29p2N63p6Ez169
63.6,29.4,4.5,25,0.00291236273044,0.0728090682611,169,subduction intraslab Himalayas,1.24424546474,0.84,8.6,29.4N 63.6E 180-300 km depth,29p4N63p6Ez169
63.6,29.6,4.5,25,0.00368045839562,0.0920114598904,169,subduction intraslab Himalayas,1.34590191277,0.84,8.6,29.6N 63.6E 180-300 km depth,29p6N63p6Ez169
63.6,29.8,4.5,25,0.00368045839562,0.0920114598904,169,subduction intraslab Himalayas,1.34590191277,0.84,8.6,29.8N 63.6E 180-300 km depth,29p8N63p6Ez169
63.6,30.0,4.5,25,0.00291236273044,0.0728090682611,169,subduction intraslab Himalayas,1.24424546474,0.84,8.6,30N 63.6E 180-300 km depth,30N63p6Ez169
63.6,30.2,4.5,25,0.00182422720478,0.0456056801196,169,subduction intraslab Himalayas,1.04107892809,0.84,8.6,30.2N 63.6E 180-300 km depth,30p2N63p6Ez169
63.6,30.4,4.5,25,0.000896111609367,0.0224027902342,169,subduction intraslab Himalayas,0.732362103762,0.84,8.6,30.4N 63.6E 180-300 km depth,30p4N63p6Ez169
63.6,30.6,4.5,25,0.000352043846537,0.00880109616343,169,subduction intraslab Himalayas,0.326596757578,0.84,8.6,30.6N 63.6E 180-300 km depth,30p6N63p6Ez169
63.6,30.8,4.5,25,0.000112013951171,0.00280034877927,169,subduction intraslab Himalayas,-0.17072788323,0.84,8.6,30.8N 63.6E 180-300 km depth,30p8N63p6Ez169
63.6,31.0,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,31N 63.6E 180-300 km depth,31N63p6Ez169
63.8,28.4,4.5,25,3.20039860488e-05,0.000800099651221,169,subduction intraslab Himalayas,-0.71479592758,0.84,8.6,28.4N 63.8E 180-300 km depth,28p4N63p8Ez169
