,zoneid,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,ratio 4.5,ratio 5.5
0,1,1.0,2.9854,0.2661,132.273,8.4479,135.0,135.0,44.31,31.75
1,2,1.0,2.851,0.335,106.4242,12.9192,122.0,122.0,37.33,38.56
2,3,1.0,1.9275,0.3273,58.1651,10.7251,78.0,78.0,30.18,32.77
3,4,1.0,0.8511,0.0891,40.92,1.9383,394.0,293.0,48.08,21.75
4,5,1.0,1.5668,0.1928,66.4447,10.6066,124.0,124.0,42.41,55.01
5,6,1.0,1.6032,0.1567,70.1629,7.7375,171.0,171.0,43.76,49.38
6,7,1.0,1.0715,0.0891,53.0881,3.9193,250.0,245.0,49.55,43.99
7,8,1.0,0.8913,0.1349,44.8418,12.7635,435.0,435.0,50.31,94.61
8,9,1.0,1.2445,0.1679,55.0017,9.9397,126.0,126.0,44.2,59.2
9,12,1.0,1.6218,0.309,48.1764,5.3171,267.0,267.0,29.71,17.21
10,13,1.0,0.7328,0.1303,39.9459,4.7145,225.0,225.0,54.51,36.18
11,14,1.0,0.7586,0.1445,29.0844,5.0689,480.0,487.0,38.34,35.08
12,15,1.0,2.9512,0.309,72.5894,17.5144,445.0,445.0,24.6,56.68
13,16,1.0,2.5119,0.3311,101.0684,13.4892,303.0,303.0,40.24,40.74
14,17,1.0,0.3631,0.055,18.1253,1.2576,314.0,258.0,49.92,22.87
15,21,1.0,1.1092,0.1567,91.8881,11.5619,310.0,310.0,82.84,73.78
16,22,1.0,1.135,0.2113,39.2726,5.6229,226.0,226.0,34.6,26.61
17,57,1.0,5.188,0.2317,96.3209,7.2014,232.0,232.0,18.57,31.08
18,58,1.0,4.7315,0.5309,108.5602,28.1365,521.0,512.0,22.94,53.0
19,63,1.0,0.5433,0.061,23.2474,2.7507,289.0,273.0,42.79,45.09
20,66,1.0,0.3802,0.0525,4.6953,0.3159,274.0,80.0,12.35,6.02
21,71,1.0,0.0002,0.0,3.9457,0.3069,776.0,111.0,19728.5,inf
22,74,1.0,0.0501,0.0069,4.5342,2.1426,317.0,283.0,90.5,310.52
23,75,1.0,0.0359,0.0023,0.6656,0.58,81.0,98.0,18.54,252.17
24,81,1.0,0.0603,0.0083,2.1309,0.1144,231.0,47.0,35.34,13.78
25,82,1.0,0.0394,0.0038,1.947,0.0,178.0,0.0,49.42,0.0
26,86,1.0,0.0002,0.0,1.9969,0.9857,201.0,203.0,9984.5,inf
27,87,2.0,5.6234,0.389,307.987,22.8567,311.0,311.0,54.77,58.76
28,88,2.0,3.8019,0.2291,149.1468,11.8939,151.0,151.0,39.23,51.92
29,89,2.0,1.9724,0.1531,82.5738,8.1415,90.0,90.0,41.86,53.18
30,90,2.0,2.5119,0.1585,162.6118,10.1257,211.0,211.0,64.74,63.88
31,91,2.0,2.7861,0.3126,86.9286,9.5295,637.0,620.0,31.2,30.48
32,92,2.0,1.1885,0.1059,86.0361,11.5342,431.0,424.0,72.39,108.92
33,93,2.0,2.2387,0.1479,110.9164,17.6589,325.0,325.0,49.55,119.4
34,94,2.0,1.2589,0.1318,107.9688,20.9047,687.0,663.0,85.76,158.61
35,95,2.0,1.3183,0.1514,59.6007,11.0355,442.0,442.0,45.21,72.89
36,97,2.0,0.3846,0.0452,29.7896,3.6812,405.0,401.0,77.46,81.44
37,98,2.0,1.2445,0.0841,67.1529,3.9103,235.0,235.0,53.96,46.5
38,99,2.0,1.135,0.0804,106.3755,3.186,272.0,272.0,93.72,39.63
39,100,2.0,0.881,0.075,42.7251,3.3257,179.0,179.0,48.5,44.34
40,101,2.0,0.8414,0.0543,38.962,2.4852,230.0,230.0,46.31,45.77
41,102,2.0,0.6531,0.0422,50.2357,2.0252,354.0,313.0,76.92,47.99
42,103,2.0,1.1749,0.0851,86.1694,7.6298,657.0,657.0,73.34,89.66
43,110,2.0,1.1749,0.195,95.5039,12.3447,322.0,322.0,81.29,63.31
44,116,2.0,2.3988,0.1202,78.1526,4.9335,439.0,398.0,32.58,41.04
45,118,2.0,0.881,0.0785,30.9071,3.2481,54.0,54.0,35.08,41.38
46,119,2.0,0.5188,0.0638,44.0488,5.8731,109.0,109.0,84.91,92.05
47,128,2.0,1.122,0.1479,72.5728,6.8737,127.0,127.0,64.68,46.48
48,129,2.0,1.0715,0.0977,51.5798,4.8811,249.0,240.0,48.14,49.96
49,130,2.0,0.6607,0.038,23.0576,1.707,103.0,96.0,34.9,44.92
50,131,2.0,2.3442,0.3388,142.863,25.5486,298.0,298.0,60.94,75.41
51,132,2.0,3.0549,0.4121,293.9108,35.5068,307.0,307.0,96.21,86.16
52,136,2.0,1.2023,0.1259,49.771,5.2762,246.0,216.0,41.4,41.91
53,137,2.0,1.8408,0.0495,59.6802,3.9617,105.0,105.0,32.42,80.03
54,138,2.0,4.6774,0.3715,171.5933,29.4749,413.0,413.0,36.69,79.34
55,153,3.0,15.1356,1.2023,781.8244,45.0692,217.0,217.0,51.65,37.49
56,154,3.0,4.0738,0.2138,204.6587,13.6577,155.0,155.0,50.24,63.88
57,162,3.0,0.881,0.0944,47.2579,6.0216,141.0,141.0,53.64,63.79
58,163,3.0,6.0954,0.5188,272.8751,25.0844,282.0,277.0,44.77,48.35
59,164,3.0,1.2303,0.1549,50.8537,5.626,379.0,283.0,41.33,36.32
