lon,lat,nu
100.2,3.4,0.068073
100.2,3.6,0.08939
100.2,3.8,0.108571
100.2,4,0.112633
100.2,4.2,0.097449
100.4,3.6,0.078932
100.4,3.8,0.101505
100.4,4,0.108541
100.6,3.6,0.06517
100.6,3.8,0.086619
60,26.4,0.000108
60,26.6,0.000516
60,26.8,0.001857
60,27,0.005309
60,27.2,0.012012
60.2,26.4,9.8e-05
60.2,26.6,0.000454
60.2,26.8,0.001644
60.2,27,0.004708
60.2,27.2,0.010667
60.4,26.4,7.4e-05
60.4,26.6,0.00034
60.4,26.8,0.001236
60.4,27,0.003541
60.4,27.2,0.008028
60.4,27.4,0.014399
60.6,26.6,0.000214
60.6,26.8,0.000776
60.6,27,0.002224
60.6,27.2,0.005058
60.6,27.4,0.00908
60.6,27.6,0.012897
60.8,26.6,0.000112
60.8,26.8,0.000411
60.8,27,0.00118
60.8,27.2,0.002679
60.8,27.4,0.004816
60.8,27.6,0.006849
60.8,27.8,0.007707
61,26.8,0.000196
61,27,0.000564
61,27.2,0.001282
61,27.4,0.002309
61,27.6,0.00329
61,27.8,0.003709
61.2,26.8,0.000128
61.2,27,0.000368
61.2,27.2,0.000839
61.2,27.4,0.001513
61.2,27.6,0.002159
61.2,27.8,0.002437
61.4,26.8,0.000196
61.4,27,0.000564
61.4,27.2,0.001282
61.4,27.4,0.002309
61.4,27.6,0.00329
61.4,27.8,0.003709
61.6,26.6,0.000112
61.6,26.8,0.000411
61.6,27,0.00118
61.6,27.2,0.002679
61.6,27.4,0.004816
61.6,27.6,0.006849
61.6,27.8,0.007707
61.6,28,0.006862
61.8,26.6,0.000214
61.8,26.8,0.000776
61.8,27,0.002224
61.8,27.2,0.005052
61.8,27.4,0.009068
61.8,27.6,0.01288
61.8,27.8,0.014475
61.8,28,0.012872
62,26.4,7.4e-05
62,26.6,0.00034
62,26.8,0.001231
62,27,0.003527
62,27.2,0.007996
62,27.4,0.014341
62,27.6,0.020352
62,27.8,0.022853
62,28,0.020304
62,28.2,0.014274
62.2,26.4,9.8e-05
62.2,26.6,0.000449
62.2,26.8,0.001625
62.2,27,0.004652
62.2,27.2,0.01054
62.2,27.4,0.018896
62.2,27.6,0.026802
62.2,27.8,0.03008
62.2,28,0.026713
62.2,28.2,0.01877
62.2,28.4,0.010435
62.2,29.8,0.000156
62.2,30,0.000135
62.4,26.4,0.000108
62.4,26.6,0.000493
62.4,26.8,0.001782
62.4,27,0.005102
62.4,27.2,0.011558
62.4,27.4,0.020715
62.4,27.6,0.029378
62.4,27.8,0.032966
62.4,28,0.02927
62.4,28.2,0.020563
62.4,28.4,0.011436
62.4,28.6,0.00505
62.4,28.8,0.001815
62.4,29,0.000631
62.4,29.2,0.000388
62.4,29.4,0.000465
62.4,29.6,0.00058
62.4,29.8,0.000615
62.4,30,0.000528
62.4,30.2,0.000364
62.4,30.4,0.0002
62.4,30.6,8.6e-05
62.6,26.4,9.8e-05
62.6,26.6,0.000449
62.6,26.8,0.001625
62.6,27,0.004652
62.6,27.2,0.01054
62.6,27.4,0.018896
62.6,27.6,0.026802
62.6,27.8,0.03008
62.6,28,0.026713
62.6,28.2,0.018776
62.6,28.4,0.010461
62.6,28.6,0.004679
62.6,28.8,0.001834
62.6,29,0.000967
62.6,29.2,0.001078
62.6,29.4,0.00154
62.6,29.6,0.001953
62.6,29.8,0.002049
62.6,30,0.001743
62.6,30.2,0.001194
62.6,30.4,0.000654
62.6,30.6,0.000286
62.6,30.8,9.8e-05
62.8,23.4,0.000244
62.8,23.6,0.000276
62.8,23.8,0.000247
62.8,26.4,7.4e-05
62.8,26.6,0.00034
62.8,26.8,0.001231
62.8,27,0.003527
62.8,27.2,0.007996
62.8,27.4,0.014341
62.8,27.6,0.020352
62.8,27.8,0.022853
62.8,28,0.020308
62.8,28.2,0.014293
62.8,28.4,0.008025
62.8,28.6,0.003766
62.8,28.8,0.001933
62.8,29,0.001906
62.8,29.2,0.002948
62.8,29.4,0.004402
62.8,29.6,0.00555
62.8,29.8,0.00576
62.8,30,0.00486
62.8,30.2,0.003308
62.8,30.4,0.001804
62.8,30.6,0.000786
62.8,30.8,0.000272
62.8,31,7.4e-05
63,23,0.000342
63,23.2,0.000616
63,23.4,0.000879
63,23.6,0.000992
63,23.8,0.000886
63,24,0.000626
63,24.2,0.00035
63,26.4,4.7e-05
63,26.6,0.000214
63,26.8,0.000776
63,27,0.002224
63,27.2,0.005045
63,27.4,0.009056
63,27.6,0.012862
63,27.8,0.014455
63,28,0.012865
63,28.2,0.0091
63,28.4,0.005258
63,28.6,0.002922
63,28.8,0.002602
63,29,0.004159
63,29.2,0.007152
63,29.4,0.010686
63,29.6,0.013322
63,29.8,0.013677
63,30,0.011445
63,30.2,0.007741
63,30.4,0.004203
63,30.6,0.001823
63,30.8,0.00063
63,31,0.000171
63.2,22.6,0.000155
63.2,22.8,0.000445
63.2,23,0.001013
63.2,23.2,0.001823
63.2,23.4,0.002596
63.2,23.6,0.002925
63.2,23.8,0.002607
63.2,24,0.001839
63.2,24.2,0.001027
63.2,24.4,0.000453
63.2,24.6,0.000158
63.2,26.6,0.000112
63.2,26.8,0.000406
63.2,27,0.001166
63.2,27.2,0.002648
63.2,27.4,0.004758
63.2,27.6,0.006766
63.2,27.8,0.007617
63.2,28,0.006803
63.2,28.2,0.004902
63.2,28.4,0.003152
63.2,28.6,0.002706
63.2,28.8,0.004341
63.2,29,0.00847
63.2,29.2,0.01484
63.2,29.4,0.021937
63.2,29.6,0.027006
63.2,29.8,0.027432
63.2,30,0.02277
63.2,30.2,0.015307
63.2,30.4,0.008274
63.2,30.6,0.003577
63.2,30.8,0.001232
63.2,31,0.000337
63.2,31.2,7.3e-05
63.4,22.6,0.000378
63.4,22.8,0.001085
63.4,23,0.002464
63.4,23.2,0.004428
63.4,23.4,0.006297
63.4,23.6,0.007085
63.4,23.8,0.006308
63.4,24,0.004443
63.4,24.2,0.002477
63.4,24.4,0.001092
63.4,24.6,0.000381
63.4,26.6,4.9e-05
63.4,26.8,0.000177
63.4,27,0.000508
63.4,27.2,0.001156
63.4,27.4,0.00208
63.4,27.6,0.002962
63.4,27.8,0.003346
63.4,28,0.003024
63.4,28.2,0.002337
63.4,28.4,0.002077
63.4,28.6,0.003319
63.4,28.8,0.007286
63.4,29,0.014955
63.4,29.2,0.026059
63.4,29.4,0.038026
63.4,29.6,0.046237
63.4,29.8,0.046486
63.4,30,0.03828
63.4,30.2,0.025582
63.4,30.4,0.013768
63.4,30.6,0.005933
63.4,30.8,0.002039
63.4,31,0.000557
63.4,31.2,0.00012
63.6,22.4,0.000209
63.6,22.6,0.000756
63.6,22.8,0.002168
63.6,23,0.004918
63.6,23.2,0.00883
63.6,23.4,0.012543
63.6,23.6,0.014099
63.6,23.8,0.012539
63.6,24,0.008824
63.6,24.2,0.004913
63.6,24.4,0.002165
63.6,24.6,0.000755
63.6,24.8,0.000208
63.6,26.8,6.4e-05
63.6,27,0.000184
63.6,27.2,0.00042
63.6,27.4,0.000757
63.6,27.6,0.00108
63.6,27.8,0.001232
63.6,28,0.001163
63.6,28.2,0.001138
63.6,28.4,0.001828
63.6,28.6,0.004485
63.6,28.8,0.010857
63.6,29,0.022394
63.6,29.2,0.038608
63.6,29.4,0.055629
63.6,29.6,0.066847
63.6,29.8,0.06655
63.6,30,0.054387
63.6,30.2,0.036142
63.6,30.4,0.019373
63.6,30.6,0.008324
63.6,30.8,0.002854
63.6,31,0.000779
63.6,31.2,0.000167
63.8,22.4,0.000343
63.8,22.6,0.00124
63.8,22.8,0.003554
63.8,23,0.008058
63.8,23.2,0.014457
63.8,23.4,0.020521
63.8,23.6,0.023048
63.8,23.8,0.020483
63.8,24,0.014403
63.8,24.2,0.008014
63.8,24.4,0.003528
63.8,24.6,0.001229
63.8,24.8,0.000339
63.8,27,5.5e-05
63.8,27.2,0.000127
63.8,27.4,0.000229
63.8,27.6,0.000327
63.8,27.8,0.000387
63.8,28,0.000429
63.8,28.2,0.000714
63.8,28.4,0.00194
63.8,28.6,0.005581
63.8,28.8,0.013784
63.8,29,0.028262
63.8,29.2,0.048196
63.8,29.4,0.068641
63.8,29.6,0.081588
63.8,29.8,0.080481
63.8,30,0.065302
63.8,30.2,0.043167
63.8,30.4,0.023052
63.8,30.6,0.009879
63.8,30.8,0.003381
63.8,31,0.000921
63.8,31.2,0.000197
64,22.2,0.000101
64,22.4,0.000461
64,22.6,0.00167
64,22.8,0.004782
64,23,0.010837
64,23.2,0.019433
64,23.4,0.027572
64,23.6,0.030954
64,23.8,0.027496
64,24,0.019326
64,24.2,0.010748
64,24.4,0.004729
64,24.6,0.001647
64,24.8,0.000454
64,27.2,3.2e-05
64,27.4,5.8e-05
64,27.6,8.3e-05
64,27.8,0.000112
64,28,0.00019
64,28.2,0.00058
64,28.4,0.001992
64,28.6,0.005968
64,28.8,0.014743
64,29,0.029998
64,29.2,0.050661
64,29.4,0.071401
64,29.6,0.084034
64,29.8,0.082196
64,30,0.066253
64,30.2,0.043585
64,30.4,0.023197
64,30.6,0.009919
64,30.8,0.00339
64,31,0.000923
64,31.2,0.000197
64,32.8,6e-05
64.2,22.2,0.000111
64.2,22.4,0.000509
64.2,22.6,0.001843
64.2,22.8,0.005279
64.2,23,0.011962
64.2,23.2,0.021447
64.2,23.4,0.030425
64.2,23.6,0.034151
64.2,23.8,0.030332
64.2,24,0.021316
64.2,24.2,0.011853
64.2,24.4,0.005215
64.2,24.6,0.001815
64.2,24.8,0.0005
64.2,25,0.000109
64.2,28,0.000115
64.2,28.2,0.000486
64.2,28.4,0.001783
64.2,28.6,0.005378
64.2,28.8,0.01324
64.2,29,0.026758
64.2,29.2,0.044809
64.2,29.4,0.06258
64.2,29.6,0.073009
64.2,29.8,0.070872
64.2,30,0.056785
64.2,30.2,0.037195
64.2,30.4,0.019738
64.2,30.6,0.008424
64.2,30.8,0.002876
64.2,31,0.000782
64.2,31.2,0.000167
64.2,33,8.9e-05
64.4,22.2,0.000101
64.4,22.4,0.000461
64.4,22.6,0.00167
64.4,22.8,0.004782
64.4,23,0.010837
64.4,23.2,0.019433
64.4,23.4,0.027572
64.4,23.6,0.030954
64.4,23.8,0.027496
64.4,24,0.019326
64.4,24.2,0.010748
64.4,24.4,0.004729
64.4,24.6,0.001647
64.4,24.8,0.000454
64.4,25,9.9e-05
64.4,28.2,0.00036
64.4,28.4,0.001348
64.4,28.6,0.004069
64.4,28.8,0.009975
64.4,29,0.020044
64.4,29.2,0.03333
64.4,29.4,0.046189
64.4,29.6,0.053477
64.4,29.8,0.051567
64.4,30,0.041102
64.4,30.2,0.026822
64.4,30.4,0.014199
64.4,30.6,0.006051
64.4,30.8,0.002064
64.4,31,0.000561
64.4,31.2,0.00012
64.4,33.2,9e-05
64.6,22.2,7.5e-05
64.6,22.4,0.000343
64.6,22.6,0.00124
64.6,22.8,0.003554
64.6,23,0.008058
64.6,23.2,0.014457
64.6,23.4,0.020521
64.6,23.6,0.023048
64.6,23.8,0.020483
64.6,24,0.014403
64.6,24.2,0.008014
64.6,24.4,0.003528
64.6,24.6,0.001229
64.6,24.8,0.000339
64.6,28.2,0.000229
64.6,28.4,0.000856
64.6,28.6,0.002578
64.6,28.8,0.0063
64.6,29,0.012603
64.6,29.2,0.020838
64.6,29.4,0.028692
64.6,29.6,0.033006
64.6,29.8,0.031648
64.6,30,0.025114
64.6,30.2,0.016338
64.6,30.4,0.008632
64.6,30.6,0.003675
64.6,30.8,0.001259
64.6,31,0.000347
64.6,31.2,7.8e-05
64.6,33.4,6.1e-05
64.6,33.6,0.00011
64.8,22.4,0.000209
64.8,22.6,0.000756
64.8,22.8,0.002168
64.8,23,0.004918
64.8,23.2,0.00883
64.8,23.4,0.012543
64.8,23.6,0.014099
64.8,23.8,0.012539
64.8,24,0.008824
64.8,24.2,0.004913
64.8,24.4,0.002165
64.8,24.6,0.000755
64.8,24.8,0.000208
64.8,28.2,0.00012
64.8,28.4,0.000455
64.8,28.6,0.001368
64.8,28.8,0.003335
64.8,29,0.006649
64.8,29.2,0.010944
64.8,29.4,0.014992
64.8,29.6,0.017157
64.8,29.8,0.016375
64.8,30,0.012947
64.8,30.2,0.008407
64.8,30.4,0.004444
64.8,30.6,0.001905
64.8,30.8,0.00067
64.8,31,0.000205
64.8,31.2,6.4e-05
65,22.4,0.000104
65,22.6,0.000378
65,22.8,0.001085
65,23,0.002464
65,23.2,0.004428
65,23.4,0.006297
65,23.6,0.007085
65,23.8,0.006308
65,24,0.004443
65,24.2,0.002477
65,24.4,0.001092
65,24.6,0.000381
65,24.8,0.000105
65,28.4,0.000202
65,28.6,0.000607
65,28.8,0.001479
65,29,0.002942
65,29.2,0.004827
65,29.4,0.006586
65,29.6,0.007506
65,29.8,0.007139
65,30,0.005636
65,30.2,0.003666
65,30.4,0.001967
65,30.6,0.000898
65,30.8,0.000394
65,31,0.000204
65,31.2,0.000133
65,31.4,8.3e-05
65,31.6,4.7e-05
65.2,22.6,0.000155
65.2,22.8,0.000445
65.2,23,0.001013
65.2,23.2,0.001823
65.2,23.4,0.002596
65.2,23.6,0.002925
65.2,23.8,0.002607
