Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
65,35.6,500,0,2.19459E-006,1
64.4,34.8,500,0,2.27309E-006,1
64.8,35.4,500,0,0.000002299,1
74.4,35.2,500,0,2.31419E-006,1
74.8,36.8,500,0,2.33036E-006,1
68,38.6,500,0,2.37864E-006,1
74,34.8,500,0,2.42523E-006,1
90.2,27.2,500,0,2.51778E-006,1
95,27.2,500,0,2.51778E-006,1
74.6,38,500,0,2.59786E-006,1
74.8,38.4,500,0,2.60834E-006,1
68.2,39,500,0,2.61557E-006,1
74.2,35,500,0,2.64749E-006,1
90.6,25,500,0,2.66111E-006,1
94.6,25,500,0,2.66111E-006,1
74.8,36.2,500,0,2.69641E-006,1
90.8,24.8,500,0,2.72379E-006,1
94.4,24.8,500,0,2.72379E-006,1
74.4,37.6,500,0,0.000002733,1
74.8,36.6,500,0,2.80532E-006,1
91.4,24.4,500,0,2.82724E-006,1
93.8,24.4,500,0,2.82724E-006,1
91.4,28.4,500,0,2.92456E-006,1
93.8,28.4,500,0,2.92456E-006,1
66.4,36.2,500,0,2.9422E-006,1
74.8,36.4,500,0,2.94513E-006,1
90.6,27.8,500,0,2.96751E-006,1
94.6,27.8,500,0,2.96751E-006,1
99.2,8.2,500,0,0.000002972,1
94,10,500,0,2.97233E-006,1
95.2,10,500,0,2.97233E-006,1
92,28.6,500,0,2.97772E-006,1
93.2,28.6,500,0,2.97772E-006,1
94.8,4.2,500,0,2.9816E-006,1
96,4.2,500,0,2.9816E-006,1
90.8,28,500,0,2.99706E-006,1
94.4,28,500,0,2.99706E-006,1
72.6,34.2,500,0,3.02174E-006,1
66.4,31.8,500,0,3.03154E-006,1
67.6,31.8,500,0,3.03154E-006,1
92,24.2,500,0,3.03577E-006,1
93.2,24.2,500,0,3.03577E-006,1
74.6,35.6,500,0,3.05144E-006,1
94,4.6,500,0,3.05778E-006,1
98.4,7.8,500,0,3.09327E-006,1
93.2,5.4,500,0,3.15274E-006,1
93.2,9.6,500,0,3.16694E-006,1
96,9.6,500,0,3.16694E-006,1
98,7.4,500,0,3.1811E-006,1
69,39.8,500,0,3.20642E-006,1
97.2,7.8,500,0,3.20763E-006,1
64.4,33.4,500,0,3.27265E-006,1
69.6,33.4,500,0,3.27265E-006,1
68,38.4,500,0,3.27668E-006,1
92.8,6.2,500,0,3.28772E-006,1
100.4,8.2,500,0,3.29664E-006,1
97.6,7,500,0,3.30417E-006,1
92.8,9.2,500,0,3.31455E-006,1
96.4,9.2,500,0,3.31455E-006,1
65.4,32.2,500,0,3.33075E-006,1
68.6,32.2,500,0,3.33075E-006,1
96.8,2.6,500,0,3.35793E-006,1
92.4,7.2,500,0,3.39779E-006,1
74.4,37.8,500,0,3.44109E-006,1
92.4,8.4,500,0,0.000003468,1
96.8,8.4,500,0,0.000003468,1
65.8,32,500,0,3.47539E-006,1
68.2,32,500,0,3.47539E-006,1
64.6,33,500,0,3.48268E-006,1
69.4,33,500,0,3.48268E-006,1
74.6,37.2,500,0,0.000003488,1
93.8,4.8,500,0,3.54392E-006,1
93.4,5.2,500,0,3.56361E-006,1
74.8,39.6,500,0,3.57275E-006,1
65.8,36,500,0,3.59071E-006,1
98.2,7.6,500,0,3.59533E-006,1
64.4,34.6,500,0,3.61038E-006,1
97,8,500,0,3.61857E-006,1
65.4,35.8,500,0,0.000003627,1
68.4,39.2,500,0,3.6634E-006,1
66.6,36.2,500,0,3.69952E-006,1
93,9.4,500,0,3.71172E-006,1
96.2,9.4,500,0,3.71172E-006,1
73.2,34.4,500,0,3.72208E-006,1
90.2,25.8,500,0,3.7382E-006,1
95,25.8,500,0,3.7382E-006,1
74.8,38.6,500,0,3.75406E-006,1
72.4,34.2,500,0,3.79527E-006,1
73.6,34.6,500,0,3.84372E-006,1
66.6,31.8,500,0,3.85859E-006,1
67.4,31.8,500,0,3.85859E-006,1
92.2,28.6,500,0,3.89777E-006,1
93,28.6,500,0,3.89777E-006,1
68,38.2,500,0,3.94147E-006,1
64.6,35,500,0,0.00000399,1
68.8,39.6,500,0,3.9959E-006,1
