Longitude,Latitude,nu4_5,Observed Count,Smoothed Rate
100.2,3.4,0.0346,0,0.068073
100.2,3.6,0.0516,0,0.08939
100.2,3.8,0.0653,1,0.108571
100.2,4.0,0.0703,0,0.112633
100.2,4.2,0.0643,1,0.097449
100.4,3.6,0.0414,0,0.078932
100.4,3.8,0.0534,0,0.101505
100.4,4.0,0.0583,0,0.108541
100.6,3.6,0.0322,0,0.06517
100.6,3.8,0.0429,0,0.086619
60.0,26.4,0.0001,0,0.000108
60.0,26.6,0.0005,0,0.000516
60.0,26.8,0.0019,0,0.001857
60.0,27.0,0.0053,0,0.005309
60.0,27.2,0.0121,0,0.012012
60.2,26.4,0.0001,0,9.8e-05
60.2,26.6,0.0004,0,0.000454
60.2,26.8,0.0013,0,0.001644
60.2,27.0,0.0037,0,0.004708
60.2,27.2,0.0085,0,0.010667
60.4,26.4,0.0001,0,7.4e-05
60.4,26.6,0.0002,0,0.00034
60.4,26.8,0.0008,0,0.001236
60.4,27.0,0.0024,0,0.003541
60.4,27.2,0.0054,0,0.008028
60.4,27.4,0.0098,0,0.014399
60.6,26.6,0.0001,0,0.000214
60.6,26.8,0.0005,0,0.000776
60.6,27.0,0.0014,0,0.002224
60.6,27.2,0.0031,0,0.005058
60.6,27.4,0.0056,0,0.00908
60.6,27.6,0.008,0,0.012897
60.8,26.6,0.0001,0,0.000112
60.8,26.8,0.0002,0,0.000411
60.8,27.0,0.0007,0,0.00118
60.8,27.2,0.0016,0,0.002679
60.8,27.4,0.0028,0,0.004816
60.8,27.6,0.004,0,0.006849
60.8,27.8,0.0045,0,0.007707
61.0,26.8,0.0001,0,0.000196
61.0,27.0,0.0003,0,0.000564
61.0,27.2,0.0007,0,0.001282
61.0,27.4,0.0013,0,0.002309
61.0,27.6,0.0018,0,0.00329
61.0,27.8,0.002,0,0.003709
61.2,26.8,0.0001,0,0.000128
61.2,27.0,0.0002,0,0.000368
61.2,27.2,0.0004,0,0.000839
61.2,27.4,0.0007,0,0.001513
61.2,27.6,0.001,0,0.002159
61.2,27.8,0.0011,0,0.002437
61.4,26.8,0.0001,0,0.000196
61.4,27.0,0.0003,0,0.000564
61.4,27.2,0.0006,0,0.001282
61.4,27.4,0.001,0,0.002309
61.4,27.6,0.0013,0,0.00329
61.4,27.8,0.0013,0,0.003709
61.6,26.6,0.0001,0,0.000112
61.6,26.8,0.0003,0,0.000411
61.6,27.0,0.0007,0,0.00118
61.6,27.2,0.0014,0,0.002679
61.6,27.4,0.0023,0,0.004816
61.6,27.6,0.0029,0,0.006849
61.6,27.8,0.0029,0,0.007707
61.6,28.0,0.0023,0,0.006862
61.8,26.6,0.0002,0,0.000214
61.8,26.8,0.0006,0,0.000776
61.8,27.0,0.0015,0,0.002224
61.8,27.2,0.0029,0,0.005052
61.8,27.4,0.0047,0,0.009068
61.8,27.6,0.0059,0,0.01288
61.8,27.8,0.0059,0,0.014475
61.8,28.0,0.0047,0,0.012872
62.0,26.4,0.0001,0,7.4e-05
62.0,26.6,0.0003,0,0.00034
62.0,26.8,0.001,0,0.001231
62.0,27.0,0.0025,0,0.003527
62.0,27.2,0.0051,0,0.007996
62.0,27.4,0.0081,0,0.014341
62.0,27.6,0.0103,0,0.020352
62.0,27.8,0.0103,0,0.022853
62.0,28.0,0.0081,0,0.020304
62.0,28.2,0.0051,0,0.014274
62.2,26.4,0.0001,0,9.8e-05
62.2,26.6,0.0004,0,0.000449
62.2,26.8,0.0014,0,0.001625
62.2,27.0,0.0037,0,0.004652
62.2,27.2,0.0074,0,0.01054
62.2,27.4,0.0117,0,0.018896
62.2,27.6,0.0148,0,0.026802
62.2,27.8,0.0148,0,0.03008
62.2,28.0,0.0117,0,0.026713
62.2,28.2,0.0073,0,0.01877
62.2,28.4,0.0036,0,0.010435
62.2,29.8,0.0001,0,0.000156
62.2,30.0,0.0001,0,0.000135
62.4,26.4,0.0001,0,0.000108
62.4,26.6,0.0005,0,0.000493
62.4,26.8,0.0017,0,0.001782
62.4,27.0,0.0044,0,0.005102
62.4,27.2,0.0089,0,0.011558
62.4,27.4,0.0141,0,0.020715
62.4,27.6,0.0178,0,0.029378
62.4,27.8,0.0178,1,0.032966
62.4,28.0,0.014,0,0.02927
62.4,28.2,0.0088,0,0.020563
62.4,28.4,0.0043,0,0.011436
62.4,28.6,0.0017,0,0.00505
62.4,28.8,0.0005,0,0.001815
62.4,29.0,0.0002,0,0.000631
62.4,29.2,0.0001,0,0.000388
62.4,29.4,0.0002,0,0.000465
62.4,29.6,0.0002,0,0.00058
62.4,29.8,0.0003,0,0.000615
62.4,30.0,0.0003,0,0.000528
62.4,30.2,0.0002,0,0.000364
62.4,30.4,0.0001,0,0.0002
62.4,30.6,0.0001,0,8.6e-05
62.6,26.4,0.0001,0,9.8e-05
62.6,26.6,0.0005,0,0.000449
62.6,26.8,0.0017,0,0.001625
62.6,27.0,0.0044,0,0.004652
62.6,27.2,0.0089,0,0.01054
62.6,27.4,0.0141,0,0.018896
62.6,27.6,0.0178,0,0.026802
62.6,27.8,0.0178,0,0.03008
62.6,28.0,0.014,0,0.026713
62.6,28.2,0.0088,0,0.018776
62.6,28.4,0.0043,0,0.010461
62.6,28.6,0.0017,0,0.004679
62.6,28.8,0.0006,0,0.001834
62.6,29.0,0.0003,0,0.000967
62.6,29.2,0.0003,0,0.001078
62.6,29.4,0.0006,0,0.00154
62.6,29.6,0.0008,0,0.001953
62.6,29.8,0.0009,0,0.002049
62.6,30.0,0.0009,0,0.001743
62.6,30.2,0.0007,0,0.001194
62.6,30.4,0.0004,0,0.000654
62.6,30.6,0.0002,0,0.000286
62.6,30.8,0.0001,0,9.8e-05
62.8,23.4,0.0001,0,0.000244
62.8,23.6,0.0001,0,0.000276
62.8,23.8,0.0001,0,0.000247
62.8,26.4,0.0001,0,7.4e-05
62.8,26.6,0.0004,0,0.00034
62.8,26.8,0.0014,0,0.001231
62.8,27.0,0.0037,0,0.003527
62.8,27.2,0.0074,0,0.007996
62.8,27.4,0.0117,0,0.014341
62.8,27.6,0.0148,0,0.020352
62.8,27.8,0.0148,0,0.022853
62.8,28.0,0.0117,0,0.020308
62.8,28.2,0.0073,0,0.014293
62.8,28.4,0.0036,0,0.008025
62.8,28.6,0.0015,0,0.003766
62.8,28.8,0.0007,0,0.001933
62.8,29.0,0.0006,0,0.001906
62.8,29.2,0.001,0,0.002948
62.8,29.4,0.0017,0,0.004402
62.8,29.6,0.0023,0,0.00555
62.8,29.8,0.0028,0,0.00576
62.8,30.0,0.0026,0,0.00486
62.8,30.2,0.002,0,0.003308
62.8,30.4,0.0013,0,0.001804
62.8,30.6,0.0006,0,0.000786
62.8,30.8,0.0002,0,0.000272
62.8,31.0,0.0001,0,7.4e-05
63.0,23.0,0.0001,0,0.000342
63.0,23.2,0.0002,0,0.000616
63.0,23.4,0.0003,0,0.000879
63.0,23.6,0.0003,0,0.000992
63.0,23.8,0.0003,0,0.000886
63.0,24.0,0.0002,0,0.000626
63.0,24.2,0.0001,0,0.00035
63.0,26.4,0.0001,0,4.7e-05
63.0,26.6,0.0003,0,0.000214
63.0,26.8,0.001,0,0.000776
63.0,27.0,0.0025,0,0.002224
63.0,27.2,0.0051,0,0.005045
63.0,27.4,0.0081,0,0.009056
63.0,27.6,0.0103,0,0.012862
63.0,27.8,0.0103,0,0.014455
63.0,28.0,0.0081,0,0.012865
63.0,28.2,0.0051,0,0.0091
63.0,28.4,0.0026,0,0.005258
63.0,28.6,0.0012,0,0.002922
63.0,28.8,0.0009,0,0.002602
63.0,29.0,0.0014,0,0.004159
63.0,29.2,0.0026,0,0.007152
63.0,29.4,0.0042,0,0.010686
63.0,29.6,0.0059,0,0.013322
63.0,29.8,0.0068,0,0.013677
63.0,30.0,0.0065,0,0.011445
63.0,30.2,0.005,0,0.007741
63.0,30.4,0.0031,0,0.004203
63.0,30.6,0.0015,0,0.001823
63.0,30.8,0.0006,0,0.00063
63.0,31.0,0.0002,0,0.000171
63.2,22.6,0.0001,0,0.000155
63.2,22.8,0.0002,0,0.000445
63.2,23.0,0.0003,0,0.001013
63.2,23.2,0.0006,0,0.001823
63.2,23.4,0.0009,0,0.002596
63.2,23.6,0.001,0,0.002925
63.2,23.8,0.0009,0,0.002607
63.2,24.0,0.0006,0,0.001839
63.2,24.2,0.0003,0,0.001027
63.2,24.4,0.0002,0,0.000453
63.2,24.6,0.0001,0,0.000158
63.2,26.6,0.0002,0,0.000112
63.2,26.8,0.0006,0,0.000406
63.2,27.0,0.0015,0,0.001166
63.2,27.2,0.0029,0,0.002648
63.2,27.4,0.0047,0,0.004758
63.2,27.6,0.0059,0,0.006766
63.2,27.8,0.0059,0,0.007617
63.2,28.0,0.0047,0,0.006803
63.2,28.2,0.003,0,0.004902
63.2,28.4,0.0016,0,0.003152
63.2,28.6,0.0011,0,0.002706
63.2,28.8,0.0016,0,0.004341
63.2,29.0,0.0031,0,0.00847
63.2,29.2,0.0057,0,0.01484
63.2,29.4,0.0091,0,0.021937
63.2,29.6,0.0123,0,0.027006
63.2,29.8,0.0141,0,0.027432
63.2,30.0,0.0132,0,0.02277
63.2,30.2,0.0101,0,0.015307
63.2,30.4,0.0062,0,0.008274
63.2,30.6,0.003,0,0.003577
63.2,30.8,0.0012,0,0.001232
63.2,31.0,0.0004,0,0.000337
63.2,31.2,0.0001,0,7.3e-05
63.4,22.6,0.0001,0,0.000378
63.4,22.8,0.0004,0,0.001085
63.4,23.0,0.0009,0,0.002464
63.4,23.2,0.0017,0,0.004428
63.4,23.4,0.0024,0,0.006297
63.4,23.6,0.0027,0,0.007085
63.4,23.8,0.0024,0,0.006308
63.4,24.0,0.0017,0,0.004443
63.4,24.2,0.0009,0,0.002477
63.4,24.4,0.0004,0,0.001092
63.4,24.6,0.0001,0,0.000381
63.4,26.6,0.0001,0,4.9e-05
63.4,26.8,0.0003,0,0.000177
63.4,27.0,0.0007,0,0.000508
63.4,27.2,0.0014,0,0.001156
63.4,27.4,0.0022,0,0.00208
63.4,27.6,0.0028,0,0.002962
63.4,27.8,0.0028,0,0.003346
63.4,28.0,0.0023,0,0.003024
63.4,28.2,0.0015,0,0.002337
63.4,28.4,0.0011,0,0.002077
63.4,28.6,0.0014,0,0.003319
63.4,28.8,0.0029,0,0.007286
63.4,29.0,0.0059,0,0.014955
63.4,29.2,0.0106,0,0.026059
63.4,29.4,0.0164,0,0.038026
63.4,29.6,0.0218,0,0.046237
63.4,29.8,0.0245,0,0.046486
