longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
60.0,26.0,5.5,95,1e-06,9.5e-05,935,subduction intraslab Himalayas,-0.115,1.07,7.2,26N 60E 70-180 km depth,26N60Ez935
60.0,26.2,5.5,95,3e-06,0.000285,935,subduction intraslab Himalayas,0.36212125472,1.07,7.2,26.2N 60E 70-180 km depth,26p2N60Ez935
60.0,26.4,5.5,95,8e-06,0.00076,935,subduction intraslab Himalayas,0.788089986992,1.07,7.2,26.4N 60E 70-180 km depth,26p4N60Ez935
60.0,26.6,5.5,95,1.8e-05,0.00171,935,subduction intraslab Himalayas,1.1402725051,1.07,7.2,26.6N 60E 70-180 km depth,26p6N60Ez935
60.0,26.8,5.5,95,3.8e-05,0.00361,935,subduction intraslab Himalayas,1.46478359662,1.07,7.2,26.8N 60E 70-180 km depth,26p8N60Ez935
60.0,27.0,5.5,95,6.9e-05,0.006555,935,subduction intraslab Himalayas,1.72384909074,1.07,7.2,27N 60E 70-180 km depth,27N60Ez935
60.0,27.2,5.5,95,0.000111,0.010545,153,subduction intraslab Himalayas,2.09532297879,1.1,7.9,27.2N 60E 70-180 km depth,27p2N60Ez153
60.2,26.0,5.5,95,2e-06,0.00019,935,subduction intraslab Himalayas,0.186029995664,1.07,7.2,26N 60.2E 70-180 km depth,26N60p2Ez935
60.2,26.2,5.5,95,4e-06,0.00038,935,subduction intraslab Himalayas,0.487059991328,1.07,7.2,26.2N 60.2E 70-180 km depth,26p2N60p2Ez935
60.2,26.4,5.5,95,9e-06,0.000855,935,subduction intraslab Himalayas,0.839242509439,1.07,7.2,26.4N 60.2E 70-180 km depth,26p4N60p2Ez935
60.2,26.6,5.5,95,1.9e-05,0.001805,935,subduction intraslab Himalayas,1.16375360095,1.07,7.2,26.6N 60.2E 70-180 km depth,26p6N60p2Ez935
60.2,26.8,5.5,95,3.8e-05,0.00361,935,subduction intraslab Himalayas,1.46478359662,1.07,7.2,26.8N 60.2E 70-180 km depth,26p8N60p2Ez935
60.2,27.0,5.5,95,6.8e-05,0.00646,935,subduction intraslab Himalayas,1.71750891271,1.07,7.2,27N 60.2E 70-180 km depth,27N60p2Ez935
60.2,27.2,5.5,95,0.000107,0.010165,935,subduction intraslab Himalayas,1.91438377769,1.07,7.2,27.2N 60.2E 70-180 km depth,27p2N60p2Ez935
60.4,25.8,5.5,95,2e-06,0.00019,935,subduction intraslab Himalayas,0.186029995664,1.07,7.2,25.8N 60.4E 70-180 km depth,25p8N60p4Ez935
60.4,26.0,5.5,95,4e-06,0.00038,935,subduction intraslab Himalayas,0.487059991328,1.07,7.2,26N 60.4E 70-180 km depth,26N60p4Ez935
60.4,26.2,5.5,95,6e-06,0.00057,935,subduction intraslab Himalayas,0.663151250384,1.07,7.2,26.2N 60.4E 70-180 km depth,26p2N60p4Ez935
60.4,26.4,5.5,95,1.2e-05,0.00114,935,subduction intraslab Himalayas,0.964181246048,1.07,7.2,26.4N 60.4E 70-180 km depth,26p4N60p4Ez935
60.4,26.6,5.5,95,2.1e-05,0.001995,935,subduction intraslab Himalayas,1.20721929473,1.07,7.2,26.6N 60.4E 70-180 km depth,26p6N60p4Ez935
60.4,26.8,5.5,95,3.8e-05,0.00361,935,subduction intraslab Himalayas,1.46478359662,1.07,7.2,26.8N 60.4E 70-180 km depth,26p8N60p4Ez935
60.4,27.0,5.5,95,6.3e-05,0.005985,935,subduction intraslab Himalayas,1.68434054945,1.07,7.2,27N 60.4E 70-180 km depth,27N60p4Ez935
60.4,27.2,5.5,95,9.6e-05,0.00912,935,subduction intraslab Himalayas,1.86727123304,1.07,7.2,27.2N 60.4E 70-180 km depth,27p2N60p4Ez935
60.4,27.4,5.5,95,0.00013,0.01235,935,subduction intraslab Himalayas,1.99894335231,1.07,7.2,27.4N 60.4E 70-180 km depth,27p4N60p4Ez935
60.6,25.6,5.5,95,3e-06,0.000285,935,subduction intraslab Himalayas,0.36212125472,1.07,7.2,25.6N 60.6E 70-180 km depth,25p6N60p6Ez935
60.6,25.8,5.5,95,5e-06,0.000475,935,subduction intraslab Himalayas,0.583970004336,1.07,7.2,25.8N 60.6E 70-180 km depth,25p8N60p6Ez935
60.6,26.0,5.5,95,8e-06,0.00076,935,subduction intraslab Himalayas,0.788089986992,1.07,7.2,26N 60.6E 70-180 km depth,26N60p6Ez935
60.6,26.2,5.5,95,1.2e-05,0.00114,935,subduction intraslab Himalayas,0.964181246048,1.07,7.2,26.2N 60.6E 70-180 km depth,26p2N60p6Ez935
60.6,26.4,5.5,95,1.8e-05,0.00171,935,subduction intraslab Himalayas,1.1402725051,1.07,7.2,26.4N 60.6E 70-180 km depth,26p4N60p6Ez935
60.6,26.6,5.5,95,2.8e-05,0.00266,935,subduction intraslab Himalayas,1.33215803134,1.07,7.2,26.6N 60.6E 70-180 km depth,26p6N60p6Ez935
60.6,26.8,5.5,95,4.1e-05,0.003895,935,subduction intraslab Himalayas,1.49778385672,1.07,7.2,26.8N 60.6E 70-180 km depth,26p8N60p6Ez935
60.6,27.0,5.5,95,6e-05,0.0057,935,subduction intraslab Himalayas,1.66315125038,1.07,7.2,27N 60.6E 70-180 km depth,27N60p6Ez935
60.6,27.2,5.5,95,8.4e-05,0.00798,935,subduction intraslab Himalayas,1.80927928606,1.07,7.2,27.2N 60.6E 70-180 km depth,27p2N60p6Ez935
60.6,27.4,5.5,95,0.000108,0.01026,935,subduction intraslab Himalayas,1.91842375549,1.07,7.2,27.4N 60.6E 70-180 km depth,27p4N60p6Ez935
60.6,27.6,5.5,95,0.000126,0.01197,153,subduction intraslab Himalayas,2.15037054512,1.1,7.9,27.6N 60.6E 70-180 km depth,27p6N60p6Ez153
60.8,25.4,5.5,95,3e-06,0.000285,935,subduction intraslab Himalayas,0.36212125472,1.07,7.2,25.4N 60.8E 70-180 km depth,25p4N60p8Ez935
60.8,25.6,5.5,95,6e-06,0.00057,935,subduction intraslab Himalayas,0.663151250384,1.07,7.2,25.6N 60.8E 70-180 km depth,25p6N60p8Ez935
60.8,25.8,5.5,95,1e-05,0.00095,935,subduction intraslab Himalayas,0.885,1.07,7.2,25.8N 60.8E 70-180 km depth,25p8N60p8Ez935
60.8,26.0,5.5,95,1.6e-05,0.00152,935,subduction intraslab Himalayas,1.08911998266,1.07,7.2,26N 60.8E 70-180 km depth,26N60p8Ez935
60.8,26.2,5.5,95,2.4e-05,0.00228,935,subduction intraslab Himalayas,1.26521124171,1.07,7.2,26.2N 60.8E 70-180 km depth,26p2N60p8Ez935
60.8,26.4,5.5,95,3.3e-05,0.003135,935,subduction intraslab Himalayas,1.40351393988,1.07,7.2,26.4N 60.8E 70-180 km depth,26p4N60p8Ez935
