,zoneid,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,ratio 4.5,ratio 5.5
0,1,1.0,2.9854,0.2661,3.0183,0.0797,135.0,135.0,1.01,0.3
1,2,1.0,2.851,0.335,2.4047,0.1219,122.0,122.0,0.84,0.36
2,3,1.0,1.9275,0.3273,1.3098,0.1012,78.0,78.0,0.68,0.31
3,4,1.0,0.8511,0.0891,0.9098,0.0183,394.0,293.0,1.07,0.21
4,5,1.0,1.5668,0.1928,1.6744,0.1001,124.0,124.0,1.07,0.52
5,6,1.0,1.6032,0.1567,1.6043,0.073,171.0,171.0,1.0,0.47
6,7,1.0,1.0715,0.0891,1.1805,0.037,250.0,245.0,1.1,0.42
7,8,1.0,0.8913,0.1349,1.1395,0.1204,435.0,435.0,1.28,0.89
8,9,1.0,1.2445,0.1679,1.3793,0.0938,126.0,126.0,1.11,0.56
9,12,1.0,1.6218,0.309,1.071,0.0502,267.0,267.0,0.66,0.16
10,13,1.0,0.7328,0.1303,0.8877,0.0445,225.0,225.0,1.21,0.34
11,14,1.0,0.7586,0.1445,0.6903,0.0478,480.0,487.0,0.91,0.33
12,15,1.0,2.9512,0.309,1.6677,0.1652,445.0,445.0,0.57,0.53
13,16,1.0,2.5119,0.3311,2.3268,0.1273,303.0,303.0,0.93,0.38
14,17,1.0,0.3631,0.055,0.4063,0.0119,314.0,258.0,1.12,0.22
15,21,1.0,1.1092,0.1567,2.042,0.1091,310.0,310.0,1.84,0.7
16,22,1.0,1.135,0.2113,0.8727,0.053,226.0,226.0,0.77,0.25
17,57,1.0,5.188,0.2317,2.1405,0.0679,232.0,232.0,0.41,0.29
18,58,1.0,4.7315,0.5309,2.4505,0.2654,521.0,512.0,0.52,0.5
19,63,1.0,0.5433,0.061,0.5364,0.026,289.0,273.0,0.99,0.43
20,66,1.0,0.3802,0.0525,0.1068,0.003,274.0,80.0,0.28,0.06
21,71,1.0,0.0002,0.0,0.0877,0.0029,776.0,111.0,438.5,inf
22,74,1.0,0.0501,0.0069,0.1008,0.0202,317.0,283.0,2.01,2.93
23,75,1.0,0.0359,0.0023,0.0148,0.0055,81.0,98.0,0.41,2.39
24,81,1.0,0.0603,0.0083,0.0474,0.0011,231.0,47.0,0.79,0.13
25,82,1.0,0.0394,0.0038,0.0433,0.0,178.0,0.0,1.1,0.0
26,86,1.0,0.0002,0.0,0.0444,0.0093,201.0,203.0,222.0,inf
27,87,2.0,5.6234,0.389,7.1786,0.2136,311.0,311.0,1.28,0.55
28,88,2.0,3.8019,0.2291,3.4929,0.1112,151.0,151.0,0.92,0.49
