zoneid,layerid,a,b,stdb,mmax,stdmmax,strike,dip,rake,geometry,aspect ratio,msr,tectonic zone,region,tectonic subregion,concerns,zmin,zmax,mechanism,new style,strike2,dip2,rake2,mechanism2,mmin,centroid,source_name,id
1,1,5.2,1.05,0.07,8.0,0.4,202.0,73.0,30.0,"POLYGON ((67.81 37.55, 68.30 38.82, 72.95 39.99, 73.00 39.06, 70.69 38.27, 67.81 37.55))",2,StrasserInterface,Subduction interface,Pamirs,subduction interface,,0.0,25.0,dextral,strike-slip,102.4,61.4,160.6,dextral,4.5,POINT (70.44 38.79),zone 1,z1
2,1,4.64,0.93,0.09,8.0,0.4,306.0,31.0,142.0,"POLYGON ((72.95 39.99, 76.53 39.99, 76.10 38.89, 75.85 37.89, 74.94 38.35, 73.00 39.06, 72.95 39.99))",2,StrasserInterface,Subduction interface,Pamirs,subduction interface,,0.0,25.0,reverse,reverse,69.8,71.5,64.7,reverse,4.5,POINT (74.79 39.23),zone 2,z2
3,1,3.75,0.77,0.05,8.0,0.4,59.0,89.0,33.0,"POLYGON ((76.10 38.89, 76.53 39.99, 79.11 40.04, 78.84 38.84, 76.10 38.89))",2,WC1994,Active shallow crust,Qaidam,active shallow crust strike-slip reverse,,0.0,25.0,reverse,reverse,328.4,57.0,178.8,dextral,4.5,POINT (77.66 39.43),zone 3,z3
4,1,4.34,0.98,0.08,7.4,0.4,309.0,56.0,177.0,"POLYGON ((75.85 37.89, 76.10 38.89, 78.84 38.84, 80.97 38.03, 84.15 38.03, 85.07 36.26, 81.13 36.14, 77.33 37.14, 75.85 37.89))",2,StrasserInterface,Subduction interface,Kunlun Shan,subduction interface,,0.0,25.0,dextral,reverse,40.7,87.5,34.0,reverse,4.5,POINT (80.41 37.46),zone 4,z4
5,1,4.29,0.91,0.08,7.8,0.4,274.0,55.0,148.0,"POLYGON ((67.29 35.43, 67.81 37.55, 70.69 38.27, 69.14 35.78, 67.29 35.43))",2,StrasserInterface,Subduction interface,Pamirs,subduction interface,,0.0,25.0,reverse,reverse,23.7,64.3,39.5,reverse,4.5,POINT (68.78 36.84),zone 5,z5
6,1,4.75,1.01,0.09,8.2,0.4,189.0,42.0,-53.0,"POLYGON ((70.70 38.27, 73.00 39.06, 74.94 38.35, 75.29 36.96, 72.93 36.59, 70.70 38.27))",2,WC1994,Active shallow crust,Pamirs,active shallow crust normal,,0.0,25.0,normal,normal,323.6,57.7,-118.5,normal,4.5,POINT (73.24 37.82),zone 6,z6
7,1,4.89,1.08,0.12,7.6,0.4,203.0,52.0,-74.0,"POLYGON ((74.94 38.35, 75.85 37.89, 77.33 37.14, 81.13 36.14, 85.07 36.26, 85.57 35.29, 80.22 35.27, 75.29 36.96, 74.94 38.35))",2,WC1994,Active shallow crust,Kunlun,active shallow crust normal,,0.0,25.0,normal,normal,358.0,40.8,-109.4,normal,4.5,POINT (80.08 36.23),zone 7,z7
8,1,3.64,0.82,0.08,8.3,0.3,271.0,34.0,113.0,"POLYGON ((65.49 32.63, 67.29 35.43, 69.14 35.78, 70.62 35.64, 72.93 36.59, 70.76 33.98, 69.42 32.81, 66.99 30.69, 66.98 30.69, 65.49 32.63))",2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,,0.0,25.0,reverse,reverse,63.9,59.0,75.2,reverse,4.5,POINT (68.52 33.81),zone 8,z8
9,1,4.01,0.87,0.07,8.0,0.4,36.0,16.0,171.0,"POLYGON ((69.14 35.78, 70.69 38.27, 72.93 36.59, 70.63 35.64, 69.14 35.78))",2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,,0.0,25.0,dextral,reverse,134.7,87.5,74.2,reverse,4.5,POINT (70.92 36.73),zone 9,z9
12,1,3.45,0.72,0.07,8.6,0.4,114.0,57.0,66.0,"POLYGON ((70.76 33.98, 72.93 36.59, 75.34 35.63, 74.64 34.65, 73.96 32.07, 70.76 33.98))",2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,,0.0,25.0,reverse,reverse,333.3,40.0,122.1,reverse,4.5,POINT (73.15 34.47),zone 12,z12
13,1,3.24,0.75,0.07,8.8,0.4,138.0,78.0,94.0,"POLYGON ((73.96 32.07, 74.64 34.65, 77.54 33.52, 77.13 32.17, 76.60 30.42, 75.37 31.19, 73.96 32.07))",2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,,0.0,25.0,reverse,reverse,299.4,12.6,71.8,reverse,4.5,POINT (75.73 32.65),zone 13,z13
14,1,3.12,0.72,0.09,8.6,0.4,228.0,69.0,-30.0,"POLYGON ((60.00 27.11, 64.52 27.59, 66.66 25.14, 60.06 22.83, 60.00 27.11))",2,StrasserInterface,Subduction interface,Makran,subduction interface,,0.0,25.0,sinistral,strike-slip,329.7,62.2,-156.1,sinistral,4.5,POINT (62.68 25.50),zone 14,z14
15,1,4.88,0.98,0.1,8.3,0.4,204.0,71.0,24.0,"POLYGON ((64.52 27.59, 65.49 32.63, 66.98 30.69, 68.76 28.38, 67.88 25.57, 66.66 25.14, 64.52 27.59))",2,StrasserInterface,Subduction interface,Kirthar,subduction interface,,0.0,25.0,sinistral,strike-slip,105.8,67.4,159.3,dextral,4.5,POINT (66.52 28.42),zone 15,z15
16,1,4.36,0.88,0.08,8.3,0.4,298.0,18.0,126.0,"POLYGON ((66.98 30.69, 66.99 30.69, 69.42 32.81, 71.81 29.99, 69.16 27.86, 68.76 28.38, 66.98 30.69))",2,StrasserInterface,Subduction interface,Sulaiman,subduction interface,,0.0,25.0,reverse,reverse,80.6,75.5,79.2,reverse,4.5,POINT (69.36 30.33),zone 16,z16
17,1,3.25,0.82,0.11,7.0,0.4,219.0,13.0,59.0,"POLYGON ((69.42 32.81, 70.76 33.98, 73.96 32.07, 75.37 31.19, 73.95 29.85, 71.81 29.99, 69.42 32.81))",2,StrasserInterface,Subduction interface,Pamirs,subduction interface,could be stable,0.0,25.0,reverse,reverse,70.7,78.9,96.8,reverse,4.5,POINT (72.26 31.70),zone 17,z17
21,1,3.87,0.85,0.09,8.6,0.2,291.0,14.0,90.0,"POLYGON ((76.60 30.42, 77.13 32.17, 79.13 31.19, 81.23 30.27, 82.95 29.43, 82.21 27.47, 82.16 27.48, 79.80 28.73, 76.96 30.23, 76.60 30.42))",2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,,0.0,25.0,reverse,reverse,111.0,76.0,90.0,reverse,4.5,POINT (79.80 29.83),zone 21,z21
