zoneid,dip,rake,mechanism,aspect ratio,msr,tectonic zone,region,tectonic subregion,concerns
6,42,-53,normal,2,WC1994,Active shallow crust,Pamirs,active shallow crust normal,
7,52,-74,normal,2,WC1994,Active shallow crust,Kunlun,active shallow crust normal,
57,48,-77,normal,2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust normal,
902,48,-61,normal,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,
905,52,-114,normal,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,
907,51,-63,normal,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,
909,33,-82,normal,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,
903,64,-45,normal,2,WC1994,Active shallow crust,Murray Ridge,active shallow crust normal,oceanic not continental
915,52,-54,normal,2,WC1994,Active shallow crust,Bay of Bengal,active shallow crust normal,oceanic not continental
906,84,-18,strike-slip,2,WC1994,Active shallow crust,Himalayas - Main Frontal Thrust,active shallow crust strike-slip reverse,main thrust fault runs through
3,89,33,strike-slip,2,WC1994,Active shallow crust,Qaidam,active shallow crust strike-slip reverse,
8,34,113,reverse,2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,
9,16,171,strike-slip,2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,
12,57,66,reverse,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,
58,75,180,strike-slip,2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust strike-slip reverse,
901,80,18,strike-slip,2,WC1994,Active shallow crust,"Chang Chenmo, Aksai Chin",active shallow crust strike-slip reverse,
904,83,-160,strike-slip,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,
908,58,150,strike-slip,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,
913,88,-175,strike-slip,2,WC1994,Active shallow crust,Bangladesh,active shallow crust strike-slip reverse,
914,46,124,reverse,2,WC1994,Active shallow crust,Indo-Myanmar,active shallow crust strike-slip reverse,
119,40,90,reverse,2,WC1994,Intraplate margin,Shillong plateau,intraplate margin lower,
912,40,90,reverse,2,WC1994,Intraplate margin,Shillong plateau,intraplate margin upper,
71,-1,-1,all,2,WC1994,Oceanic crust,Bay of Bengal & Arabian Sea,no seismicity,
86,-1,-1,all,2,WC1994,Stable continental,"Sri Lanka, Laccadive Sea",no seismicity,
9031,-1,-1,all,2,WC1994,Oceanic crust,Murray Ridge,no seismicity,
9081,-1,-1,all,2,WC1994,Subduction interface,Himalayas,no seismicity,
9131,-1,-1,all,2,WC1994,Subduction interface,Indo-Myanmar,no seismicity,
9151,-1,-1,all,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,
9171,-1,-1,all,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,
