"zoneid","aspect ratio","msr","tectonic zone","region","tectonic subregion","focal plane","faulting style","tectonic region type","layerid","note"
1,2,"WC1994","Subduction interface","Pamirs","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
2,2,"WC1994","Subduction interface","Pamirs","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
3,2,"WC1994","Active shallow crust","Qaidam","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
4,2,"WC1994","Subduction interface","Kunlun Shan","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
5,2,"WC1994","Subduction interface","Pamirs","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
6,2,"WC1994","Active shallow crust","Pamirs","active shallow crust normal","primary","normal","active shallow crust",1,
7,2,"WC1994","Active shallow crust","Kunlun","active shallow crust normal","primary","normal","active shallow crust",1,
8,2,"WC1994","Active shallow crust","Hindukush","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
9,2,"WC1994","Active shallow crust","Hindukush","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
12,2,"WC1994","Active shallow crust","Himalayas","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,"???"
13,2,"StrasserInterface","Subduction interface","Himalayas - Main Frontal Thrust","subduction interface","secondary","reverse","active shallow crust",1,"CHECK"
14,2,"StrasserInterface","Subduction interface","Makran","subduction interface","primary","reverse","subduction interface",1,
15,2,"WC1994","Subduction interface","Kirthar","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
16,2,"WC1994","Subduction interface","Sulaiman","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
17,2,"WC1994","Subduction interface","Pamirs","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
21,2,"StrasserInterface","Subduction interface","Himalayas - Main Frontal Thrust","subduction interface","primary","reverse","subduction interface",1,
22,2,"StrasserInterface","Subduction interface","Himalayas - Main Frontal Thrust","subduction interface","primary","reverse","subduction interface",1,
57,2,"WC1994","Active shallow crust","Andaman-Sumatra","active shallow crust normal","primary","normal","active shallow crust",1,
58,2,"WC1994","Active shallow crust","Andaman-Sumatra","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
63,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",1,
66,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",1,
71,2,"WC1994","Oceanic crust","Bay of Bengal & Arabian Sea","no seismicity","primary","strike-slip","no seismicity",1,
74,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",1,
