siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5,
1,80.4,6,0.001706,0.010552,0.021534,0.037272,0.04913,0.067383,0.072487,0.078392,0.085355,0.09377,0.104279,0.118014,0.137251,0.167548,0.228814,0.251239,0.282186,0.303017
2,80.6,6,0.000173,0.006747,0.017632,0.033077,0.044606,0.062215,0.067115,0.072773,0.079432,0.087463,0.097468,0.110514,0.12874,0.157363,0.215052,0.236127,0.265177,0.284708
3,80.2,6.2,0.00729,0.016706,0.028557,0.045816,0.058986,0.079454,0.085209,0.091881,0.099764,0.109312,0.12126,0.136908,0.158868,0.193507,0.263678,0.289418,0.325003,0.348997
4,80.4,6.2,0.004134,0.0132,0.024524,0.040876,0.053273,0.072451,0.077829,0.084059,0.091414,0.100313,0.111442,0.126008,0.146442,0.178678,0.244011,0.267977,0.301103,0.323436
5,80.6,6.2,0.000628,0.009587,0.020682,0.036527,0.048426,0.066694,0.071793,0.077689,0.084636,0.093025,0.103494,0.117167,0.136299,0.166404,0.227228,0.249483,0.28019,0.300858
6,80.8,6.2,0.000173,0.005643,0.016488,0.031859,0.043325,0.060831,0.065701,0.071325,0.077944,0.085928,0.095877,0.108852,0.126984,0.155476,0.212966,0.233989,0.262983,0.282488
7,81,6.2,0.000173,0.005012,0.011151,0.024579,0.035799,0.052819,0.057537,0.062977,0.069371,0.077075,0.086663,0.099159,0.116613,0.144044,0.199511,0.21985,0.247959,0.266906
8,81.2,6.2,0.001628,0.006177,0.012014,0.022829,0.033187,0.049029,0.053439,0.058532,0.064528,0.07176,0.080771,0.092523,0.108941,0.134741,0.186824,0.205885,0.232197,0.249912
9,80,6.4,0.013103,0.023104,0.035943,0.05506,0.069903,0.093285,0.099912,0.107617,0.11675,0.127847,0.141778,0.160091,0.185894,0.226815,0.310423,0.341271,0.384009,0.412873
10,80.2,6.4,0.010382,0.019858,0.031932,0.049767,0.063533,0.085132,0.091239,0.098336,0.106741,0.116945,0.129748,0.146567,0.170246,0.20776,0.284291,0.312524,0.351653,0.378082
11,80.4,6.4,0.006955,0.016312,0.028086,0.045233,0.058316,0.078655,0.084374,0.091006,0.098842,0.108335,0.120216,0.135782,0.157634,0.192123,0.262049,0.287718,0.323215,0.347158
12,80.6,6.4,0.003903,0.012747,0.02381,0.039825,0.051998,0.070879,0.076184,0.082333,0.089599,0.098399,0.109414,0.12385,0.144128,0.176178,0.241295,0.265221,0.298317,0.320644
13,80.8,6.4,0.000447,0.009421,0.020509,0.036291,0.048099,0.066159,0.071188,0.076996,0.083831,0.092075,0.102344,0.115732,0.134424,0.163747,0.222709,0.2442,0.273782,0.29365
14,81,6.4,0.000176,0.005015,0.013713,0.029083,0.040488,0.057821,0.06263,0.068176,0.074695,0.082547,0.09232,0.105051,0.122815,0.150689,0.206864,0.227398,0.255726,0.274785
15,81.2,6.4,0.001632,0.00618,0.012016,0.024483,0.034919,0.050959,0.055442,0.060629,0.066746,0.074143,0.083384,0.095477,0.112444,0.13925,0.193796,0.213879,0.241692,0.260472
16,81.4,6.4,0.001889,0.006352,0.012104,0.024232,0.03386,0.048835,0.053047,0.057931,0.063703,0.070694,0.079444,0.090907,0.106996,0.132399,0.183959,0.202884,0.22904,0.246667
17,81.6,6.4,0.002202,0.006554,0.013608,0.02552,0.034753,0.049288,0.053404,0.058189,0.063858,0.070743,0.079382,0.090728,0.106699,0.131983,0.183439,0.202351,0.228502,0.246131
18,80,6.6,0.015533,0.026515,0.040672,0.061828,0.078292,0.104255,0.111615,0.120171,0.130312,0.14263,0.158089,0.178401,0.207009,0.25235,0.344784,0.378803,0.425887,0.45766
19,80.2,6.6,0.01192,0.021963,0.034816,0.053893,0.068672,0.091922,0.098507,0.106162,0.115235,0.126258,0.140097,0.15829,0.18393,0.224612,0.307815,0.338543,0.38114,0.409924
20,80.4,6.6,0.008912,0.01833,0.030271,0.047806,0.061282,0.082358,0.088307,0.095214,0.103392,0.113315,0.12576,0.142101,0.165106,0.201557,0.275966,0.303436,0.341539,0.367296
21,80.6,6.6,0.006995,0.016184,0.027718,0.044461,0.057201,0.076955,0.0825,0.088925,0.096511,0.105693,0.117172,0.132194,0.153252,0.186427,0.253476,0.27802,0.311906,0.334729
22,80.8,6.6,0.002024,0.011106,0.022367,0.038473,0.050576,0.06916,0.074348,0.080343,0.087408,0.095938,0.106578,0.120466,0.13989,0.17042,0.23198,0.254467,0.28547,0.306323
23,81,6.6,0.000178,0.005695,0.016756,0.032409,0.044063,0.061821,0.066755,0.072449,0.079147,0.08722,0.097272,0.110368,0.12865,0.157339,0.215109,0.236204,0.265274,0.284816
24,81.2,6.6,0.001634,0.006182,0.013237,0.02745,0.038128,0.054535,0.059119,0.06442,0.070671,0.078224,0.087655,0.099987,0.117271,0.144525,0.199816,0.220121,0.248195,0.267125
25,81.4,6.6,0.001889,0.006353,0.013056,0.026045,0.035935,0.051277,0.055584,0.060574,0.066467,0.073597,0.08251,0.094172,0.110519,0.136288,0.188456,0.207569,0.233957,0.251724
26,81.6,6.6,0.002198,0.006552,0.014483,0.02669,0.036134,0.050964,0.055158,0.06003,0.065798,0.072799,0.081575,0.093091,0.109282,0.134887,0.186897,0.205988,0.232364,0.250134
27,80,6.8,0.018592,0.029994,0.044849,0.067306,0.084935,0.112921,0.120884,0.130157,0.141164,0.154558,0.171401,0.19358,0.224893,0.274648,0.376333,0.413849,0.465854,0.501002
28,80.2,6.8,0.014055,0.024603,0.038191,0.058494,0.074303,0.099267,0.106351,0.114593,0.124369,0.136254,0.151186,0.170834,0.198551,0.242582,0.332712,0.365992,0.412133,0.443318
29,80.4,6.8,0.011537,0.021602,0.03442,0.053325,0.067887,0.090682,0.097115,0.104583,0.113419,0.124135,0.13756,0.155162,0.179885,0.218931,0.298219,0.327358,0.36764,0.394788
