lon,lat,nu4_5
62.300,29.500,0.000100
62.300,29.600,0.000100
62.300,29.700,0.000100
62.300,29.800,0.000100
62.300,29.900,0.000100
62.400,29.200,0.000100
62.400,29.300,0.000100
62.400,29.400,0.000100
62.400,29.500,0.000100
62.400,29.600,0.000100
62.400,29.700,0.000100
62.400,29.800,0.000100
62.400,29.900,0.000100
62.400,30.000,0.000100
62.400,30.100,0.000100
62.400,30.200,0.000100
62.500,29.000,0.000100
62.500,29.100,0.000100
62.500,29.200,0.000100
62.500,29.300,0.000100
62.500,29.400,0.000200
62.500,29.500,0.000200
62.500,29.600,0.000200
62.500,29.700,0.000200
62.500,29.800,0.000200
62.500,29.900,0.000200
62.500,30.000,0.000200
62.500,30.100,0.000100
62.500,30.200,0.000100
62.500,30.300,0.000100
62.500,30.400,0.000100
62.600,28.900,0.000100
62.600,29.000,0.000100
62.600,29.100,0.000200
62.600,29.200,0.000200
62.600,29.300,0.000300
62.600,29.400,0.000300
62.600,29.500,0.000400
62.600,29.600,0.000400
62.600,29.700,0.000400
62.600,29.800,0.000400
62.600,29.900,0.000400
62.600,30.000,0.000300
62.600,30.100,0.000300
62.600,30.200,0.000200
62.600,30.300,0.000200
62.600,30.400,0.000100
62.600,30.500,0.000100
62.700,28.800,0.000100
62.700,28.900,0.000100
62.700,29.000,0.000200
62.700,29.100,0.000300
62.700,29.200,0.000400
62.700,29.300,0.000500
62.700,29.400,0.000600
62.700,29.500,0.000700
62.700,29.600,0.000800
62.700,29.700,0.000800
62.700,29.800,0.000800
62.700,29.900,0.000700
62.700,30.000,0.000600
62.700,30.100,0.000500
62.700,30.200,0.000400
62.700,30.300,0.000300
62.700,30.400,0.000200
62.700,30.500,0.000100
62.700,30.600,0.000100
62.800,28.700,0.000100
62.800,28.800,0.000100
62.800,28.900,0.000200
62.800,29.000,0.000300
62.800,29.100,0.000500
62.800,29.200,0.000700
62.800,29.300,0.000900
62.800,29.400,0.001100
62.800,29.500,0.001200
62.800,29.600,0.001400
62.800,29.700,0.001400
62.800,29.800,0.001400
62.800,29.900,0.001300
62.800,30.000,0.001100
62.800,30.100,0.000900
62.800,30.200,0.000700
62.800,30.300,0.000500
62.800,30.400,0.000300
62.800,30.500,0.000200
62.800,30.600,0.000100
62.800,30.700,0.000100
62.900,28.600,0.000100
62.900,28.700,0.000100
62.900,28.800,0.000200
62.900,28.900,0.000400
62.900,29.000,0.000500
62.900,29.100,0.000800
62.900,29.200,0.001100
62.900,29.300,0.001500
62.900,29.400,0.001800
62.900,29.500,0.002100
62.900,29.600,0.002300
62.900,29.700,0.002300
62.900,29.800,0.002300
62.900,29.900,0.002100
62.900,30.000,0.001800
62.900,30.100,0.001500
62.900,30.200,0.001100
62.900,30.300,0.000800
62.900,30.400,0.000600
62.900,30.500,0.000400
62.900,30.600,0.000200
62.900,30.700,0.000100
62.900,30.800,0.000100
63.000,28.500,0.000100
63.000,28.600,0.000100
63.000,28.700,0.000200
63.000,28.800,0.000300
63.000,28.900,0.000600
63.000,29.000,0.000900
63.000,29.100,0.001300
63.000,29.200,0.001800
63.000,29.300,0.002300
63.000,29.400,0.002800
63.000,29.500,0.003300
63.000,29.600,0.003600
63.000,29.700,0.003700
63.000,29.800,0.003600
63.000,29.900,0.003300
63.000,30.000,0.002900
63.000,30.100,0.002300
63.000,30.200,0.001800
63.000,30.300,0.001300
63.000,30.400,0.000900
63.000,30.500,0.000600
63.000,30.600,0.000400
63.000,30.700,0.000200
63.000,30.800,0.000100
63.000,30.900,0.000100
63.100,28.500,0.000100
63.100,28.600,0.000200
63.100,28.700,0.000300
63.100,28.800,0.000500
63.100,28.900,0.000900
63.100,29.000,0.001300
63.100,29.100,0.002000
63.100,29.200,0.002700
63.100,29.300,0.003500
63.100,29.400,0.004300
63.100,29.500,0.005000
63.100,29.600,0.005500
63.100,29.700,0.005600
63.100,29.800,0.005500
