zoneid,avalue,bvalue,stdbvalue,mmax,stdmmax,strike,dip,rake
87,5.97,1.16,0.06,8.1,0.3,150,89,166
90,5.8,1.2,0.06,8,0.4,210,52,324
91,4.72,0.95,0.11,7.4,0.3,63,33,16
88,6.07,1.22,0.09,8,0.4,210,73,4
89,5.29,1.11,0.06,7.3,0.4,340,68,94
100,4.76,1.07,0.09,7.1,0.4,89,89,347
99,5.23,1.15,0.1,7.1,0.4,275,76,342
98,5.36,1.17,0.1,7.1,0.4,322,89,252
102,5.17,1.19,0.11,6.8,0.4,154,86,195
116,6.23,1.3,0.12,7,0.2,207,59,268
92,4.8,1.05,0.1,8.3,0.4,194,66,355
101,5.28,1.19,0.1,6.8,0.4,349,40,243
103,5.2,1.14,0.09,7.2,0.4,225,70,324
97,3.77,0.93,0.12,7.2,0.4,196,77,358
925,3.22,0.8,0.12,7.6,0.4,65,37,334
94,4.51,0.98,0.09,8.3,0.4,11,89,354
93,5.66,1.18,0.9,8.3,0.4,196,77,358
926,5.94,1.28,0.11,7.7,0.2,183,46,277
9081,0,0,0,0,0,-1,-1,-1
110,3.58,0.78,0.06,8.8,0.2,290,23,82
927,5.57,1.22,0.11,7.1,0.3,65,37,334
932,4.15,0.93,0.1,6.5,0.3,239,67,8
928,4.76,0.96,0.09,8.3,0.2,301,89,219
929,4.61,0.96,0.09,7.9,0.4,220,81,11
95,4.35,0.94,0.13,7.6,0.4,23,79,167
930,5.2,1.13,0.11,7.2,0.4,264,68,25
931,5.3,1.11,0.12,8.3,0.3,282,90,357
118,4.67,1.05,0.12,7.2,0.4,301,89,219
119,3.81,0.91,0.1,8.3,0.2,112,40,90
9031,0,0,0,0,0,-1,-1,-1
9171,0,0,0,0,0,-1,-1,-1
136,4.49,0.98,0.12,7.6,0.3,171,88,171
130,5.4,1.24,0.12,6.5,0.3,146,67,60
131,4.15,0.84,0.07,8.6,0.3,256,43,348
137,7.33,1.57,0.16,6.5,0.3,282,89,331
138,5.62,1.1,0.09,8.3,0.3,64,80,18
132,4.4,0.87,0.06,9.4,0.2,298,14,79
9151,0,0,0,0,0,-1,-1,-1
9131,0,0,0,0,0,-1,-1,-1
128,4.01,0.88,0.07,7.9,0.3,216,64,3
129,4.71,1.04,0.11,6.9,0.3,317,85,239
933,3.71,0.89,0.13,6.8,0.3,283,26,129
