longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
60.0,24.0,4.5,45,8.88999612467e-06,0.00040004982561,14,subduction interface,-1.81109842835,0.72,8.6,4.4683337739,24N 60E 0-25 km depth,24N60Ez14
60.0,24.2,4.5,45,2.6669988374e-05,0.00120014947683,14,subduction interface,-1.33397717363,0.72,8.6,4.18846624115,24.2N 60E 0-25 km depth,24p2N60Ez14
60.0,24.4,4.5,45,6.22299728727e-05,0.00280034877927,14,subduction interface,-0.966000388333,0.72,8.6,3.90442143719,24.4N 60E 0-25 km depth,24p4N60Ez14
60.0,24.6,4.5,45,0.000124459945745,0.00560069755855,14,subduction interface,-0.664970392669,0.72,8.6,3.61620282302,24.6N 60E 0-25 km depth,24p6N60Ez14
60.0,24.8,4.5,45,0.000204469910868,0.00920114598904,14,subduction interface,-0.44937059233,0.72,8.6,3.32381391047,24.8N 60E 0-25 km depth,24p8N60Ez14
60.0,25.0,4.5,45,0.000293369872114,0.0132016442451,14,subduction interface,-0.292584488469,0.72,8.6,3.03060908071,25N 60E 0-25 km depth,25N60Ez14
60.0,25.2,4.5,45,0.000426719813984,0.0192023916293,14,subduction interface,-0.129857190972,0.72,8.6,2.75196538186,25.2N 60E 0-25 km depth,25p2N60Ez14
60.0,25.4,4.5,45,0.000648969717101,0.0292036372696,14,subduction interface,0.0522244317732,0.72,8.6,2.46916228632,25.4N 60E 0-25 km depth,25p4N60Ez14
60.0,25.6,4.5,45,0.00105790953884,0.0476059292476,14,subduction interface,0.264448533045,0.72,8.6,2.18220323995,25.6N 60E 0-25 km depth,25p6N60Ez14
60.0,25.8,4.5,45,0.00168020926756,0.0756094170404,14,subduction interface,0.465363375826,0.72,8.6,1.89109173926,25.8N 60E 0-25 km depth,25p8N60Ez14
60.0,26.0,4.5,45,0.00242696894204,0.109213602392,14,subduction interface,0.625064218693,0.72,8.6,1.59583133134,26N 60E 0-25 km depth,26N60Ez14
60.0,26.2,4.5,45,0.00303148867851,0.136416990533,14,subduction interface,0.721655950645,0.72,8.6,1.31410515682,26.2N 60E 0-25 km depth,26p2N60Ez14
60.0,26.4,4.5,45,0.00321817859713,0.144818036871,14,subduction interface,0.747610142186,0.72,8.6,1.0326331892,26.4N 60E 0-25 km depth,26p4N60Ez14
60.0,26.6,4.5,45,0.00288035874439,0.129616143498,14,subduction interface,0.699446581859,0.72,8.6,0.747021710247,26.6N 60E 0-25 km depth,26p6N60Ez14
60.0,26.8,4.5,45,0.00223138902729,0.100412506228,14,subduction interface,0.588575293134,0.72,8.6,0.457274200065,26.8N 60E 0-25 km depth,26p8N60Ez14
60.0,27.0,4.5,45,0.00160019930244,0.0720089686099,14,subduction interface,0.444174076756,0.72,8.6,0.16339418913,27N 60E 0-25 km depth,27N60Ez14
60.0,27.2,4.5,45,0.00117347948846,0.0528065769806,14,subduction interface,0.309475502859,0.72,8.6,9.90637052333,27.2N 60E 0-25 km depth,27p2N60Ez14
60.2,23.8,4.5,45,8.88999612467e-06,0.00040004982561,14,subduction interface,-1.81109842835,0.72,8.6,0.0,23.8N 60.2E 0-25 km depth,23p8N60p2Ez14
60.2,24.0,4.5,45,1.77799922493e-05,0.000800099651221,14,subduction interface,-1.51006843268,0.72,8.6,0.0,24N 60.2E 0-25 km depth,24N60p2Ez14
60.2,24.2,4.5,45,5.3339976748e-05,0.00240029895366,14,subduction interface,-1.03294717796,0.72,8.6,0.0,24.2N 60.2E 0-25 km depth,24p2N60p2Ez14
60.2,24.4,4.5,45,0.00013334994187,0.00600074738416,14,subduction interface,-0.635007169292,0.72,8.6,0.0,24.4N 60.2E 0-25 km depth,24p4N60p2Ez14
60.2,24.6,4.5,45,0.000248919891491,0.0112013951171,14,subduction interface,-0.363940397005,0.72,8.6,0.0,24.6N 60.2E 0-25 km depth,24p6N60p2Ez14
60.2,24.8,4.5,45,0.00040004982561,0.0180022421525,14,subduction interface,-0.157885914572,0.72,8.6,0.0,24.8N 60.2E 0-25 km depth,24p8N60p2Ez14
60.2,25.0,4.5,45,0.000577849748104,0.0260032386647,14,subduction interface,0.00181492829555,0.72,8.6,0.0,25N 60.2E 0-25 km depth,25N60p2Ez14
60.2,25.2,4.5,45,0.000800099651221,0.0360044843049,14,subduction interface,0.143144081092,0.72,8.6,0.0,25.2N 60.2E 0-25 km depth,25p2N60p2Ez14
60.2,25.4,4.5,45,0.00117347948846,0.0528065769806,14,subduction interface,0.309475502859,0.72,8.6,0.0,25.4N 60.2E 0-25 km depth,25p4N60p2Ez14
60.2,25.6,4.5,45,0.00183133920168,0.0824102640757,14,subduction interface,0.502768792022,0.72,8.6,0.0,25.6N 60.2E 0-25 km depth,25p6N60p2Ez14
60.2,25.8,4.5,45,0.00286257875215,0.128816043847,14,subduction interface,0.696757443349,0.72,8.6,0.0,25.8N 60.2E 0-25 km depth,25p8N60p2Ez14
60.2,26.0,4.5,45,0.0041071782096,0.184823019432,14,subduction interface,0.853543547209,0.72,8.6,0.0,26N 60.2E 0-25 km depth,26N60p2Ez14
60.2,26.2,4.5,45,0.00512952776394,0.230828749377,14,subduction interface,0.950077384808,0.72,8.6,0.0,26.2N 60.2E 0-25 km depth,26p2N60p2Ez14
60.2,26.4,4.5,45,0.00543178763218,0.244430443448,14,subduction interface,0.974942781895,0.72,8.6,0.0,26.4N 60.2E 0-25 km depth,26p4N60p2Ez14
60.2,26.6,4.5,45,0.0048628278802,0.218827254609,14,subduction interface,0.926888897986,0.72,8.6,0.0,26.6N 60.2E 0-25 km depth,26p6N60p2Ez14
60.2,26.8,4.5,45,0.00374268836849,0.168420976582,14,subduction interface,0.813183667488,0.72,8.6,0.0,26.8N 60.2E 0-25 km depth,26p8N60p2Ez14
60.2,27.0,4.5,45,0.00262254885678,0.118014698555,14,subduction interface,0.658723587631,0.72,8.6,0.0,27N 60.2E 0-25 km depth,27N60p2Ez14
60.2,27.2,4.5,45,0.00185800919006,0.0836104135526,14,subduction interface,0.509047857764,0.72,8.6,7.22692965616,27.2N 60.2E 0-25 km depth,27p2N60p2Ez14
60.4,23.8,4.5,45,8.88999612467e-06,0.00040004982561,14,subduction interface,-1.81109842835,0.72,8.6,0.0,23.8N 60.4E 0-25 km depth,23p8N60p4Ez14
