longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,24,0.0003,5.5,107,2.8037e-06,14.213,95.0,,70,25,subduction interface,-0.38226,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 60E 25-70 km depth,24N_60E_2,,,
60,25,0.0017,5.5,107,1.5888e-05,14.1,95.0,,70,25,subduction interface,0.37107,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 60E 25-70 km depth,25N_60E_2,,-5.51,
60,26,0.001,5.5,107,9.3458e-06,13.983,95.0,,70,25,subduction interface,0.14062,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 60E 25-70 km depth,26N_60E_2,,-6.06,
60,27,0.0036,5.5,107,3.3645e-05,13.86,95.0,,70,25,subduction interface,0.69692,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,27N 60E 25-70 km depth,27N_60E_2,-4.86,-5.04,-6.17
61,21,0.0007,5.5,107,6.5421e-06,290.88,95.0,,70,25,subduction interface,-0.014286,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 61E 25-70 km depth,21N_61E_2,,,
61,22,0.0013,5.5,107,1.215e-05,183.25,95.0,9031,70,25,subduction interface,0.25456,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 61E 25-70 km depth,22N_61E_2,,-5.74,
61,23,0.0001,5.5,107,9.3458e-07,75.516,95.0,9031,70,25,subduction interface,-0.85938,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 61E 25-70 km depth,23N_61E_2,,,
61,24,0.0009,5.5,107,8.4112e-06,0,95.0,95,70,25,subduction interface,0.094859,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 61E 25-70 km depth,24N_61E_2,,-6.25,
61,25,0.0058,5.5,107,5.4206e-05,0,95.0,95,70,25,subduction interface,0.90404,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 61E 25-70 km depth,25N_61E_2,-4.47,-4.79,-5.83
61,26,0.0059,5.5,107,5.514e-05,0,95.0,95,70,25,subduction interface,0.91147,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 61E 25-70 km depth,26N_61E_2,-4.45,-4.79,-5.82
61,27,0.0098,5.5,107,9.1589e-05,0,95.0,95,70,25,subduction interface,1.1318,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,27N 61E 25-70 km depth,27N_61E_2,-4.14,-4.54,-5.53
62,20,0.0001,5.5,107,9.3458e-07,423.43,95.0,,70,25,subduction interface,-0.85938,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,20N 62E 25-70 km depth,20N_62E_2,,,
62,21,0.0036,5.5,107,3.3645e-05,315.78,95.0,9031,70,25,subduction interface,0.69692,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 62E 25-70 km depth,21N_62E_2,-4.86,-5.04,-6.17
62,22,0.0077,5.5,107,7.1963e-05,207.99,95.0,9031,70,25,subduction interface,1.0271,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 62E 25-70 km depth,22N_62E_2,-4.28,-4.66,-5.66
62,23,0.0007,5.5,107,6.5421e-06,100.09,95.0,9031,70,25,subduction interface,-0.014286,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 62E 25-70 km depth,23N_62E_2,,,
62,24,0.0013,5.5,107,1.215e-05,0,95.0,95,70,25,subduction interface,0.25456,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 62E 25-70 km depth,24N_62E_2,,-5.74,
62,25,0.005,5.5,107,4.6729e-05,0,95.0,95,70,25,subduction interface,0.83959,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 62E 25-70 km depth,25N_62E_2,-4.57,-4.87,-5.92
62,26,0.0098,5.5,107,9.1589e-05,0,95.0,95,70,25,subduction interface,1.1318,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 62E 25-70 km depth,26N_62E_2,-4.14,-4.54,-5.53
62,27,0.0133,5.5,107,0.0001243,0,95.0,95,70,25,subduction interface,1.2645,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,27N 62E 25-70 km depth,27N_62E_2,-3.98,-4.4,-5.38
62,28,0.0067,5.5,107,6.2617e-05,58.284,95.0,,70,25,subduction interface,0.96669,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,28N 62E 25-70 km depth,28N_62E_2,-4.37,-4.72,-5.74
63,21,0.0012,5.5,107,1.1215e-05,339.97,95.0,9031,70,25,subduction interface,0.2198,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 63E 25-70 km depth,21N_63E_2,,-5.82,
63,22,0.0031,5.5,107,2.8972e-05,232.02,95.0,9031,70,25,subduction interface,0.63198,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 63E 25-70 km depth,22N_63E_2,-5.04,-5.12,-6.3
