longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,24,0.0002,4.5,45,4.4444e-06,14.213,95.0,,70,25,subduction interface,-1.1222,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 60E 25-70 km depth M4.5,24N_60E_L2_M4p5,,,
60,25,0.007,4.5,45,0.00015556,14.1,95.0,,70,25,subduction interface,0.42189,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 60E 25-70 km depth M4.5,25N_60E_L2_M4p5,-4.48,-5.42,-7.16
60,26,0.0219,4.5,45,0.00048667,13.983,95.0,,70,25,subduction interface,0.91723,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 60E 25-70 km depth M4.5,26N_60E_L2_M4p5,-3.84,-4.78,-5.81
60,27,0.0658,4.5,45,0.0014622,13.86,95.0,,70,25,subduction interface,1.395,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,27N 60E 25-70 km depth M4.5,27N_60E_L2_M4p5,-3.32,-4.26,-5.23
61,21,0.009,4.5,45,0.0002,290.88,95.0,,70,25,subduction interface,0.53103,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 61E 25-70 km depth M4.5,21N_61E_L2_M4p5,-4.32,-5.26,-6.57
61,22,0.0015,4.5,45,3.3333e-05,183.25,95.0,,70,25,subduction interface,-0.24712,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 61E 25-70 km depth M4.5,22N_61E_L2_M4p5,,,
61,23,0.0062,4.5,45,0.00013778,75.516,95.0,,70,25,subduction interface,0.36918,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 61E 25-70 km depth M4.5,23N_61E_L2_M4p5,-4.57,-5.51,
62,20,0.0056,4.5,45,0.00012444,423.43,95.0,,70,25,subduction interface,0.32498,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,20N 62E 25-70 km depth M4.5,20N_62E_L2_M4p5,-4.65,-5.59,
62,21,0.0293,4.5,45,0.00065111,315.78,95.0,,70,25,subduction interface,1.0437,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 62E 25-70 km depth M4.5,21N_62E_L2_M4p5,-3.7,-4.64,-5.64
62,22,0.0349,4.5,45,0.00077556,207.99,95.0,,70,25,subduction interface,1.1196,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 62E 25-70 km depth M4.5,22N_62E_L2_M4p5,-3.61,-4.55,-5.55
62,23,0.0111,4.5,45,0.00024667,100.09,95.0,,70,25,subduction interface,0.62211,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 62E 25-70 km depth M4.5,23N_62E_L2_M4p5,-4.2,-5.14,-6.32
62,28,0.088,4.5,45,0.0019556,58.284,95.0,,70,25,subduction interface,1.5213,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,28N 62E 25-70 km depth M4.5,28N_62E_L2_M4p5,-3.19,-4.13,-5.09
63,20,0.0001,4.5,45,2.2222e-06,447.77,95.0,,70,25,subduction interface,-1.4232,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,20N 63E 25-70 km depth M4.5,20N_63E_L2_M4p5,,,
63,21,0.0014,4.5,45,3.1111e-05,339.97,95.0,,70,25,subduction interface,-0.27708,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,21N 63E 25-70 km depth M4.5,21N_63E_L2_M4p5,,,
63,22,0.0081,4.5,45,0.00018,232.02,95.0,,70,25,subduction interface,0.48527,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 63E 25-70 km depth M4.5,22N_63E_L2_M4p5,-4.39,-5.33,-6.75
63,23,0.001,4.5,45,2.2222e-05,123.96,95.0,,70,25,subduction interface,-0.42321,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 63E 25-70 km depth M4.5,23N_63E_L2_M4p5,,,
63,24,0.0453,4.5,45,0.0010067,15.813,95.0,,70,25,subduction interface,1.2329,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 63E 25-70 km depth M4.5,24N_63E_L2_M4p5,-3.49,-4.43,-5.41
