longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,24,0.0003,5.5,106,2.8302e-06,4.4683,14,,25,0,15,subduction interface,-1.5882,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,24N 60E 0-25 km depth M5.5,24N_60E_L1_M5p5,,,
60,25,0.0017,5.5,106,1.6038e-05,3.0306,14,,25,0,15,subduction interface,-0.83486,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 60E 0-25 km depth M5.5,25N_60E_L1_M5p5,,,
60,26,0.0033,5.5,106,3.1132e-05,1.5958,14,,25,0,15,subduction interface,-0.54679,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,26N 60E 0-25 km depth M5.5,26N_60E_L1_M5p5,,,
60,27,0.0036,5.5,106,3.3962e-05,0.16339,14,,25,0,15,subduction interface,-0.509,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,27N 60E 0-25 km depth M5.5,27N_60E_L1_M5p5,,,
61,24,0.0009,5.5,106,8.4906e-06,0,14,14,25,0,15,subduction interface,-1.1111,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,24N 61E 0-25 km depth M5.5,24N_61E_L1_M5p5,,,
61,25,0.0051,5.5,106,4.8113e-05,0,14,14,25,0,15,subduction interface,-0.35774,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 61E 0-25 km depth M5.5,25N_61E_L1_M5p5,,,
61,26,0.0067,5.5,106,6.3208e-05,0,14,14,25,0,15,subduction interface,-0.23923,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,26N 61E 0-25 km depth M5.5,26N_61E_L1_M5p5,,,
61,27,0.0068,5.5,106,6.4151e-05,0,14,14,25,0,15,subduction interface,-0.2328,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,27N 61E 0-25 km depth M5.5,27N_61E_L1_M5p5,,,
62,24,0.0005,5.5,106,4.717e-06,0,14,14,25,0,15,subduction interface,-1.3663,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,24N 62E 0-25 km depth M5.5,24N_62E_L1_M5p5,,,
62,25,0.0041,5.5,106,3.8679e-05,0,14,14,25,0,15,subduction interface,-0.45252,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 62E 0-25 km depth M5.5,25N_62E_L1_M5p5,,,
