,zoneid,zmin,zmax,strike,dip,rake
50,87,25.0,70.0,150,89,166
51,90,25.0,70.0,210,52,324
52,91,25.0,70.0,63,33,16
53,88,25.0,70.0,210,73,4
54,89,25.0,70.0,340,68,94
55,100,25.0,70.0,89,89,347
56,99,25.0,70.0,275,76,342
57,98,25.0,70.0,322,89,252
58,102,25.0,70.0,154,86,195
59,116,25.0,70.0,207,59,268
60,92,25.0,70.0,194,66,355
61,101,25.0,70.0,349,40,243
62,103,25.0,70.0,225,70,324
63,97,25.0,70.0,196,77,358
64,925,25.0,70.0,65,37,334
65,94,25.0,70.0,11,89,354
66,93,25.0,70.0,196,77,358
67,926,25.0,70.0,183,46,277
68,9081,25.0,70.0,-1,-1,-1
69,110,25.0,70.0,290,23,82
70,927,25.0,70.0,65,37,334
71,932,25.0,70.0,239,67,8
72,928,25.0,70.0,301,89,219
73,929,25.0,70.0,220,81,11
74,95,25.0,70.0,23,79,167
75,930,25.0,70.0,264,68,25
76,931,25.0,70.0,282,90,357
77,118,25.0,70.0,301,89,219
78,119,25.0,70.0,112,40,90
79,9031,25.0,70.0,-1,-1,-1
80,9171,25.0,70.0,-1,-1,-1
81,136,25.0,70.0,171,88,171
82,130,25.0,70.0,146,67,60
83,131,25.0,70.0,256,43,348
84,137,25.0,70.0,282,89,331
85,138,25.0,70.0,64,80,18
86,132,25.0,70.0,298,14,79
87,9151,25.0,70.0,-1,-1,-1
88,9131,25.0,70.0,-1,-1,-1
89,128,25.0,70.0,216,64,3
90,129,25.0,70.0,317,85,239
91,933,25.0,70.0,283,26,129
